# scan = 36
# date = 11/9/2003
# time = 12:51:44 AM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan h -.3 1.52 .005 k -.3 1.52 .005 l .7 2.52 .005 preset mcu 6
# builtin_command = scan h -.3 1.52 .005 k -.3 1.52 .005 l .7 2.52 .005 preset mcu 6
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = h,h,h+1 scan
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554017,7.554017,3.847681,90.000000,90.000000,120.000000
# ubmatrix = -0.008230,-0.004834,0.259516,-0.134256,-0.130074,-0.012979,0.072618,-0.080146,0.005414
# mode = 0
# plane_normal = -0.022217,-0.027363,0.999379
# ubconf = C:\User\exp41\UBConf\UB08Nov2003_100555PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 6.000000
# def_x = h
# def_y = detector
# col_headers = 
#   Pt.          h          k          l       time   detector    monitor        mcu         m2         s1         s2        sgl        sgu        stl        stu         a1         a2          q         ei         ef          e       temp    coldtip    tsample
      1    -0.3000    -0.3000     0.7000      5.611      1.000  22200.000      6.000    41.2537   -34.3317   -27.1396     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.2473    14.6405    14.6392     0.0013   295.0000     9.7833     9.550
      2    -0.2950    -0.2950     0.7050      5.644      1.000  22200.000      6.000    41.2537   -33.8789   -27.2322     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.2515    14.6405    14.6392     0.0013   295.0000     9.7123     9.452
      3    -0.2900    -0.2900     0.7100      5.568      3.000  22200.000      6.000    41.2537   -33.4311   -27.3276     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.2558    14.6405    14.6392     0.0013   295.0000     9.7191     9.483
      4    -0.2850    -0.2850     0.7150      5.618      0.000  22200.000      6.000    41.2537   -32.9882   -27.4241     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.2601    14.6405    14.6392     0.0013   295.0000     9.7191     9.483
      5    -0.2800    -0.2800     0.7200      5.671      2.000  22200.000      6.000    41.2537   -32.5502   -27.5235     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.2646    14.6405    14.6392     0.0013   295.0000     9.7178     9.467
      6    -0.2750    -0.2750     0.7250      5.646      2.000  22200.000      6.000    41.2537   -32.1161   -27.6269     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.2693    14.6405    14.6392     0.0013   295.0000     9.7150     9.444
      7    -0.2700    -0.2700     0.7300      5.628      0.000  22200.000      6.000    41.2537   -31.6860   -27.7292     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.2739    14.6405    14.6392     0.0013   295.0000     9.7112     9.455
      8    -0.2650    -0.2650     0.7350      5.597      1.000  22200.000      6.000    41.2537   -31.2608   -27.8335     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.2786    14.6405    14.6392     0.0013   295.0000     9.7889     9.513
      9    -0.2600    -0.2600     0.7400      5.612      0.000  22200.000      6.000    41.2537   -30.8406   -27.9418     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.2835    14.6405    14.6392     0.0013   295.0000     9.7889     9.513
     10    -0.2550    -0.2550     0.7450      5.648      1.000  22200.000      6.000    41.2537   -30.4252   -28.0520     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.2884    14.6405    14.6392     0.0013   295.0000     9.7257     9.486
     11    -0.2500    -0.2500     0.7500      5.603      0.000  22200.000      6.000    41.2537   -30.0138   -28.1643     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.2935    14.6405    14.6392     0.0013   295.0000     9.7227     9.464
     12    -0.2450    -0.2450     0.7550      5.548      2.000  22200.000      6.000    41.2537   -29.6073   -28.2774     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.2986    14.6405    14.6392     0.0013   295.0000     9.7298     9.503
     13    -0.2400    -0.2400     0.7600      5.662      0.000  22200.000      6.000    41.2537   -29.2057   -28.3906     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.3036    14.6405    14.6392     0.0013   295.0000     9.7257     9.475
     14    -0.2350    -0.2350     0.7650      5.651      1.000  22200.000      6.000    41.2537   -28.8071   -28.5087     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.3090    14.6405    14.6392     0.0013   295.0000     9.7257     9.475
     15    -0.2300    -0.2300     0.7700      5.586      1.000  22200.000      6.000    41.2537   -28.4163   -28.6278     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.3143    14.6405    14.6392     0.0013   295.0000     9.7264     9.478
     16    -0.2250    -0.2250     0.7750      5.695      2.000  22200.000      6.000    41.2537   -28.0266   -28.7479     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.3197    14.6405    14.6392     0.0013   295.0000     9.7949     9.485
     17    -0.2200    -0.2200     0.7800      5.607      1.000  22200.000      6.000    41.2537   -27.6427   -28.8719     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.3253    14.6405    14.6392     0.0013   295.0000     9.7318     9.461
     18    -0.2150    -0.2150     0.7850      5.667      1.000  22200.000      6.000    41.2537   -27.2638   -28.9950     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.3308    14.6405    14.6392     0.0013   295.0000     9.7372     9.472
     19    -0.2100    -0.2100     0.7900      5.647      1.000  22200.000      6.000    41.2537   -26.8888   -29.1219     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.3365    14.6405    14.6392     0.0013   295.0000     9.7310     9.538
     20    -0.2050    -0.2050     0.7950      5.601      3.000  22200.000      6.000    41.2537   -26.5197   -29.2509     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.3423    14.6405    14.6392     0.0013   295.0000     9.7310     9.538
     21    -0.2000    -0.2000     0.8000      5.678      1.000  22200.000      6.000    41.2537   -26.1545   -29.3788     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.3480    14.6405    14.6392     0.0013   295.0000     9.7294     9.458
     22    -0.1950    -0.1950     0.8050      5.604      0.000  22200.000      6.000    41.2537   -25.7943   -29.5117     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.3540    14.6405    14.6392     0.0013   295.0000     9.7327     9.468
     23    -0.1900    -0.1900     0.8100      5.639      0.000  22200.000      6.000    41.2537   -25.4380   -29.6446     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.3600    14.6405    14.6392     0.0013   295.0000     9.7346     9.447
     24    -0.1850    -0.1850     0.8150      5.534      1.000  22200.000      6.000    41.2537   -25.0866   -29.7784     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.3660    14.6405    14.6392     0.0013   295.0000     9.7409     9.495
     25    -0.1800    -0.1800     0.8200      5.649      3.000  22200.000      6.000    41.2537   -24.7382   -29.9152     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.3721    14.6405    14.6392     0.0013   295.0000     9.7409     9.495
     26    -0.1750    -0.1750     0.8250      5.565      0.000  22200.000      6.000    41.2537   -24.3967   -30.0530     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.3783    14.6405    14.6392     0.0013   295.0000     9.7532     9.482
     27    -0.1700    -0.1700     0.8300      5.626      3.000  22200.000      6.000    41.2537   -24.0591   -30.1938     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.3846    14.6405    14.6392     0.0013   295.0000     9.7495     9.513
     28    -0.1650    -0.1650     0.8350      5.633      2.000  22200.000      6.000    41.2537   -23.7254   -30.3355     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.3909    14.6405    14.6392     0.0013   295.0000     9.7550     9.466
     29    -0.1600    -0.1600     0.8400      5.644      2.000  22200.000      6.000    41.2537   -23.3957   -30.4772     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.3973    14.6405    14.6392     0.0013   295.0000     9.7619     9.554
     30    -0.1550    -0.1550     0.8450      5.580      0.000  22200.000      6.000    41.2537   -23.0719   -30.6219     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.4037    14.6405    14.6392     0.0013   295.0000     9.7619     9.554
     31    -0.1500    -0.1500     0.8500      5.582      1.000  22200.000      6.000    41.2537   -22.7500   -30.7696     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.4104    14.6405    14.6392     0.0013   295.0000     9.8217     9.512
     32    -0.1450    -0.1450     0.8550      5.659      2.000  22200.000      6.000    41.2537   -22.4360   -30.9143     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.4168    14.6405    14.6392     0.0013   295.0000     9.7657     9.479
     33    -0.1400    -0.1400     0.8601      5.625      1.000  22200.000      6.000    41.2537   -22.1240   -31.0668     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.4236    14.6405    14.6392     0.0013   295.0000     9.7716     9.475
     34    -0.1350    -0.1350     0.8651      5.673      1.000  22200.000      6.000    41.2537   -21.8169   -31.2184     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.4304    14.6405    14.6392     0.0013   295.0000     9.7747     9.549
