# scan = 37
# date = 11/9/2003
# time = 1:39:45 AM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan h 0.7 2.505 .005 k 0.7 2.505 .005 l -0.3 1.505 .005 preset mcu 6
# builtin_command = scan h 0.7 2.505 .005 k 0.7 2.505 .005 l -0.3 1.505 .005 preset mcu 6
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = h,h,h-1 scan
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554017,7.554017,3.847681,90.000000,90.000000,120.000000
# ubmatrix = -0.008230,-0.004834,0.259516,-0.134256,-0.130074,-0.012979,0.072618,-0.080146,0.005414
# mode = 0
# plane_normal = -0.022217,-0.027363,0.999379
# ubconf = C:\User\exp41\UBConf\UB08Nov2003_100555PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 6.000000
# def_x = h
# def_y = detector
# col_headers = 
#   Pt.          h          k          l       time   detector    monitor        mcu         m2         s1         s2        sgl        sgu        stl        stu         a1         a2          q         ei         ef          e       temp    coldtip    tsample
      1     0.7000     0.7000    -0.3001      5.613      1.000  22200.000      6.000    41.2537   101.8967   -27.4959     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.2634    14.6405    14.6392     0.0013   295.0000     9.8070     9.531
      2     0.7051     0.7050    -0.2950      5.603      0.000  22200.000      6.000    41.2537   101.3524   -27.5963     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.2679    14.6405    14.6392     0.0013   295.0000     9.7391     9.504
      3     0.7100     0.7100    -0.2900      5.630      3.000  22200.000      6.000    41.2537   100.8209   -27.6987     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.2725    14.6405    14.6392     0.0013   295.0000     9.8163     9.519
      4     0.7150     0.7150    -0.2850      5.610      0.000  22200.000      6.000    41.2537   100.2894   -27.8030     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.2772    14.6405    14.6392     0.0013   295.0000     9.7521     9.531
      5     0.7200     0.7200    -0.2800      5.597      2.000  22200.000      6.000    41.2537    99.7608   -27.9103     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.2820    14.6405    14.6392     0.0013   295.0000     9.7542     9.594
      6     0.7250     0.7249    -0.2750      5.688      0.000  22200.000      6.000    41.2537    99.2362   -28.0186     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.2869    14.6405    14.6392     0.0013   295.0000     9.7542     9.594
      7     0.7301     0.7300    -0.2700      5.625      0.000  22200.000      6.000    41.2537    98.7116   -28.1328     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.2920    14.6405    14.6392     0.0013   295.0000     9.7542     9.535
      8     0.7350     0.7350    -0.2650      5.597      0.000  22200.000      6.000    41.2537    98.1909   -28.2430     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.2970    14.6405    14.6392     0.0013   295.0000     9.7448     9.457
      9     0.7400     0.7400    -0.2600      5.602      0.000  22200.000      6.000    41.2537    97.6732   -28.3582     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.3022    14.6405    14.6392     0.0013   295.0000     9.7519     9.533
     10     0.7450     0.7449    -0.2550      5.592      0.000  22200.000      6.000    41.2537    97.1624   -28.4733     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.3074    14.6405    14.6392     0.0013   295.0000     9.7519     9.533
     11     0.7500     0.7500    -0.2500      5.655      0.000  22200.000      6.000    41.2537    96.6476   -28.5934     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.3128    14.6405    14.6392     0.0013   295.0000     9.7571     9.472
     12     0.7550     0.7550    -0.2450      5.632      0.000  22200.000      6.000    41.2537    96.1388   -28.7135     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.3182    14.6405    14.6392     0.0013   295.0000     9.7515     9.444
     13     0.7600     0.7599    -0.2400      5.589      2.000  22200.000      6.000    41.2537    95.6289   -28.8345     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.3236    14.6405    14.6392     0.0013   295.0000     9.7577     9.468
     14     0.7650     0.7650    -0.2350      5.655      1.000  22200.000      6.000    41.2537    95.1250   -28.9585     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.3292    14.6405    14.6392     0.0013   295.0000     9.7577     9.468
     15     0.7700     0.7700    -0.2300      5.649      1.000  22200.000      6.000    41.2537    94.6250   -29.0855     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.3349    14.6405    14.6392     0.0013   295.0000     9.8215     9.541
     16     0.7750     0.7750    -0.2251      5.573      2.000  22200.000      6.000    41.2537    94.1299   -29.2135     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.3406    14.6405    14.6392     0.0013   295.0000     9.7591     9.473
     17     0.7800     0.7799    -0.2200      5.597      3.000  22200.000      6.000    41.2537    93.6289   -29.3404     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.3463    14.6405    14.6392     0.0013   295.0000     9.7574     9.536
     18     0.7850     0.7850    -0.2150      5.581      0.000  22200.000      6.000    41.2537    93.1329   -29.4723     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.3522    14.6405    14.6392     0.0013   295.0000     9.7574     9.536
     19     0.7900     0.7900    -0.2100      5.627      2.000  22200.000      6.000    41.2537    92.6467   -29.6052     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.3582    14.6405    14.6392     0.0013   295.0000     9.7630     9.513
     20     0.7950     0.7950    -0.2050      5.566      0.000  22200.000      6.000    41.2537    92.1604   -29.7400     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.3642    14.6405    14.6392     0.0013   295.0000     9.7723     9.527
     21     0.8000     0.8000    -0.2000      5.621      1.000  22200.000      6.000    41.2537    91.6742   -29.8749     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.3703    14.6405    14.6392     0.0013   295.0000     9.7640     9.481
     22     0.8050     0.8049    -0.1950      5.645      1.000  22200.000      6.000    41.2537    91.1949   -30.0117     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.3764    14.6405    14.6392     0.0013   295.0000     9.7640     9.481
     23     0.8100     0.8100    -0.1900      5.666      1.000  22200.000      6.000    41.2537    90.7156   -30.1524     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.3827    14.6405    14.6392     0.0013   295.0000     9.8237     9.525
     24     0.8151     0.8150    -0.1850      5.599      0.000  22200.000      6.000    41.2537    90.2402   -30.2942     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.3891    14.6405    14.6392     0.0013   295.0000     9.7685     9.524
     25     0.8200     0.8200    -0.1800      5.656      1.000  22200.000      6.000    41.2537    89.7667   -30.4359     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.3954    14.6405    14.6392     0.0013   295.0000     9.7769     9.550
