# scan = 38
# date = 11/9/2003
# time = 2:26:47 AM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan h 1.7 2.8 .005 k 1.7 2.8 .005 l -.3 .8 .005 preset mcu 6
# builtin_command = scan h 1.7 2.8 .005 k 1.7 2.8 .005 l -.3 .8 .005 preset mcu 6
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = h,h,h-2 scan
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554017,7.554017,3.847681,90.000000,90.000000,120.000000
# ubmatrix = -0.008230,-0.004834,0.259516,-0.134256,-0.130074,-0.012979,0.072618,-0.080146,0.005414
# mode = 0
# plane_normal = -0.022217,-0.027363,0.999379
# ubconf = C:\User\exp41\UBConf\UB08Nov2003_100555PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 6.000000
# def_x = h
# def_y = detector
# col_headers = 
#   Pt.          h          k          l       time   detector    monitor        mcu         m2         s1         s2        sgl        sgu        stl        stu         a1         a2          q         ei         ef          e       temp    coldtip    tsample
      1     1.7001     1.7000    -0.3000      5.617      0.000  22200.000      6.000    41.2537    69.9783   -65.3552     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.8702    14.6405    14.6392     0.0013   295.0000     9.8517     9.596
      2     1.7050     1.7049    -0.2950      5.608      0.000  22200.000      6.000    41.2537    69.7028   -65.5255     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.8768    14.6405    14.6392     0.0013   295.0000     9.8517     9.596
      3     1.7101     1.7100    -0.2901      5.626      1.000  22200.000      6.000    41.2537    69.4291   -65.7056     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.8839    14.6405    14.6392     0.0013   295.0000     9.8484     9.569
      4     1.7150     1.7149    -0.2851      5.598      0.000  22200.000      6.000    41.2537    69.1545   -65.8798     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.8907    14.6405    14.6392     0.0013   295.0000     9.8476     9.558
      5     1.7200     1.7199    -0.2800      5.686      0.000  22200.000      6.000    41.2537    68.8789   -66.0570     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.8975    14.6405    14.6392     0.0013   295.0000     9.8473     9.565
      6     1.7251     1.7249    -0.2750      5.651      1.000  22200.000      6.000    41.2537    68.6024   -66.2371     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.9046    14.6405    14.6392     0.0013   295.0000     9.8473     9.565
      7     1.7301     1.7299    -0.2700      5.611      0.000  22200.000      6.000    41.2537    68.3287   -66.4152     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.9115    14.6405    14.6392     0.0013   295.0000     9.8419     9.555
      8     1.7351     1.7349    -0.2650      5.624      0.000  22200.000      6.000    41.2537    68.0571   -66.5963     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.9185    14.6405    14.6392     0.0013   295.0000     9.8455     9.562
      9     1.7401     1.7399    -0.2601      5.599      1.000  22200.000      6.000    41.2537    67.7844   -66.7784     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.9256    14.6405    14.6392     0.0013   295.0000     9.8171     9.529
     10     1.7450     1.7449    -0.2550      5.577      0.000  22200.000      6.000    41.2537    67.5108   -66.9585     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.9325    14.6405    14.6392     0.0013   295.0000     9.8171     9.529
     11     1.7501     1.7500    -0.2500      5.640      0.000  22200.000      6.000    41.2537    67.2382   -67.1446     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.9397    14.6405    14.6392     0.0013   295.0000     9.8380     9.501
     12     1.7551     1.7549    -0.2450      5.640      0.000  22200.000      6.000    41.2537    66.9665   -67.3267     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.9468    14.6405    14.6392     0.0013   295.0000     9.8366     9.511
     13     1.7601     1.7599    -0.2400      5.569      0.000  22200.000      6.000    41.2537    66.6949   -67.5127     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.9539    14.6405    14.6392     0.0013   295.0000     9.8346     9.526
     14     1.7651     1.7649    -0.2350      5.597      1.000  22200.000      6.000    41.2537    66.4242   -67.6997     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.9611    14.6405    14.6392     0.0013   295.0000     9.8346     9.526
     15     1.7700     1.7699    -0.2300      5.666      0.000  22200.000      6.000    41.2537    66.1535   -67.8837     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.9682    14.6405    14.6392     0.0013   295.0000     9.8480     9.559
     16     1.7751     1.7749    -0.2250      5.650      1.000  22200.000      6.000    41.2537    65.8839   -68.0737     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.9755    14.6405    14.6392     0.0013   295.0000     9.8421     9.544
     17     1.7801     1.7799    -0.2200      5.617      0.000  22200.000      6.000    41.2537    65.6122   -68.2627     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.9828    14.6405    14.6392     0.0013   295.0000     9.8284     9.564
     18     1.7851     1.7849    -0.2150      5.717      1.000  22200.000      6.000    41.2537    65.3425   -68.4526     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.9901    14.6405    14.6392     0.0013   295.0000     9.8284     9.564
