# scan = 39
# date = 11/9/2003
# time = 2:55:25 AM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan h -.3 .8 .005 k -.3 .8 .005 l 1.7 2.8 .005 preset mcu 6
# builtin_command = scan h -.3 .8 .005 k -.3 .8 .005 l 1.7 2.8 .005 preset mcu 6
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = h,h,h+2 scan
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554017,7.554017,3.847681,90.000000,90.000000,120.000000
# ubmatrix = -0.008230,-0.004834,0.259516,-0.134256,-0.130074,-0.012979,0.072618,-0.080146,0.005414
# mode = 0
# plane_normal = -0.022217,-0.027363,0.999379
# ubconf = C:\User\exp41\UBConf\UB08Nov2003_100555PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 6.000000
# def_x = h
# def_y = detector
# col_headers = 
#   Pt.          h          k          l       time   detector    monitor        mcu         m2         s1         s2        sgl        sgu        stl        stu         a1         a2          q         ei         ef          e       temp    coldtip    tsample
      1    -0.3000    -0.2999     1.7001      5.636      1.000  22200.000      6.000    41.2537   -39.4075   -64.0904     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.8206    14.6405    14.6392     0.0013   295.0000     9.8248     9.597
      2    -0.2948    -0.2948     1.7050      5.699      1.000  22200.000      6.000    41.2537   -39.2904   -64.2558     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.8271    14.6405    14.6392     0.0013   295.0000     9.8248     9.597
      3    -0.2900    -0.2900     1.7100      5.668      0.000  22200.000      6.000    41.2537   -39.1870   -64.4241     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.8337    14.6405    14.6392     0.0013   295.0000     9.8599     9.573
      4    -0.2849    -0.2849     1.7150      5.622      0.000  22200.000      6.000    41.2537   -39.0758   -64.5944     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.8404    14.6405    14.6392     0.0013   295.0000     9.8236     9.577
      5    -0.2799    -0.2798     1.7200      5.654      2.000  22200.000      6.000    41.2537   -38.9665   -64.7646     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.8471    14.6405    14.6392     0.0013   295.0000     9.8635     9.602
      6    -0.2750    -0.2750     1.7250      5.586      1.000  22200.000      6.000    41.2537   -38.8652   -64.9339     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.8537    14.6405    14.6392     0.0013   295.0000     9.8635     9.602
      7    -0.2700    -0.2700     1.7300      5.636      0.000  22200.000      6.000    41.2537   -38.7608   -65.1082     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.8605    14.6405    14.6392     0.0013   295.0000     9.8234     9.574
      8    -0.2650    -0.2650     1.7350      5.634      0.000  22200.000      6.000    41.2537   -38.6575   -65.2824     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.8674    14.6405    14.6392     0.0013   295.0000     9.8591     9.591
      9    -0.2601    -0.2600     1.7400      5.688      0.000  22200.000      6.000    41.2537   -38.5571   -65.4546     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.8741    14.6405    14.6392     0.0013   295.0000     9.8290     9.593
     10    -0.2550    -0.2550     1.7451      5.573      0.000  22200.000      6.000    41.2537   -38.4557   -65.6328     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.8810    14.6405    14.6392     0.0013   295.0000     9.8290     9.593
