# scan = 41
# date = 11/9/2003
# time = 4:43:39 AM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan h 1 k 1 l -.3 2.7 .005 preset 6
# builtin_command = scan h 1 k 1 l -.3 2.7 .005 preset 6
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = 11l scan
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554017,7.554017,3.847681,90.000000,90.000000,120.000000
# ubmatrix = -0.008230,-0.004834,0.259516,-0.134256,-0.130074,-0.012979,0.072618,-0.080146,0.005414
# mode = 0
# plane_normal = -0.022217,-0.027363,0.999379
# ubconf = C:\User\exp41\UBConf\UB08Nov2003_100555PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 6.000000
# def_x = l
# def_y = detector
# col_headers = 
#   Pt.          h          k          l       time   detector    monitor        mcu         m2         s1         s2        sgl        sgu        stl        stu         a1         a2          q         ei         ef          e       temp    coldtip    tsample
      1     1.0001     1.0001    -0.2999      5.640      2.000  22200.000      6.000    41.2537    90.1860   -38.0806     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.7343    14.6405    14.6392     0.0013   295.0000     9.7217     9.502
      2     1.0001     1.0000    -0.2948      5.630      4.000  22200.000      6.000    41.2537    89.9498   -38.0265     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.7319    14.6405    14.6392     0.0013   295.0000     9.7472     9.565
      3     1.0001     1.0000    -0.2898      5.657      0.000  22200.000      6.000    41.2537    89.7146   -37.9753     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.7297    14.6405    14.6392     0.0013   295.0000     9.7181     9.518
      4     1.0001     1.0000    -0.2848      5.651      0.000  22200.000      6.000    41.2537    89.4803   -37.9251     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.7275    14.6405    14.6392     0.0013   295.0000     9.7064     9.488
      5     1.0001     1.0000    -0.2799      5.660      1.000  22200.000      6.000    41.2537    89.2510   -37.8759     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.7253    14.6405    14.6392     0.0013   295.0000     9.7552     9.497
      6     1.0001     1.0000    -0.2749      5.647      2.000  22200.000      6.000    41.2537    89.0128   -37.8257     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.7231    14.6405    14.6392     0.0013   295.0000     9.7660     9.513
      7     1.0001     1.0000    -0.2699      5.617      2.000  22200.000      6.000    41.2537    88.7746   -37.7784     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.7210    14.6405    14.6392     0.0013   295.0000     9.7660     9.513
      8     1.0001     1.0000    -0.2650      5.682      0.000  22200.000      6.000    41.2537    88.5384   -37.7312     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.7189    14.6405    14.6392     0.0013   295.0000     9.7581     9.451
      9     1.0001     1.0000    -0.2600      5.573      1.000  22200.000      6.000    41.2537    88.2982   -37.6849     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.7169    14.6405    14.6392     0.0013   295.0000     9.7669     9.520
     10     1.0001     1.0000    -0.2550      5.639      1.000  22200.000      6.000    41.2537    88.0581   -37.6406     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.7150    14.6405    14.6392     0.0013   295.0000     9.7664     9.461
     11     1.0001     1.0000    -0.2500      5.652      2.000  22200.000      6.000    41.2537    87.8150   -37.5944     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.7129    14.6405    14.6392     0.0013   295.0000     9.7689     9.466
     12     1.0001     1.0000    -0.2450      5.608      0.000  22200.000      6.000    41.2537    87.5719   -37.5501     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.7110    14.6405    14.6392     0.0013   295.0000     9.7726     9.477
     13     1.0000     1.0000    -0.2401      5.595      1.000  22200.000      6.000    41.2537    87.3317   -37.5068     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.7091    14.6405    14.6392     0.0013   295.0000     9.7715     9.535
     14     1.0001     1.0000    -0.2350      5.525      1.000  22200.000      6.000    41.2537    87.0846   -37.4654     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.7073    14.6405    14.6392     0.0013   295.0000     9.7104     9.464
     15     1.0001     1.0000    -0.2301      5.571      1.000  22200.000      6.000    41.2537    86.8386   -37.4241     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.7055    14.6405    14.6392     0.0013   295.0000     9.7806     9.557
     16     1.0000     1.0000    -0.2250      5.602      1.000  22200.000      6.000    41.2537    86.5906   -37.3828     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.7036    14.6405    14.6392     0.0013   295.0000     9.7800     9.501
     17     1.0001     1.0000    -0.2200      5.677      0.000  22200.000      6.000    41.2537    86.3406   -37.3444     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.7020    14.6405    14.6392     0.0013   295.0000     9.7719     9.464
     18     1.0001     1.0000    -0.2150      5.713      0.000  22200.000      6.000    41.2537    86.0925   -37.3050     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.7002    14.6405    14.6392     0.0013   295.0000     9.7731     9.459
     19     1.0000     1.0000    -0.2100      5.637      0.000  22200.000      6.000    41.2537    85.8415   -37.2666     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.6985    14.6405    14.6392     0.0013   295.0000     9.7748     9.464
     20     1.0000     1.0000    -0.2050      5.655      2.000  22200.000      6.000    41.2537    85.5876   -37.2292     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.6969    14.6405    14.6392     0.0013   295.0000     9.7114     9.458
     21     1.0001     1.0000    -0.2000      5.655      0.000  22200.000      6.000    41.2537    85.3356   -37.1938     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.6953    14.6405    14.6392     0.0013   295.0000     9.7705     9.476
     22     1.0001     1.0000    -0.1950      5.647      1.000  22200.000      6.000    41.2537    85.0837   -37.1593     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.6938    14.6405    14.6392     0.0013   295.0000     9.7756     9.513
     23     1.0001     1.0000    -0.1900      5.613      2.000  22200.000      6.000    41.2537    84.8287   -37.1249     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.6923    14.6405    14.6392     0.0013   295.0000     9.7789     9.585
     24     1.0001     1.0000    -0.1850      5.651      3.000  22200.000      6.000    41.2537    84.5728   -37.0904     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.6908    14.6405    14.6392     0.0013   295.0000     9.7721     9.503
     25     1.0001     1.0000    -0.1800      5.609      0.000  22200.000      6.000    41.2537    84.3179   -37.0580     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.6894    14.6405    14.6392     0.0013   295.0000     9.7701     9.564
     26     1.0001     1.0000    -0.1750      5.647      0.000  22200.000      6.000    41.2537    84.0610   -37.0255     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.6879    14.6405    14.6392     0.0013   295.0000     9.7671     9.466
     27     1.0001     1.0000    -0.1700      5.601      1.000  22200.000      6.000    41.2537    83.8031   -36.9959     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.6866    14.6405    14.6392     0.0013   295.0000     9.7671     9.466
     28     1.0001     1.0000    -0.1650      5.550      2.000  22200.000      6.000    41.2537    83.5423   -36.9645     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.6852    14.6405    14.6392     0.0013   295.0000     9.7661     9.522
     29     1.0001     1.0000    -0.1600      5.610      0.000  22200.000      6.000    41.2537    83.2854   -36.9359     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.6840    14.6405    14.6392     0.0013   295.0000     9.7648     9.464
     30     1.0000     1.0000    -0.1550      5.614      1.000  22200.000      6.000    41.2537    83.0246   -36.9064     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.6827    14.6405    14.6392     0.0013   295.0000     9.7649     9.506
     31     1.0001     1.0000    -0.1500      5.637      1.000  22200.000      6.000    41.2537    82.7638   -36.8798     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.6815    14.6405    14.6392     0.0013   295.0000     9.7713     9.452
     32     1.0001     1.0000    -0.1450      5.598      1.000  22200.000      6.000    41.2537    82.4970   -36.8542     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.6804    14.6405    14.6392     0.0013   295.0000     9.7734     9.459
     33     1.0000     1.0000    -0.1400      5.582      0.000  22200.000      6.000    41.2537    82.2382   -36.8267     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.6792    14.6405    14.6392     0.0013   295.0000     9.7744     9.458
     34     1.0001     1.0000    -0.1350      5.581      2.000  22200.000      6.000    41.2537    81.9724   -36.8020     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.6781    14.6405    14.6392     0.0013   295.0000     9.7739     9.513
