# scan = 42
# date = 11/9/2003
# time = 6:00:35 AM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan h -0.3 2.1 .005 k -0.3 2.1 .005 l 2 preset 6
# builtin_command = scan h -0.3 2.1 .005 k -0.3 2.1 .005 l 2 preset 6
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = hh2 scan
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554017,7.554017,3.847681,90.000000,90.000000,120.000000
# ubmatrix = -0.008230,-0.004834,0.259516,-0.134256,-0.130074,-0.012979,0.072618,-0.080146,0.005414
# mode = 0
# plane_normal = -0.022217,-0.027363,0.999379
# ubconf = C:\User\exp41\UBConf\UB08Nov2003_100555PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 6.000000
# def_x = h
# def_y = detector
# col_headers = 
#   Pt.          h          k          l       time   detector    monitor        mcu         m2         s1         s2        sgl        sgu        stl        stu         a1         a2          q         ei         ef          e       temp    coldtip    tsample
      1    -0.3001    -0.3000     2.0000      5.604      1.000  22200.000      6.000    41.2537   -44.2884   -76.8522     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.3040    14.6405    14.6392     0.0013   295.0000     9.7795     9.516
      2    -0.2950    -0.2950     2.0000      5.639      1.000  22200.000      6.000    41.2537   -44.1260   -76.8168     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.3027    14.6405    14.6392     0.0013   295.0000     9.7782     9.523
      3    -0.2900    -0.2900     2.0000      5.662      1.000  22200.000      6.000    41.2537   -43.9665   -76.7833     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.3015    14.6405    14.6392     0.0013   295.0000     9.7785     9.585
      4    -0.2848    -0.2848     2.0001      5.563      0.000  22200.000      6.000    41.2537   -43.8012   -76.7499     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.3002    14.6405    14.6392     0.0013   295.0000     9.7767     9.535
      5    -0.2798    -0.2798     2.0001      5.680      3.000  22200.000      6.000    41.2537   -43.6427   -76.7174     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2991    14.6405    14.6392     0.0013   295.0000     9.7684     9.537
      6    -0.2748    -0.2748     2.0001      5.654      3.000  22200.000      6.000    41.2537   -43.4843   -76.6859     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2979    14.6405    14.6392     0.0013   295.0000     9.8285     9.553
      7    -0.2700    -0.2700     2.0000      5.660      0.000  22200.000      6.000    41.2537   -43.3307   -76.6544     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2968    14.6405    14.6392     0.0013   295.0000     9.7632     9.531
      8    -0.2650    -0.2650     2.0000      5.686      0.000  22200.000      6.000    41.2537   -43.1713   -76.6239     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2957    14.6405    14.6392     0.0013   295.0000     9.7567     9.511
      9    -0.2600    -0.2600     2.0000      5.611      2.000  22200.000      6.000    41.2537   -43.0138   -76.5924     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2945    14.6405    14.6392     0.0013   295.0000     9.7567     9.511
     10    -0.2550    -0.2550     2.0000      5.664      0.000  22200.000      6.000    41.2537   -42.8543   -76.5629     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2934    14.6405    14.6392     0.0013   295.0000     9.7486     9.554
     11    -0.2500    -0.2500     2.0000      5.599      1.000  22200.000      6.000    41.2537   -42.6969   -76.5343     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2924    14.6405    14.6392     0.0013   295.0000     9.7749     9.535
     12    -0.2450    -0.2450     2.0000      5.631      1.000  22200.000      6.000    41.2537   -42.5394   -76.5058     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2914    14.6405    14.6392     0.0013   295.0000     9.7374     9.514
     13    -0.2400    -0.2400     2.0000      5.643      2.000  22200.000      6.000    41.2537   -42.3809   -76.4772     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2903    14.6405    14.6392     0.0013   295.0000     9.7328     9.517
     14    -0.2350    -0.2350     2.0000      5.669      0.000  22200.000      6.000    41.2537   -42.2234   -76.4507     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2893    14.6405    14.6392     0.0013   295.0000     9.7367     9.522
     15    -0.2300    -0.2300     2.0000      5.557      2.000  22200.000      6.000    41.2537   -42.0659   -76.4231     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2883    14.6405    14.6392     0.0013   295.0000     9.8007     9.535
     16    -0.2250    -0.2250     2.0000      5.611      0.000  22200.000      6.000    41.2537   -41.9085   -76.3965     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2874    14.6405    14.6392     0.0013   295.0000     9.7470     9.538
     17    -0.2200    -0.2200     2.0000      5.608      1.000  22200.000      6.000    41.2537   -41.7520   -76.3719     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2865    14.6405    14.6392     0.0013   295.0000     9.8258     9.552
     18    -0.2150    -0.2150     2.0000      5.606      0.000  22200.000      6.000    41.2537   -41.5965   -76.3463     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2855    14.6405    14.6392     0.0013   295.0000     9.7660     9.553
     19    -0.2100    -0.2100     2.0000      5.543      1.000  22200.000      6.000    41.2537   -41.4390   -76.3217     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2846    14.6405    14.6392     0.0013   295.0000     9.7714     9.560
     20    -0.2050    -0.2050     2.0000      5.634      0.000  22200.000      6.000    41.2537   -41.2825   -76.2971     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2837    14.6405    14.6392     0.0013   295.0000     9.7840     9.581
     21    -0.2000    -0.2000     2.0000      5.647      0.000  22200.000      6.000    41.2537   -41.1270   -76.2745     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2829    14.6405    14.6392     0.0013   295.0000     9.8659     9.560
     22    -0.1950    -0.1950     2.0000      5.575      0.000  22200.000      6.000    41.2537   -40.9715   -76.2519     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2821    14.6405    14.6392     0.0013   295.0000     9.7986     9.506
     23    -0.1900    -0.1900     2.0000      5.633      1.000  22200.000      6.000    41.2537   -40.8150   -76.2292     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2813    14.6405    14.6392     0.0013   295.0000     9.8709     9.533
     24    -0.1850    -0.1850     2.0000      5.616      1.000  22200.000      6.000    41.2537   -40.6604   -76.2076     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2805    14.6405    14.6392     0.0013   295.0000     9.8120     9.589
     25    -0.1800    -0.1800     2.0000      5.627      3.000  22200.000      6.000    41.2537   -40.5039   -76.1869     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2797    14.6405    14.6392     0.0013   295.0000     9.8206     9.574
     26    -0.1750    -0.1750     2.0000      5.643      0.000  22200.000      6.000    41.2537   -40.3494   -76.1662     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2790    14.6405    14.6392     0.0013   295.0000     9.8259     9.577
     27    -0.1700    -0.1699     2.0001      5.534      2.000  22200.000      6.000    41.2537   -40.1939   -76.1475     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2783    14.6405    14.6392     0.0013   295.0000     9.8872     9.572
     28    -0.1650    -0.1650     2.0001      5.638      0.000  22200.000      6.000    41.2537   -40.0394   -76.1278     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2776    14.6405    14.6392     0.0013   295.0000     9.8872     9.572
     29    -0.1600    -0.1600     2.0000      5.594      1.000  22200.000      6.000    41.2537   -39.8848   -76.1082     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2768    14.6405    14.6392     0.0013   295.0000     9.8357     9.533
     30    -0.1550    -0.1550     2.0000      5.684      1.000  22200.000      6.000    41.2537   -39.7313   -76.0904     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2762    14.6405    14.6392     0.0013   295.0000     9.8917     9.576
     31    -0.1500    -0.1500     2.0000      5.625      3.000  22200.000      6.000    41.2537   -39.5778   -76.0727     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2756    14.6405    14.6392     0.0013   295.0000     9.8523     9.598
     32    -0.1450    -0.1449     2.0001      5.662      0.000  22200.000      6.000    41.2537   -39.4232   -76.0560     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2749    14.6405    14.6392     0.0013   295.0000     9.8564     9.583
     33    -0.1400    -0.1399     2.0000      5.564      0.000  22200.000      6.000    41.2537   -39.2697   -76.0393     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2743    14.6405    14.6392     0.0013   295.0000     9.8637     9.605
