# scan = 44
# date = 11/9/2003
# time = 10:10:11 AM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan h 1.4 1.55 .005 k 1.4 1.55 .005 l 2.4 2.55 .005 preset mcu 6
# builtin_command = scan h 1.4 1.55 .005 k 1.4 1.55 .005 l 2.4 2.55 .005 preset mcu 6
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = h,h,h+1 scan extension add to #36
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554017,7.554017,3.847681,90.000000,90.000000,120.000000
# ubmatrix = -0.008230,-0.004834,0.259516,-0.134256,-0.130074,-0.012979,0.072618,-0.080146,0.005414
# mode = 0
# plane_normal = -0.022217,-0.027363,0.999379
# ubconf = C:\User\exp41\UBConf\UB08Nov2003_100555PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 6.000000
# def_x = h
# def_y = detector
# col_headers = 
#   Pt.          h          k          l       time   detector    monitor        mcu         m2         s1         s2        sgl        sgu        stl        stu         a1         a2          q         ei         ef          e       temp    coldtip    tsample
      1     1.4001     1.4000     2.4000      5.674      0.000  22200.000      6.000    41.2537   -25.4961  -118.0924     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     4.5590    14.6405    14.6392     0.0013   295.0000     9.8865     9.637
      2     1.4050     1.4049     2.4050      5.535      1.000  22200.000      6.000    41.2537   -25.6959  -118.5639     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     4.5702    14.6405    14.6392     0.0013   295.0000     9.8177     9.557
      3     1.4100     1.4099     2.4100      5.633      0.000  22200.000      6.000    41.2537   -25.8976  -119.0402     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     4.5814    14.6405    14.6392     0.0013   295.0000     9.8221     9.551
      4     1.4151     1.4150     2.4150      5.647      1.000  22200.000      6.000    41.2537   -26.0994  -119.5225     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     4.5927    14.6405    14.6392     0.0013   295.0000     9.8184     9.543
      5     1.4200     1.4199     2.4200      5.593      1.000  22200.000      6.000    41.2537   -26.3071  -120.0058     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     4.6040    14.6405    14.6392     0.0013   295.0000     9.8205     9.556
      6     1.4251     1.4250     2.4250      5.630      1.000  22200.000      6.000    41.2537   -26.5138  -120.4969     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.6153    14.6405    14.6392     0.0013   295.0000     9.8205     9.556
      7     1.4302     1.4301     2.4299      5.623      2.000  22200.000      6.000    41.2537   -26.7205  -120.9881     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.6266    14.6405    14.6392     0.0013   295.0000     9.8190     9.540
      8     1.4351     1.4350     2.4350      5.584      3.000  22200.000      6.000    41.2537   -26.9350  -121.4851     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.6379    14.6405    14.6392     0.0013   295.0000     9.8218     9.584
      9     1.4401     1.4400     2.4400      5.654      1.000  22200.000      6.000    41.2537   -27.1476  -121.9832     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.6492    14.6405    14.6392     0.0013   295.0000     9.8180     9.541
     10     1.4450     1.4449     2.4450      5.597      0.000  22200.000      6.000    41.2537   -27.3652  -122.4841     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.6604    14.6405    14.6392     0.0013   295.0000     9.8155     9.556
