# scan = 45
# date = 11/9/2003
# time = 10:14:30 AM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan h 2.4 2.535 .005 k 2.4 2.535 .005 l 1.4 1.535 .005 preset mcu 6
# builtin_command = scan h 2.4 2.535 .005 k 2.4 2.535 .005 l 1.4 1.535 .005 preset mcu 6
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = h,h,h-1 scan extension add to #37
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554017,7.554017,3.847681,90.000000,90.000000,120.000000
# ubmatrix = -0.008230,-0.004834,0.259516,-0.134256,-0.130074,-0.012979,0.072618,-0.080146,0.005414
# mode = 0
# plane_normal = -0.022217,-0.027363,0.999379
# ubconf = C:\User\exp41\UBConf\UB08Nov2003_100555PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 6.000000
# def_x = h
# def_y = detector
# col_headers = 
#   Pt.          h          k          l       time   detector    monitor        mcu         m2         s1         s2        sgl        sgu        stl        stu         a1         a2          q         ei         ef          e       temp    coldtip    tsample
      1     2.4002     2.4000     1.3999      5.614      0.000  22200.000      6.000    41.2537     3.1004  -119.8660     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.6007    14.6405    14.6392     0.0013   295.0000     9.8190     9.529
      2     2.4051     2.4049     1.4050      5.653      1.000  22200.000      6.000    41.2537     2.8209  -120.3503     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.6119    14.6405    14.6392     0.0013   295.0000     9.8190     9.529
      3     2.4100     2.4098     1.4101      5.565      1.000  22200.000      6.000    41.2537     2.5354  -120.8414     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.6232    14.6405    14.6392     0.0013   295.0000     9.8242     9.547
      4     2.4153     2.4151     1.4149      5.611      0.000  22200.000      6.000    41.2537     2.2549  -121.3434     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.6347    14.6405    14.6392     0.0013   295.0000     9.8291     9.554
      5     2.4201     2.4199     1.4200      5.675      2.000  22200.000      6.000    41.2537     1.9685  -121.8335     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.6458    14.6405    14.6392     0.0013   295.0000     9.8322     9.611
      6     2.4251     2.4249     1.4250      5.622      1.000  22200.000      6.000    41.2537     1.6811  -122.3375     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.6571    14.6405    14.6392     0.0013   295.0000     9.8251     9.551
      7     2.4300     2.4298     1.4301      5.656      0.000  22200.000      6.000    41.2537     1.3907  -122.8434     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.6684    14.6405    14.6392     0.0013   295.0000     9.8251     9.551
      8     2.4351     2.4349     1.4350      5.609      0.000  22200.000      6.000    41.2537     1.1024  -123.3542     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.6797    14.6405    14.6392     0.0013   295.0000     9.8308     9.558
      9     2.4401     2.4399     1.4400      5.573      1.000  22200.000      6.000    41.2537     0.8091  -123.8690     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.6909    14.6405    14.6392     0.0013   295.0000     9.8362     9.598
     10     2.4451     2.4449     1.4451      5.622      1.000  22200.000      6.000    41.2537     0.5118  -124.3896     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.7023    14.6405    14.6392     0.0013   295.0000     9.8349     9.542
     11     2.4501     2.4499     1.4500      5.638      1.000  22200.000      6.000    41.2537     0.2165  -124.9133     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.7135    14.6405    14.6392     0.0013   295.0000     9.8297     9.549
     12     2.4551     2.4549     1.4550      5.598      1.000  22200.000      6.000    41.2537    -0.0827  -125.4408     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.7248    14.6405    14.6392     0.0013   295.0000     9.8297     9.549
     13     2.4601     2.4599     1.4600      5.666      1.000  22200.000      6.000    41.2537    -0.3858  -125.9772     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.7362    14.6405    14.6392     0.0013   295.0000     9.8414     9.568
     14     2.4651     2.4649     1.4651      5.627      1.000  22200.000      6.000    41.2537    -0.6900  -126.5146     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.7474    14.6405    14.6392     0.0013   295.0000     9.8382     9.540
     15     2.4701     2.4699     1.4699      5.624      0.000  22200.000      6.000    41.2537    -0.9931  -127.0580     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.7587    14.6405    14.6392     0.0013   295.0000     9.8382     9.538
     16     2.4752     2.4749     1.4749      5.585      3.000  22200.000      6.000    41.2537    -1.3031  -127.6091     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.7701    14.6405    14.6392     0.0013   295.0000     9.8457     9.569
     17     2.4801     2.4798     1.4801      5.625     10.000  22200.000      6.000    41.2537    -1.6171  -128.1623     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.7813    14.6405    14.6392     0.0013   295.0000     9.8457     9.569
     18     2.4852     2.4850     1.4849      5.632     18.000  22200.000      6.000    41.2537    -1.9281  -128.7272     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.7927    14.6405    14.6392     0.0013   295.0000     9.8512     9.554
     19     2.4901     2.4899     1.4900      5.624     52.000  22200.000      6.000    41.2537    -2.2451  -129.2873     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.8039    14.6405    14.6392     0.0013   295.0000     9.8597     9.570
