# scan = 46
# date = 11/9/2003
# time = 10:23:39 AM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan h 0 k 0 l 1.96 2.04 .005 preset 2
# builtin_command = scan h 0 k 0 l 1.96 2.04 .005 preset 2
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = 002 order parameter scan base T
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554017,7.554017,3.847681,90.000000,90.000000,120.000000
# ubmatrix = -0.008230,-0.004834,0.259516,-0.134256,-0.130074,-0.012979,0.072618,-0.080146,0.005414
# mode = 0
# plane_normal = -0.022217,-0.027363,0.999379
# ubconf = C:\User\exp41\UBConf\UB08Nov2003_100555PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 2.000000
# def_x = l
# def_y = detector
# col_headers = 
#   Pt.          h          k          l       time   detector    monitor        mcu         m2         s1         s2        sgl        sgu        stl        stu         a1         a2          q         ei         ef          e       temp    coldtip    tsample
      1     0.0001     0.0001     1.9600      1.876      3.000   7400.000      2.000    41.2537   -34.1890   -74.0383     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2007    14.6405    14.6392     0.0013   295.0000     9.8682     9.591
      2     0.0000     0.0000     1.9650      1.892      1.000   7400.000      2.000    41.2537   -34.3002   -74.2568     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2088    14.6405    14.6392     0.0013   295.0000     9.8682     9.591
      3    -0.0000    -0.0000     1.9700      1.845      2.000   7400.000      2.000    41.2537   -34.4124   -74.4763     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2169    14.6405    14.6392     0.0013   295.0000     9.8682     9.591
      4     0.0000     0.0000     1.9750      1.854     26.000   7400.000      2.000    41.2537   -34.5226   -74.7007     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2252    14.6405    14.6392     0.0013   295.0000     9.8650     9.621
      5    -0.0001    -0.0001     1.9800      1.888    141.000   7400.000      2.000    41.2537   -34.6348   -74.9192     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2332    14.6405    14.6392     0.0013   295.0000     9.8650     9.621
      6     0.0000     0.0000     1.9850      1.877    534.000   7400.000      2.000    41.2537   -34.7431   -75.1426     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2415    14.6405    14.6392     0.0013   295.0000     9.8691     9.591
      7     0.0000     0.0000     1.9900      1.899   1000.000   7400.000      2.000    41.2537   -34.8553   -75.3650     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2496    14.6405    14.6392     0.0013   295.0000     9.8691     9.591
      8     0.0000     0.0000     1.9950      1.902   1387.000   7400.000      2.000    41.2537   -34.9656   -75.5865     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2578    14.6405    14.6392     0.0013   295.0000     9.8691     9.591
      9     0.0000     0.0000     2.0000      1.906   1426.000   7400.000      2.000    41.2537   -35.0778   -75.8099     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2659    14.6405    14.6392     0.0013   295.0000     9.8622     9.556
     10     0.0000     0.0000     2.0050      1.875   1339.000   7400.000      2.000    41.2537   -35.1900   -76.0343     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2741    14.6405    14.6392     0.0013   295.0000     9.8622     9.556
     11     0.0000     0.0000     2.0100      1.878    923.000   7400.000      2.000    41.2537   -35.3012   -76.2587     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2823    14.6405    14.6392     0.0013   295.0000     9.8622     9.556
     12    -0.0000    -0.0000     2.0150      1.847    511.000   7400.000      2.000    41.2537   -35.4134   -76.4802     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2904    14.6405    14.6392     0.0013   295.0000     9.8696     9.666
     13     0.0000     0.0000     2.0200      1.895    127.000   7400.000      2.000    41.2537   -35.5256   -76.7056     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2986    14.6405    14.6392     0.0013   295.0000     9.8696     9.666
     14     0.0000     0.0000     2.0250      1.860     27.000   7400.000      2.000    41.2537   -35.6368   -76.9300     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.3068    14.6405    14.6392     0.0013   295.0000     9.8698     9.589
     15     0.0000     0.0000     2.0300      1.903      2.000   7400.000      2.000    41.2537   -35.7500   -77.1544     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.3149    14.6405    14.6392     0.0013   295.0000     9.8698     9.589
     16     0.0000     0.0000     2.0350      1.875      0.000   7400.000      2.000    41.2537   -35.8622   -77.3798     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.3231    14.6405    14.6392     0.0013   295.0000     9.8698     9.589
     17    -0.0000    -0.0000     2.0400      1.865      0.000   7400.000      2.000    41.2537   -35.9754   -77.6042     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.3312    14.6405    14.6392     0.0013   295.0000     9.8662     9.528
# Sum of Counts = 7449
# Center of Mass = 1.999763+/-0.032768
# Full Width Half-Maximum = 0.018612+/-0.019273
# 10:25:07 AM  11/9/2003   scan completed.
