# scan = 49
# date = 11/9/2003
# time = 10:34:42 AM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan h .45 .55 .0025 k .45 .55 .0025 l 1.45 1.55 .0025 preset mcu 10
# builtin_command = scan h .45 .55 .0025 k .45 .55 .0025 l 1.45 1.55 .0025 preset mcu 10
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = h,h,h+1 order parameter scan base T
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554017,7.554017,3.847681,90.000000,90.000000,120.000000
# ubmatrix = -0.008230,-0.004834,0.259516,-0.134256,-0.130074,-0.012979,0.072618,-0.080146,0.005414
# mode = 0
# plane_normal = -0.022217,-0.027363,0.999379
# ubconf = C:\User\exp41\UBConf\UB08Nov2003_100555PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 10.000000
# def_x = h
# def_y = detector
# col_headers = 
#   Pt.          h          k          l       time   detector    monitor        mcu         m2         s1         s2        sgl        sgu        stl        stu         a1         a2          q         ei         ef          e       temp    coldtip    tsample
      1     0.4502     0.4502     1.4500      9.347      1.000  37000.000     10.000    41.2537    -7.4705   -55.6987     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.4834    14.6405    14.6392     0.0013   295.0000     9.9183     9.690
      2     0.4526     0.4526     1.4524      9.421      4.000  37000.000     10.000    41.2537    -7.4715   -55.8217     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.4884    14.6405    14.6392     0.0013   295.0000     9.9076     9.644
      3     0.4552     0.4551     1.4549      9.313      2.000  37000.000     10.000    41.2537    -7.4715   -55.9477     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.4936    14.6405    14.6392     0.0013   295.0000     9.9061     9.639
      4     0.4577     0.4577     1.4575      9.251      1.000  37000.000     10.000    41.2537    -7.4715   -56.0757     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.4988    14.6405    14.6392     0.0013   295.0000     9.9076     9.640
      5     0.4600     0.4600     1.4600      9.343      0.000  37000.000     10.000    41.2537    -7.4783   -56.2007     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.5040    14.6405    14.6392     0.0013   295.0000     9.9055     9.639
      6     0.4626     0.4625     1.4625      9.308      3.000  37000.000     10.000    41.2537    -7.4783   -56.3267     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.5091    14.6405    14.6392     0.0013   295.0000     9.9131     9.649
      7     0.4651     0.4651     1.4650      9.413      1.000  37000.000     10.000    41.2537    -7.4783   -56.4526     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.5143    14.6405    14.6392     0.0013   295.0000     9.9173     9.661
      8     0.4676     0.4676     1.4674      9.374      1.000  37000.000     10.000    41.2537    -7.4783   -56.5786     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.5194    14.6405    14.6392     0.0013   295.0000     9.8988     9.635
      9     0.4702     0.4702     1.4700      9.424      1.000  37000.000     10.000    41.2537    -7.4783   -56.7066     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.5246    14.6405    14.6392     0.0013   295.0000     9.9184     9.662
     10     0.4725     0.4725     1.4725      9.427      1.000  37000.000     10.000    41.2537    -7.4882   -56.8326     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.5298    14.6405    14.6392     0.0013   295.0000     9.9047     9.650
     11     0.4750     0.4750     1.4749      9.349      3.000  37000.000     10.000    41.2537    -7.4882   -56.9576     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.5349    14.6405    14.6392     0.0013   295.0000     9.9185     9.643
     12     0.4777     0.4776     1.4775      9.410      4.000  37000.000     10.000    41.2537    -7.4882   -57.0875     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.5402    14.6405    14.6392     0.0013   295.0000     9.9028     9.664
     13     0.4800     0.4800     1.4800      9.409      9.000  37000.000     10.000    41.2537    -7.4961   -57.2135     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.5453    14.6405    14.6392     0.0013   295.0000     9.9179     9.633
     14     0.4826     0.4826     1.4825      9.427     19.000  37000.000     10.000    41.2537    -7.4970   -57.3404     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.5505    14.6405    14.6392     0.0013   295.0000     9.8990     9.622
     15     0.4850     0.4850     1.4850      9.450     66.000  37000.000     10.000    41.2537    -7.5039   -57.4684     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.5557    14.6405    14.6392     0.0013   295.0000     9.9172     9.654
     16     0.4876     0.4876     1.4875      9.511    160.000  37000.000     10.000    41.2537    -7.5049   -57.5963     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.5609    14.6405    14.6392     0.0013   295.0000     9.8831     9.653
     17     0.4900     0.4900     1.4900      9.423    391.000  37000.000     10.000    41.2537    -7.5138   -57.7233     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.5660    14.6405    14.6392     0.0013   295.0000     9.9130     9.635
     18     0.4926     0.4926     1.4925      9.396   1002.000  37000.000     10.000    41.2537    -7.5138   -57.8513     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.5712    14.6405    14.6392     0.0013   295.0000     9.9154     9.631
     19     0.4950     0.4949     1.4950      9.424   1964.000  37000.000     10.000    41.2537    -7.5236   -57.9772     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.5764    14.6405    14.6392     0.0013   295.0000     9.8722     9.648
     20     0.4977     0.4976     1.4975      9.371   2827.000  37000.000     10.000    41.2537    -7.5236   -58.1082     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.5817    14.6405    14.6392     0.0013   295.0000     9.9149     9.655
     21     0.5001     0.5000     1.5000      9.413   2871.000  37000.000     10.000    41.2537    -7.5344   -58.2371     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.5869    14.6405    14.6392     0.0013   295.0000     9.9076     9.631
     22     0.5027     0.5026     1.5024      9.477   2545.000  37000.000     10.000    41.2537    -7.5354   -58.3631     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.5920    14.6405    14.6392     0.0013   295.0000     9.9140     9.579
     23     0.5050     0.5050     1.5050      9.381   1847.000  37000.000     10.000    41.2537    -7.5472   -58.4920     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.5972    14.6405    14.6392     0.0013   295.0000     9.8447     9.614
     24     0.5075     0.5075     1.5075      9.422   1079.000  37000.000     10.000    41.2537    -7.5551   -58.6219     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.6025    14.6405    14.6392     0.0013   295.0000     9.9063     9.625
     25     0.5102     0.5102     1.5099      9.473    394.000  37000.000     10.000    41.2537    -7.5551   -58.7509     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.6077    14.6405    14.6392     0.0013   295.0000     9.8944     9.625
     26     0.5125     0.5125     1.5125      9.394    161.000  37000.000     10.000    41.2537    -7.5689   -58.8788     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.6129    14.6405    14.6392     0.0013   295.0000     9.8302     9.619
     27     0.5152     0.5151     1.5149      9.388     46.000  37000.000     10.000    41.2537    -7.5699   -59.0078     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.6181    14.6405    14.6392     0.0013   295.0000     9.7576     9.550
     28     0.5175     0.5175     1.5175      9.365     22.000  37000.000     10.000    41.2537    -7.5846   -59.1387     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.6233    14.6405    14.6392     0.0013   295.0000     9.8839     9.592
     29     0.5200     0.5200     1.5200      9.426      5.000  37000.000     10.000    41.2537    -7.5935   -59.2676     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.6286    14.6405    14.6392     0.0013   295.0000     9.8883     9.607
