# scan = 50
# date = 11/9/2003
# time = 10:42:29 AM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan h 1.94 2.06 .005 k 1.94 2.06 .005 l 1.94 2.06 .005 preset mcu 20
# builtin_command = scan h 1.94 2.06 .005 k 1.94 2.06 .005 l 1.94 2.06 .005 preset mcu 20
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = 222 order parameter scan base T
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554017,7.554017,3.847681,90.000000,90.000000,120.000000
# ubmatrix = -0.008230,-0.004834,0.259516,-0.134256,-0.130074,-0.012979,0.072618,-0.080146,0.005414
# mode = 0
# plane_normal = -0.022217,-0.027363,0.999379
# ubconf = C:\User\exp41\UBConf\UB08Nov2003_100555PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 20.000000
# def_x = h
# def_y = detector
# col_headers = 
#   Pt.          h          k          l       time   detector    monitor        mcu         m2         s1         s2        sgl        sgu        stl        stu         a1         a2          q         ei         ef          e       temp    coldtip    tsample
      1     1.9400     1.9398     1.9402     18.813      3.000  74000.000     20.000    41.2537    -9.9331  -116.5757     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     4.5224    14.6405    14.6392     0.0013   295.0000     9.7802     9.571
      2     1.9452     1.9450     1.9449     18.762      3.000  74000.000     20.000    41.2537   -10.1654  -117.0540     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.5340    14.6405    14.6392     0.0013   295.0000     9.8368     9.611
      3     1.9500     1.9499     1.9500     18.601      2.000  74000.000     20.000    41.2537   -10.4094  -117.5343     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.5456    14.6405    14.6392     0.0013   295.0000     9.7666     9.578
      4     1.9550     1.9548     1.9551     18.855      2.000  74000.000     20.000    41.2537   -10.6535  -118.0196     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.5572    14.6405    14.6392     0.0013   295.0000     9.8278     9.572
      5     1.9602     1.9600     1.9599     18.796      1.000  74000.000     20.000    41.2537   -10.8957  -118.5137     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.5690    14.6405    14.6392     0.0013   295.0000     9.7807     9.527
      6     1.9650     1.9649     1.9650     18.895      4.000  74000.000     20.000    41.2537   -11.1427  -119.0028     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.5805    14.6405    14.6392     0.0013   295.0000     9.7475     9.536
      7     1.9701     1.9699     1.9700     18.750      7.000  74000.000     20.000    41.2537   -11.3927  -119.5019     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.5922    14.6405    14.6392     0.0013   295.0000     9.8026     9.528
      8     1.9751     1.9749     1.9750     18.767     26.000  74000.000     20.000    41.2537   -11.6417  -120.0009     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.6039    14.6405    14.6392     0.0013   295.0000     9.7946     9.513
      9     1.9801     1.9800     1.9800     18.769    406.000  74000.000     20.000    41.2537   -11.8937  -120.5078     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.6156    14.6405    14.6392     0.0013   295.0000     9.7894     9.521
     10     1.9852     1.9850     1.9849     18.741   1045.000  74000.000     20.000    41.2537   -12.1476  -121.0186     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.6273    14.6405    14.6392     0.0013   295.0000     9.7905     9.527
     11     1.9901     1.9899     1.9900     18.781   1398.000  74000.000     20.000    41.2537   -12.4055  -121.5294     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.6389    14.6405    14.6392     0.0013   295.0000     9.7558     9.538
     12     1.9951     1.9949     1.9950     18.774   1424.000  74000.000     20.000    41.2537   -12.6624  -122.0442     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.6505    14.6405    14.6392     0.0013   295.0000     9.8300     9.560
     13     2.0001     1.9999     2.0000     18.687   1527.000  74000.000     20.000    41.2537   -12.9222  -122.5629     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.6621    14.6405    14.6392     0.0013   295.0000     9.7678     9.573
     14     2.0051     2.0049     2.0050     18.763   1685.000  74000.000     20.000    41.2537   -13.1860  -123.0904     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.6738    14.6405    14.6392     0.0013   295.0000     9.7570     9.509
     15     2.0101     2.0099     2.0100     18.703   1550.000  74000.000     20.000    41.2537   -13.4508  -123.6190     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.6855    14.6405    14.6392     0.0013   295.0000     9.7613     9.545
     16     2.0150     2.0149     2.0150     18.670   1301.000  74000.000     20.000    41.2537   -13.7185  -124.1524     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.6971    14.6405    14.6392     0.0013   295.0000     9.7577     9.543
     17     2.0201     2.0199     2.0200     18.746    421.000  74000.000     20.000    41.2537   -13.9862  -124.6918     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.7088    14.6405    14.6392     0.0013   295.0000     9.7571     9.511
     18     2.0251     2.0249     2.0250     18.878     17.000  74000.000     20.000    41.2537   -14.2589  -125.2351     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.7204    14.6405    14.6392     0.0013   295.0000     9.7618     9.556
     19     2.0301     2.0299     2.0300     18.713      4.000  74000.000     20.000    41.2537   -14.5325  -125.7843     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.7321    14.6405    14.6392     0.0013   295.0000     9.7598     9.522
     20     2.0351     2.0349     2.0350     18.710      1.000  74000.000     20.000    41.2537   -14.8091  -126.3385     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.7438    14.6405    14.6392     0.0013   295.0000     9.7642     9.540
     21     2.0401     2.0399     2.0400     18.713      3.000  74000.000     20.000    41.2537   -15.0896  -126.8975     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.7554    14.6405    14.6392     0.0013   295.0000     9.7635     9.538
     22     2.0451     2.0449     2.0450     18.861      3.000  74000.000     20.000    41.2537   -15.3730  -127.4635     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.7671    14.6405    14.6392     0.0013   295.0000     9.7600     9.490
     23     2.0500     2.0499     2.0500     18.806      3.000  74000.000     20.000    41.2537   -15.6585  -128.0333     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.7787    14.6405    14.6392     0.0013   295.0000     9.7470     9.496
     24     2.0552     2.0550     2.0549     18.893      3.000  74000.000     20.000    41.2537   -15.9449  -128.6141     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.7905    14.6405    14.6392     0.0013   295.0000     9.7507     9.499
     25     2.0601     2.0599     2.0600     18.788      1.000  74000.000     20.000    41.2537   -16.2362  -129.1918     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.8020    14.6405    14.6392     0.0013   295.0000     9.7491     9.521
# Sum of Counts = 10840
# Center of Mass = 2.000706+/-0.027176
# Full Width Half-Maximum = 0.022109+/-0.016337
# 10:51:38 AM  11/9/2003   scan completed.
