# scan = 51
# date = 11/9/2003
# time = 10:57:50 AM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan h 0 k 0 l 1.94 2.06 .005 preset 2
# builtin_command = scan h 0 k 0 l 1.94 2.06 .005 preset 2
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = 002 order parameter UP T = 13.0000
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554017,7.554017,3.847681,90.000000,90.000000,120.000000
# ubmatrix = -0.008230,-0.004834,0.259516,-0.134256,-0.130074,-0.012979,0.072618,-0.080146,0.005414
# mode = 0
# plane_normal = -0.022217,-0.027363,0.999379
# ubconf = C:\User\exp41\UBConf\UB08Nov2003_100555PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 2.000000
# def_x = l
# def_y = detector
# col_headers = 
#   Pt.          h          k          l       time   detector    monitor        mcu         m2         s1         s2        sgl        sgu        stl        stu         a1         a2          q         ei         ef          e       temp    coldtip    tsample
      1     0.0000     0.0000     1.9400      1.872      0.000   7400.000      2.000    41.2537   -33.7520   -73.1593     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.1681    14.6405    14.6392     0.0013    13.0000    12.9830    12.781
      2     0.0000     0.0000     1.9450      1.866      0.000   7400.000      2.000    41.2537   -33.8602   -73.3759     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.1761    14.6405    14.6392     0.0013    13.0000    12.9830    12.781
      3     0.0000     0.0000     1.9499      1.891      0.000   7400.000      2.000    41.2537   -33.9695   -73.5934     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.1842    14.6405    14.6392     0.0013    13.0000    12.9830    12.781
      4     0.0000     0.0000     1.9550      1.921      0.000   7400.000      2.000    41.2537   -34.0797   -73.8158     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.1925    14.6405    14.6392     0.0013    13.0000    12.9840    12.751
      5    -0.0000    -0.0000     1.9600      1.849      0.000   7400.000      2.000    41.2537   -34.1919   -74.0363     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2006    14.6405    14.6392     0.0013    13.0000    12.9840    12.751
      6     0.0000     0.0000     1.9650      1.907      3.000   7400.000      2.000    41.2537   -34.3002   -74.2568     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2088    14.6405    14.6392     0.0013    13.0000    12.9870    12.821
      7    -0.0000    -0.0000     1.9700      1.856      2.000   7400.000      2.000    41.2537   -34.4124   -74.4763     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2169    14.6405    14.6392     0.0013    13.0000    12.9870    12.821
      8     0.0001     0.0001     1.9750      1.876     12.000   7400.000      2.000    41.2537   -34.5217   -74.7007     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2252    14.6405    14.6392     0.0013    13.0000    12.9870    12.821
      9    -0.0001    -0.0001     1.9799      1.891    142.000   7400.000      2.000    41.2537   -34.6339   -74.9182     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2332    14.6405    14.6392     0.0013    13.0000    12.9840    12.811
     10    -0.0000    -0.0000     1.9850      1.888    537.000   7400.000      2.000    41.2537   -34.7441   -75.1416     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2414    14.6405    14.6392     0.0013    13.0000    12.9840    12.811
     11     0.0000     0.0000     1.9900      1.894    980.000   7400.000      2.000    41.2537   -34.8553   -75.3650     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2496    14.6405    14.6392     0.0013    13.0000    12.9840    12.811
     12     0.0000     0.0000     1.9950      1.845   1214.000   7400.000      2.000    41.2537   -34.9656   -75.5875     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2578    14.6405    14.6392     0.0013    13.0000    12.9750    12.776
     13     0.0000     0.0000     2.0000      1.884   1428.000   7400.000      2.000    41.2537   -35.0778   -75.8099     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2659    14.6405    14.6392     0.0013    13.0000    12.9750    12.776
     14     0.0000     0.0000     2.0050      1.882   1370.000   7400.000      2.000    41.2537   -35.1900   -76.0343     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2741    14.6405    14.6392     0.0013    13.0000    12.9760    12.790
     15     0.0000     0.0000     2.0100      1.850    970.000   7400.000      2.000    41.2537   -35.3012   -76.2587     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2823    14.6405    14.6392     0.0013    13.0000    12.9760    12.790
     16    -0.0000    -0.0000     2.0150      1.905    546.000   7400.000      2.000    41.2537   -35.4134   -76.4802     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2904    14.6405    14.6392     0.0013    13.0000    12.9760    12.790
     17     0.0000     0.0000     2.0200      1.885    155.000   7400.000      2.000    41.2537   -35.5246   -76.7056     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2986    14.6405    14.6392     0.0013    13.0000    12.9860    12.788
     18    -0.0000    -0.0000     2.0250      1.881     18.000   7400.000      2.000    41.2537   -35.6378   -76.9290     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.3067    14.6405    14.6392     0.0013    13.0000    12.9860    12.788
     19    -0.0000    -0.0000     2.0300      1.856      2.000   7400.000      2.000    41.2537   -35.7510   -77.1544     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.3149    14.6405    14.6392     0.0013    13.0000    12.9860    12.788
     20     0.0000     0.0000     2.0350      1.911      2.000   7400.000      2.000    41.2537   -35.8622   -77.3798     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.3231    14.6405    14.6392     0.0013    13.0000    12.9890    12.792
     21     0.0000     0.0000     2.0400      1.862      1.000   7400.000      2.000    41.2537   -35.9754   -77.6052     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.3313    14.6405    14.6392     0.0013    13.0000    12.9890    12.792
     22     0.0000     0.0000     2.0450      1.869      2.000   7400.000      2.000    41.2537   -36.0876   -77.8326     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.3395    14.6405    14.6392     0.0013    13.0000    12.9900    12.810
     23     0.0000     0.0000     2.0500      1.860      0.000   7400.000      2.000    41.2537   -36.2008   -78.0580     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.3476    14.6405    14.6392     0.0013    13.0000    12.9900    12.810
     24     0.0000     0.0000     2.0550      1.927      0.000   7400.000      2.000    41.2537   -36.3150   -78.2853     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.3558    14.6405    14.6392     0.0013    13.0000    12.9900    12.810
     25     0.0000     0.0000     2.0600      1.862      0.000   7400.000      2.000    41.2537   -36.4291   -78.5137     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.3640    14.6405    14.6392     0.0013    13.0000    12.9950    12.771
# Sum of Counts = 7384
# Center of Mass = 2.000177+/-0.032918
# Full Width Half-Maximum = 0.018859+/-0.019459
# 10:59:47 AM  11/9/2003   scan completed.
