# scan = 53
# date = 11/9/2003
# time = 11:01:54 AM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan h .45 .55 .0025 k .45 .55 .0025 l .45 .55 .0025 preset mcu 10
# builtin_command = scan h .45 .55 .0025 k .45 .55 .0025 l .45 .55 .0025 preset mcu 10
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = hhh order parameter UP T = 13.0000
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554017,7.554017,3.847681,90.000000,90.000000,120.000000
# ubmatrix = -0.008230,-0.004834,0.259516,-0.134256,-0.130074,-0.012979,0.072618,-0.080146,0.005414
# mode = 0
# plane_normal = -0.022217,-0.027363,0.999379
# ubconf = C:\User\exp41\UBConf\UB08Nov2003_100555PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 10.000000
# def_x = h
# def_y = detector
# col_headers = 
#   Pt.          h          k          l       time   detector    monitor        mcu         m2         s1         s2        sgl        sgu        stl        stu         a1         a2          q         ei         ef          e       temp    coldtip    tsample
      1     0.4500     0.4500     0.4500      9.370      3.000  37000.000     10.000    41.2537    36.9715   -22.7617     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.0490    14.6405    14.6392     0.0013    13.0000    13.0030    12.790
      2     0.4525     0.4525     0.4525      9.453      2.000  37000.000     10.000    41.2537    36.9094   -22.8887     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.0548    14.6405    14.6392     0.0013    13.0000    12.9720    12.710
      3     0.4550     0.4550     0.4550      9.405      3.000  37000.000     10.000    41.2537    36.8445   -23.0176     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.0607    14.6405    14.6392     0.0013    13.0000    12.9670    12.695
      4     0.4575     0.4575     0.4575      9.465      1.000  37000.000     10.000    41.2537    36.7815   -23.1465     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.0665    14.6405    14.6392     0.0013    13.0000    13.0030    12.779
      5     0.4600     0.4600     0.4600      9.463      2.000  37000.000     10.000    41.2537    36.7175   -23.2725     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.0722    14.6405    14.6392     0.0013    13.0000    12.9660    12.746
      6     0.4625     0.4625     0.4625      9.354      6.000  37000.000     10.000    41.2537    36.6535   -23.4015     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.0781    14.6405    14.6392     0.0013    13.0000    13.0070    12.782
      7     0.4651     0.4650     0.4650      9.427      0.000  37000.000     10.000    41.2537    36.5886   -23.5324     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.0840    14.6405    14.6392     0.0013    13.0000    12.9640    12.733
      8     0.4675     0.4675     0.4675      9.521      4.000  37000.000     10.000    41.2537    36.5236   -23.6603     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.0899    14.6405    14.6392     0.0013    13.0000    12.9640    12.751
      9     0.4700     0.4700     0.4700      9.457      1.000  37000.000     10.000    41.2537    36.4606   -23.7863     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.0956    14.6405    14.6392     0.0013    13.0000    12.9650    12.759
     10     0.4725     0.4725     0.4725      9.492      3.000  37000.000     10.000    41.2537    36.3967   -23.9143     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.1014    14.6405    14.6392     0.0013    13.0000    12.9640    12.741
     11     0.4750     0.4750     0.4750      9.412      0.000  37000.000     10.000    41.2537    36.3327   -24.0432     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.1072    14.6405    14.6392     0.0013    13.0000    12.9650    12.734
     12     0.4775     0.4775     0.4775      9.416      2.000  37000.000     10.000    41.2537    36.2677   -24.1731     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.1131    14.6405    14.6392     0.0013    13.0000    12.9680    12.783
     13     0.4800     0.4800     0.4800      9.288      5.000  37000.000     10.000    41.2537    36.2037   -24.3011     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.1189    14.6405    14.6392     0.0013    13.0000    12.9680    12.743
     14     0.4825     0.4825     0.4825      9.275     25.000  37000.000     10.000    41.2537    36.1398   -24.4290     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.1247    14.6405    14.6392     0.0013    13.0000    12.9760    12.749
     15     0.4851     0.4850     0.4850      9.281    132.000  37000.000     10.000    41.2537    36.0768   -24.5589     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.1306    14.6405    14.6392     0.0013    13.0000    12.9720    12.776
     16     0.4875     0.4875     0.4875      9.328    447.000  37000.000     10.000    41.2537    36.0118   -24.6869     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.1364    14.6405    14.6392     0.0013    13.0000    12.9770    12.752
     17     0.4900     0.4900     0.4900      9.346   1152.000  37000.000     10.000    41.2537    35.9478   -24.8139     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.1422    14.6405    14.6392     0.0013    13.0000    13.0120    12.780
     18     0.4925     0.4925     0.4925      9.372   1921.000  37000.000     10.000    41.2537    35.8829   -24.9438     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.1481    14.6405    14.6392     0.0013    13.0000    12.9840    12.770
     19     0.4950     0.4950     0.4950      9.306   2748.000  37000.000     10.000    41.2537    35.8189   -25.0717     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.1539    14.6405    14.6392     0.0013    13.0000    12.9830    12.779
     20     0.4976     0.4975     0.4975      9.313   3973.000  37000.000     10.000    41.2537    35.7539   -25.2026     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.1598    14.6405    14.6392     0.0013    13.0000    13.0190    12.766
     21     0.5000     0.5000     0.5000      9.265   5076.000  37000.000     10.000    41.2537    35.6890   -25.3306     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.1656    14.6405    14.6392     0.0013    13.0000    12.9840    12.773
