# scan = 59
# date = 11/9/2003
# time = 11:44:09 AM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan h .45 .55 .0025 k .45 .55 .0025 l 1.45 1.55 .0025 preset mcu 10
# builtin_command = scan h .45 .55 .0025 k .45 .55 .0025 l 1.45 1.55 .0025 preset mcu 10
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = h,h,h+1 order parameter UP T = 16.0000
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554017,7.554017,3.847681,90.000000,90.000000,120.000000
# ubmatrix = -0.008230,-0.004834,0.259516,-0.134256,-0.130074,-0.012979,0.072618,-0.080146,0.005414
# mode = 0
# plane_normal = -0.022217,-0.027363,0.999379
# ubconf = C:\User\exp41\UBConf\UB08Nov2003_100555PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 10.000000
# def_x = h
# def_y = detector
# col_headers = 
#   Pt.          h          k          l       time   detector    monitor        mcu         m2         s1         s2        sgl        sgu        stl        stu         a1         a2          q         ei         ef          e       temp    coldtip    tsample
      1     0.4502     0.4502     1.4499      9.371      2.000  37000.000     10.000    41.2537    -7.4705   -55.6977     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.4833    14.6405    14.6392     0.0013    16.0000    15.9850    15.844
      2     0.4527     0.4526     1.4524      9.443      0.000  37000.000     10.000    41.2537    -7.4715   -55.8227     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.4885    14.6405    14.6392     0.0013    16.0000    15.9800    15.796
      3     0.4552     0.4551     1.4549      9.404      6.000  37000.000     10.000    41.2537    -7.4715   -55.9487     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.4936    14.6405    14.6392     0.0013    16.0000    15.9810    15.775
      4     0.4577     0.4577     1.4574      9.314      0.000  37000.000     10.000    41.2537    -7.4715   -56.0747     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.4988    14.6405    14.6392     0.0013    16.0000    15.9780    15.794
      5     0.4600     0.4600     1.4600      9.379      0.000  37000.000     10.000    41.2537    -7.4783   -56.2007     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.5040    14.6405    14.6392     0.0013    16.0000    15.9820    15.795
      6     0.4626     0.4625     1.4625      9.334      2.000  37000.000     10.000    41.2537    -7.4783   -56.3276     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.5091    14.6405    14.6392     0.0013    16.0000    15.9810    15.807
      7     0.4651     0.4650     1.4650      9.435      3.000  37000.000     10.000    41.2537    -7.4783   -56.4517     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.5142    14.6405    14.6392     0.0013    16.0000    15.9790    15.795
      8     0.4676     0.4676     1.4674      9.297      3.000  37000.000     10.000    41.2537    -7.4783   -56.5786     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.5194    14.6405    14.6392     0.0013    16.0000    15.9760    15.808
      9     0.4702     0.4702     1.4700      9.427      2.000  37000.000     10.000    41.2537    -7.4783   -56.7076     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.5247    14.6405    14.6392     0.0013    16.0000    15.9730    15.826
     10     0.4725     0.4725     1.4725      9.350      3.000  37000.000     10.000    41.2537    -7.4872   -56.8316     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.5297    14.6405    14.6392     0.0013    16.0000    15.9720    15.828
     11     0.4751     0.4751     1.4750      9.381      3.000  37000.000     10.000    41.2537    -7.4872   -56.9585     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.5349    14.6405    14.6392     0.0013    16.0000    15.9970    15.808
     12     0.4777     0.4776     1.4774      9.407      5.000  37000.000     10.000    41.2537    -7.4872   -57.0865     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.5401    14.6405    14.6392     0.0013    16.0000    15.9780    15.827
     13     0.4800     0.4800     1.4800      9.408      5.000  37000.000     10.000    41.2537    -7.4970   -57.2135     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.5453    14.6405    14.6392     0.0013    16.0000    15.9740    15.786
     14     0.4826     0.4826     1.4825      9.423     31.000  37000.000     10.000    41.2537    -7.4970   -57.3414     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.5505    14.6405    14.6392     0.0013    16.0000    15.9740    15.804
     15     0.4852     0.4851     1.4849      9.296     71.000  37000.000     10.000    41.2537    -7.4980   -57.4674     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.5556    14.6405    14.6392     0.0013    16.0000    15.9750    15.818
     16     0.4875     0.4875     1.4875      9.268    142.000  37000.000     10.000    41.2537    -7.5089   -57.5963     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.5609    14.6405    14.6392     0.0013    16.0000    15.9770    15.779
     17     0.4901     0.4901     1.4900      9.351    372.000  37000.000     10.000    41.2537    -7.5089   -57.7233     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.5660    14.6405    14.6392     0.0013    16.0000    16.0000    15.796
     18     0.4925     0.4925     1.4925      9.302    961.000  37000.000     10.000    41.2537    -7.5187   -57.8513     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.5712    14.6405    14.6392     0.0013    16.0000    15.9770    15.779
     19     0.4951     0.4951     1.4949      9.364   1969.000  37000.000     10.000    41.2537    -7.5187   -57.9772     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.5764    14.6405    14.6392     0.0013    16.0000    15.9780    15.809
     20     0.4975     0.4975     1.4975      9.490   2791.000  37000.000     10.000    41.2537    -7.5295   -58.1082     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.5817    14.6405    14.6392     0.0013    16.0000    15.9810    15.840
     21     0.5002     0.5001     1.5000      9.359   2862.000  37000.000     10.000    41.2537    -7.5295   -58.2361     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.5869    14.6405    14.6392     0.0013    16.0000    15.9880    15.790
