# scan = 60
# date = 11/9/2003
# time = 11:51:55 AM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan h 1.94 2.06 .005 k 1.94 2.06 .005 l 1.94 2.06 .005 preset mcu 20
# builtin_command = scan h 1.94 2.06 .005 k 1.94 2.06 .005 l 1.94 2.06 .005 preset mcu 20
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = 222 order parameter UP T = 16.0000
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554017,7.554017,3.847681,90.000000,90.000000,120.000000
# ubmatrix = -0.008230,-0.004834,0.259516,-0.134256,-0.130074,-0.012979,0.072618,-0.080146,0.005414
# mode = 0
# plane_normal = -0.022217,-0.027363,0.999379
# ubconf = C:\User\exp41\UBConf\UB08Nov2003_100555PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 20.000000
# def_x = h
# def_y = detector
# col_headers = 
#   Pt.          h          k          l       time   detector    monitor        mcu         m2         s1         s2        sgl        sgu        stl        stu         a1         a2          q         ei         ef          e       temp    coldtip    tsample
      1     1.9400     1.9398     1.9401     18.792      1.000  74000.000     20.000    41.2537    -9.9321  -116.5757     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     4.5224    14.6405    14.6392     0.0013    16.0000    16.0180    15.810
      2     1.9451     1.9449     1.9450     18.609      1.000  74000.000     20.000    41.2537   -10.1663  -117.0520     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.5339    14.6405    14.6392     0.0013    16.0000    16.0050    15.796
      3     1.9501     1.9500     1.9500     18.908      4.000  74000.000     20.000    41.2537   -10.4075  -117.5363     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.5456    14.6405    14.6392     0.0013    16.0000    16.0080    15.821
      4     1.9550     1.9548     1.9551     18.663      1.000  74000.000     20.000    41.2537   -10.6535  -118.0206     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.5572    14.6405    14.6392     0.0013    16.0000    16.0030    15.806
      5     1.9601     1.9599     1.9600     18.680      3.000  74000.000     20.000    41.2537   -10.8967  -118.5127     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.5690    14.6405    14.6392     0.0013    16.0000    16.0050    15.801
      6     1.9650     1.9649     1.9650     18.762      5.000  74000.000     20.000    41.2537   -11.1427  -119.0028     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.5805    14.6405    14.6392     0.0013    16.0000    16.0060    15.816
      7     1.9701     1.9699     1.9700     18.729      6.000  74000.000     20.000    41.2537   -11.3917  -119.5009     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.5922    14.6405    14.6392     0.0013    16.0000    16.0110    15.846
      8     1.9751     1.9749     1.9750     18.648     27.000  74000.000     20.000    41.2537   -11.6417  -120.0009     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.6039    14.6405    14.6392     0.0013    16.0000    15.9830    15.822
      9     1.9802     1.9800     1.9800     18.832    428.000  74000.000     20.000    41.2537   -11.8937  -120.5087     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.6156    14.6405    14.6392     0.0013    16.0000    15.9860    15.789
     10     1.9852     1.9850     1.9850     18.750   1066.000  74000.000     20.000    41.2537   -12.1476  -121.0176     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.6273    14.6405    14.6392     0.0013    16.0000    15.9910    15.803
     11     1.9901     1.9899     1.9901     18.631   1434.000  74000.000     20.000    41.2537   -12.4065  -121.5294     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.6389    14.6405    14.6392     0.0013    16.0000    16.0090    15.733
     12     1.9951     1.9949     1.9950     18.732   1462.000  74000.000     20.000    41.2537   -12.6624  -122.0442     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.6505    14.6405    14.6392     0.0013    16.0000    15.9980    15.820
     13     2.0001     1.9999     2.0000     18.886   1627.000  74000.000     20.000    41.2537   -12.9222  -122.5639     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.6622    14.6405    14.6392     0.0013    16.0000    16.0010    15.813
     14     2.0051     2.0049     2.0050     18.728   1629.000  74000.000     20.000    41.2537   -13.1850  -123.0895     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.6738    14.6405    14.6392     0.0013    16.0000    16.0210    15.754
     15     2.0101     2.0099     2.0100     18.716   1573.000  74000.000     20.000    41.2537   -13.4518  -123.6200     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.6855    14.6405    14.6392     0.0013    16.0000    16.0070    15.818
     16     2.0150     2.0149     2.0150     18.637   1281.000  74000.000     20.000    41.2537   -13.7185  -124.1524     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.6971    14.6405    14.6392     0.0013    16.0000    16.0270    15.855
     17     2.0201     2.0200     2.0200     18.788    429.000  74000.000     20.000    41.2537   -13.9862  -124.6928     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.7088    14.6405    14.6392     0.0013    16.0000    16.0280    15.836
     18     2.0251     2.0249     2.0250     18.871     24.000  74000.000     20.000    41.2537   -14.2589  -125.2351     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.7204    14.6405    14.6392     0.0013    16.0000    16.0280    15.836
     19     2.0301     2.0299     2.0300     18.792      3.000  74000.000     20.000    41.2537   -14.5335  -125.7853     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.7321    14.6405    14.6392     0.0013    16.0000    16.0280    15.821
     20     2.0351     2.0349     2.0350     18.727      1.000  74000.000     20.000    41.2537   -14.8091  -126.3375     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.7437    14.6405    14.6392     0.0013    16.0000    16.0160    15.847
     21     2.0400     2.0398     2.0400     18.681      2.000  74000.000     20.000    41.2537   -15.0906  -126.8965     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.7554    14.6405    14.6392     0.0013    16.0000    16.0260    15.825
     22     2.0450     2.0449     2.0450     18.687      5.000  74000.000     20.000    41.2537   -15.3730  -127.4625     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.7671    14.6405    14.6392     0.0013    16.0000    16.0140    15.813
     23     2.0500     2.0498     2.0501     18.853      5.000  74000.000     20.000    41.2537   -15.6594  -128.0333     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.7787    14.6405    14.6392     0.0013    16.0000    16.0140    15.815
     24     2.0553     2.0551     2.0549     18.910      2.000  74000.000     20.000    41.2537   -15.9439  -128.6141     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.7905    14.6405    14.6392     0.0013    16.0000    16.0220    15.857
     25     2.0602     2.0600     2.0599     18.730      1.000  74000.000     20.000    41.2537   -16.2352  -129.1928     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.8020    14.6405    14.6392     0.0013    16.0000    16.0280    15.874
# Sum of Counts = 11020
# Center of Mass = 2.000593+/-0.026952
# Full Width Half-Maximum = 0.022085+/-0.016133
# 12:01:03 PM  11/9/2003   scan completed.
