# scan = 86
# date = 11/9/2003
# time = 2:59:24 PM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan h 0 k 0 l 1.94 2.06 .005 preset 2
# builtin_command = scan h 0 k 0 l 1.94 2.06 .005 preset 2
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = 002 order parameter UP T = 34.0000
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554017,7.554017,3.847681,90.000000,90.000000,120.000000
# ubmatrix = -0.008230,-0.004834,0.259516,-0.134256,-0.130074,-0.012979,0.072618,-0.080146,0.005414
# mode = 0
# plane_normal = -0.022217,-0.027363,0.999379
# ubconf = C:\User\exp41\UBConf\UB08Nov2003_100555PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 2.000000
# def_x = l
# def_y = detector
# col_headers = 
#   Pt.          h          k          l       time   detector    monitor        mcu         m2         s1         s2        sgl        sgu        stl        stu         a1         a2          q         ei         ef          e       temp    coldtip    tsample
      1     0.0000     0.0000     1.9400      1.858      1.000   7400.000      2.000    41.2537   -33.7520   -73.1583     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.1680    14.6405    14.6392     0.0013    34.0000    34.0820    40.714
      2     0.0000     0.0000     1.9450      1.863      0.000   7400.000      2.000    41.2537   -33.8602   -73.3769     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.1761    14.6405    14.6392     0.0013    34.0000    34.0820    40.714
      3     0.0000     0.0000     1.9500      1.888      0.000   7400.000      2.000    41.2537   -33.9695   -73.5954     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.1843    14.6405    14.6392     0.0013    34.0000    34.0700    41.447
      4     0.0000     0.0000     1.9550      1.909      0.000   7400.000      2.000    41.2537   -34.0797   -73.8158     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.1925    14.6405    14.6392     0.0013    34.0000    34.0700    41.447
      5     0.0000     0.0000     1.9600      1.877      0.000   7400.000      2.000    41.2537   -34.1909   -74.0363     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2006    14.6405    14.6392     0.0013    34.0000    34.0540    42.184
      6     0.0000     0.0000     1.9650      1.859      3.000   7400.000      2.000    41.2537   -34.3012   -74.2578     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2088    14.6405    14.6392     0.0013    34.0000    34.0540    42.184
      7    -0.0001    -0.0001     1.9700      1.886      2.000   7400.000      2.000    41.2537   -34.4134   -74.4763     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2169    14.6405    14.6392     0.0013    34.0000    34.0540    42.184
      8     0.0000     0.0000     1.9750      1.898     25.000   7400.000      2.000    41.2537   -34.5226   -74.7007     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2252    14.6405    14.6392     0.0013    34.0000    33.9910    41.518
      9    -0.0000    -0.0000     1.9800      1.880    169.000   7400.000      2.000    41.2537   -34.6339   -74.9192     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2332    14.6405    14.6392     0.0013    34.0000    33.9910    41.518
     10     0.0000     0.0000     1.9850      1.856    622.000   7400.000      2.000    41.2537   -34.7441   -75.1426     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2415    14.6405    14.6392     0.0013    34.0000    33.9910    41.518
