# scan = 89
# date = 11/9/2003
# time = 3:11:25 PM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan h .45 .55 .0025 k .45 .55 .0025 l 1.45 1.55 .0025 preset mcu 10
# builtin_command = scan h .45 .55 .0025 k .45 .55 .0025 l 1.45 1.55 .0025 preset mcu 10
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = h,h,h+1 order parameter UP T = 34.0000
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554017,7.554017,3.847681,90.000000,90.000000,120.000000
# ubmatrix = -0.008230,-0.004834,0.259516,-0.134256,-0.130074,-0.012979,0.072618,-0.080146,0.005414
# mode = 0
# plane_normal = -0.022217,-0.027363,0.999379
# ubconf = C:\User\exp41\UBConf\UB08Nov2003_100555PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 10.000000
# def_x = h
# def_y = detector
# col_headers = 
#   Pt.          h          k          l       time   detector    monitor        mcu         m2         s1         s2        sgl        sgu        stl        stu         a1         a2          q         ei         ef          e       temp    coldtip    tsample
      1     0.4500     0.4500     1.4500      9.399      3.000  37000.000     10.000    41.2537    -7.4793   -55.6987     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.4834    14.6405    14.6392     0.0013    34.0000    34.0490    43.522
      2     0.4525     0.4524     1.4525      9.417      2.000  37000.000     10.000    41.2537    -7.4793   -55.8217     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.4884    14.6405    14.6392     0.0013    34.0000    33.9840    40.808
      3     0.4550     0.4549     1.4550      9.331      2.000  37000.000     10.000    41.2537    -7.4793   -55.9487     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.4936    14.6405    14.6392     0.0013    34.0000    34.0010    41.865
      4     0.4575     0.4575     1.4575      9.338      3.000  37000.000     10.000    41.2537    -7.4793   -56.0747     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.4988    14.6405    14.6392     0.0013    34.0000    33.9850    40.882
      5     0.4600     0.4600     1.4600      9.350      1.000  37000.000     10.000    41.2537    -7.4793   -56.2007     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.5040    14.6405    14.6392     0.0013    34.0000    33.9770    40.782
      6     0.4625     0.4625     1.4625      9.383      5.000  37000.000     10.000    41.2537    -7.4793   -56.3267     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.5091    14.6405    14.6392     0.0013    34.0000    33.9850    40.963
      7     0.4651     0.4650     1.4650      9.418      0.000  37000.000     10.000    41.2537    -7.4793   -56.4517     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.5142    14.6405    14.6392     0.0013    34.0000    33.9870    40.609
      8     0.4676     0.4676     1.4675      9.390      2.000  37000.000     10.000    41.2537    -7.4793   -56.5786     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.5194    14.6405    14.6392     0.0013    34.0000    33.9980    41.107
      9     0.4702     0.4702     1.4700      9.326      1.000  37000.000     10.000    41.2537    -7.4793   -56.7066     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.5246    14.6405    14.6392     0.0013    34.0000    33.9830    39.140
     10     0.4725     0.4725     1.4725      9.357      4.000  37000.000     10.000    41.2537    -7.4872   -56.8316     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.5297    14.6405    14.6392     0.0013    34.0000    33.9660    36.801
