# scan = 134
# date = 11/9/2003
# time = 8:25:42 PM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan h .45 .55 .0025 k .45 .55 .0025 l 1.45 1.55 .0025 preset mcu 10
# builtin_command = scan h .45 .55 .0025 k .45 .55 .0025 l 1.45 1.55 .0025 preset mcu 10
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = h,h,h+1 order parameter DN T = 55.0000
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554017,7.554017,3.847681,90.000000,90.000000,120.000000
# ubmatrix = -0.008230,-0.004834,0.259516,-0.134256,-0.130074,-0.012979,0.072618,-0.080146,0.005414
# mode = 0
# plane_normal = -0.022217,-0.027363,0.999379
# ubconf = C:\User\exp41\UBConf\UB08Nov2003_100555PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 10.000000
# def_x = h
# def_y = detector
# col_headers = 
#   Pt.          h          k          l       time   detector    monitor        mcu         m2         s1         s2        sgl        sgu        stl        stu         a1         a2          q         ei         ef          e       temp    coldtip    tsample
      1     0.4502     0.4502     1.4500      9.263      1.000  37000.000     10.000    41.2537    -7.4715   -55.6987     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.4834    14.6405    14.6392     0.0013    55.0000    55.0000    64.195
      2     0.4526     0.4526     1.4524      9.264      5.000  37000.000     10.000    41.2537    -7.4715   -55.8217     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.4884    14.6405    14.6392     0.0013    55.0000    54.9780    62.109
      3     0.4552     0.4551     1.4549      9.273      1.000  37000.000     10.000    41.2537    -7.4715   -55.9487     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.4936    14.6405    14.6392     0.0013    55.0000    54.9880    62.964
      4     0.4577     0.4577     1.4574      9.401      3.000  37000.000     10.000    41.2537    -7.4715   -56.0747     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.4988    14.6405    14.6392     0.0013    55.0000    54.9900    61.841
      5     0.4601     0.4600     1.4600      9.279      1.000  37000.000     10.000    41.2537    -7.4783   -56.2017     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.5040    14.6405    14.6392     0.0013    55.0000    54.9980    61.933
      6     0.4625     0.4625     1.4625      9.285      2.000  37000.000     10.000    41.2537    -7.4793   -56.3267     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.5091    14.6405    14.6392     0.0013    55.0000    55.0080    62.952
      7     0.4651     0.4650     1.4650      9.400      2.000  37000.000     10.000    41.2537    -7.4793   -56.4517     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.5142    14.6405    14.6392     0.0013    55.0000    55.0170    63.305
      8     0.4676     0.4676     1.4675      9.379      4.000  37000.000     10.000    41.2537    -7.4793   -56.5786     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.5194    14.6405    14.6392     0.0013    55.0000    55.0160    63.092
      9     0.4702     0.4702     1.4700      9.364      0.000  37000.000     10.000    41.2537    -7.4793   -56.7066     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.5246    14.6405    14.6392     0.0013    55.0000    55.0330    63.558
     10     0.4725     0.4725     1.4725      9.498      5.000  37000.000     10.000    41.2537    -7.4872   -56.8316     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.5297    14.6405    14.6392     0.0013    55.0000    55.0070    62.380
     11     0.4751     0.4750     1.4749      9.340      2.000  37000.000     10.000    41.2537    -7.4872   -56.9576     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.5349    14.6405    14.6392     0.0013    55.0000    55.0120    62.449
     12     0.4777     0.4777     1.4775      9.258      0.000  37000.000     10.000    41.2537    -7.4872   -57.0875     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.5402    14.6405    14.6392     0.0013    55.0000    55.0120    62.919
     13     0.4800     0.4800     1.4800      9.356      2.000  37000.000     10.000    41.2537    -7.4970   -57.2135     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.5453    14.6405    14.6392     0.0013    55.0000    54.9940    61.153
     14     0.4826     0.4826     1.4825      9.355      0.000  37000.000     10.000    41.2537    -7.4970   -57.3414     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.5505    14.6405    14.6392     0.0013    55.0000    54.9980    62.359
     15     0.4850     0.4850     1.4850      9.294      4.000  37000.000     10.000    41.2537    -7.5039   -57.4674     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.5556    14.6405    14.6392     0.0013    55.0000    55.0000    62.768
     16     0.4876     0.4876     1.4875      9.300      2.000  37000.000     10.000    41.2537    -7.5049   -57.5963     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.5609    14.6405    14.6392     0.0013    55.0000    54.9970    62.454
     17     0.4900     0.4900     1.4900      9.240      2.000  37000.000     10.000    41.2537    -7.5138   -57.7233     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.5660    14.6405    14.6392     0.0013    55.0000    54.9680    61.659
     18     0.4926     0.4926     1.4924      9.367      3.000  37000.000     10.000    41.2537    -7.5138   -57.8503     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.5712    14.6405    14.6392     0.0013    55.0000    54.9650    61.050
     19     0.4950     0.4949     1.4950      9.361      1.000  37000.000     10.000    41.2537    -7.5236   -57.9772     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.5764    14.6405    14.6392     0.0013    55.0000    54.9810    62.105
     20     0.4977     0.4976     1.4975      9.362      3.000  37000.000     10.000    41.2537    -7.5236   -58.1082     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.5817    14.6405    14.6392     0.0013    55.0000    54.9840    63.168
     21     0.5001     0.5000     1.5000      9.416      1.000  37000.000     10.000    41.2537    -7.5344   -58.2371     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.5869    14.6405    14.6392     0.0013    55.0000    54.9770    61.913
     22     0.5027     0.5026     1.5024      9.273      1.000  37000.000     10.000    41.2537    -7.5354   -58.3641     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.5920    14.6405    14.6392     0.0013    55.0000    54.9970    62.329
     23     0.5050     0.5050     1.5050      9.407      2.000  37000.000     10.000    41.2537    -7.5482   -58.4920     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.5972    14.6405    14.6392     0.0013    55.0000    54.9800    61.670
     24     0.5077     0.5077     1.5074      9.369      3.000  37000.000     10.000    41.2537    -7.5482   -58.6219     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.6025    14.6405    14.6392     0.0013    55.0000    54.9900    61.756
     25     0.5101     0.5100     1.5100      9.332      2.000  37000.000     10.000    41.2537    -7.5610   -58.7509     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.6077    14.6405    14.6392     0.0013    55.0000    55.0470    64.781
     26     0.5125     0.5125     1.5125      9.373      1.000  37000.000     10.000    41.2537    -7.5689   -58.8788     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.6129    14.6405    14.6392     0.0013    55.0000    55.0410    63.864
     27     0.5152     0.5151     1.5149      9.389      1.000  37000.000     10.000    41.2537    -7.5699   -59.0078     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.6181    14.6405    14.6392     0.0013    55.0000    55.0170    62.644
     28     0.5176     0.5175     1.5175      9.282      0.000  37000.000     10.000    41.2537    -7.5837   -59.1387     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.6233    14.6405    14.6392     0.0013    55.0000    55.0170    62.026
     29     0.5200     0.5200     1.5200      9.267      5.000  37000.000     10.000    41.2537    -7.5935   -59.2676     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.6286    14.6405    14.6392     0.0013    55.0000    55.0180    62.446
     30     0.5225     0.5225     1.5225      9.324      1.000  37000.000     10.000    41.2537    -7.6024   -59.3975     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.6338    14.6405    14.6392     0.0013    55.0000    55.0220    62.781
     31     0.5250     0.5250     1.5250      9.270      2.000  37000.000     10.000    41.2537    -7.6102   -59.5265     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.6390    14.6405    14.6392     0.0013    55.0000    55.0170    63.503
     32     0.5276     0.5275     1.5275      9.246      4.000  37000.000     10.000    41.2537    -7.6201   -59.6583     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.6443    14.6405    14.6392     0.0013    55.0000    54.9940    61.566
     33     0.5300     0.5300     1.5300      9.337      3.000  37000.000     10.000    41.2537    -7.6299   -59.7863     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.6494    14.6405    14.6392     0.0013    55.0000    55.0170    63.971
     34     0.5325     0.5325     1.5325      9.313      2.000  37000.000     10.000    41.2537    -7.6388   -59.9162     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.6547    14.6405    14.6392     0.0013    55.0000    54.9710    61.335
     35     0.5350     0.5349     1.5350      9.316      3.000  37000.000     10.000    41.2537    -7.6496   -60.0452     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.6598    14.6405    14.6392     0.0013    55.0000    54.9840    62.000
     36     0.5376     0.5375     1.5375      9.307      3.000  37000.000     10.000    41.2537    -7.6585   -60.1790     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.6652    14.6405    14.6392     0.0013    55.0000    54.9960    63.731
     37     0.5400     0.5400     1.5400      9.379      3.000  37000.000     10.000    41.2537    -7.6713   -60.3099     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.6705    14.6405    14.6392     0.0013    55.0000    54.9820    63.249
     38     0.5425     0.5425     1.5425      9.422      2.000  37000.000     10.000    41.2537    -7.6801   -60.4389     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.6756    14.6405    14.6392     0.0013    55.0000    54.9860    62.711
     39     0.5450     0.5450     1.5450      9.292      5.000  37000.000     10.000    41.2537    -7.6919   -60.5708     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.6809    14.6405    14.6392     0.0013    55.0000    54.9850    62.955
     40     0.5476     0.5475     1.5475      9.374      3.000  37000.000     10.000    41.2537    -7.7028   -60.7017     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.6862    14.6405    14.6392     0.0013    55.0000    54.9820    61.491
     41     0.5500     0.5499     1.5500      9.323      4.000  37000.000     10.000    41.2537    -7.7165   -60.8306     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.6913    14.6405    14.6392     0.0013    55.0000    54.9970    62.478
# Sum of Counts = 94
# Center of Mass = 0.503971+/-0.073584
# Full Width Half-Maximum = 0.063169+/-0.028670
# 8:33:28 PM  11/9/2003   scan completed.
