# scan = 168
# date = 11/10/2003
# time = 12:16:56 AM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan h .45 .55 .0025 k .45 .55 .0025 l .45 .55 .0025 preset mcu 10
# builtin_command = scan h .45 .55 .0025 k .45 .55 .0025 l .45 .55 .0025 preset mcu 10
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = hhh order parameter DN T = 34.0000
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554017,7.554017,3.847681,90.000000,90.000000,120.000000
# ubmatrix = -0.008230,-0.004834,0.259516,-0.134256,-0.130074,-0.012979,0.072618,-0.080146,0.005414
# mode = 0
# plane_normal = -0.022217,-0.027363,0.999379
# ubconf = C:\User\exp41\UBConf\UB08Nov2003_100555PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 10.000000
# def_x = h
# def_y = detector
# col_headers = 
#   Pt.          h          k          l       time   detector    monitor        mcu         m2         s1         s2        sgl        sgu        stl        stu         a1         a2          q         ei         ef          e       temp    coldtip    tsample
      1     0.4500     0.4500     0.4500      9.254      4.000  37000.000     10.000    41.2537    36.9715   -22.7617     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.0490    14.6405    14.6392     0.0013    34.0000    33.9830    41.084
      2     0.4525     0.4525     0.4525      9.277      4.000  37000.000     10.000    41.2537    36.9094   -22.8887     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.0548    14.6405    14.6392     0.0013    34.0000    33.9650    39.159
      3     0.4550     0.4550     0.4550      9.293      7.000  37000.000     10.000    41.2537    36.8455   -23.0166     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.0606    14.6405    14.6392     0.0013    34.0000    33.9740    38.753
      4     0.4575     0.4575     0.4575      9.350      2.000  37000.000     10.000    41.2537    36.7795   -23.1465     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.0665    14.6405    14.6392     0.0013    34.0000    34.0010    38.061
      5     0.4600     0.4600     0.4600      9.309      4.000  37000.000     10.000    41.2537    36.7185   -23.2725     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.0722    14.6405    14.6392     0.0013    34.0000    34.0050    37.994
      6     0.4625     0.4625     0.4625      9.288      3.000  37000.000     10.000    41.2537    36.6535   -23.4015     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.0781    14.6405    14.6392     0.0013    34.0000    34.0460    40.750
      7     0.4651     0.4650     0.4650      9.338      3.000  37000.000     10.000    41.2537    36.5886   -23.5324     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.0840    14.6405    14.6392     0.0013    34.0000    34.0240    39.890
      8     0.4676     0.4675     0.4675      9.312      2.000  37000.000     10.000    41.2537    36.5236   -23.6613     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.0899    14.6405    14.6392     0.0013    34.0000    34.0150    39.774
      9     0.4700     0.4700     0.4700      9.285      3.000  37000.000     10.000    41.2537    36.4596   -23.7873     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.0956    14.6405    14.6392     0.0013    34.0000    33.9960    39.297
     10     0.4725     0.4725     0.4725      9.339      1.000  37000.000     10.000    41.2537    36.3976   -23.9143     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.1014    14.6405    14.6392     0.0013    34.0000    33.9910    40.097
     11     0.4750     0.4750     0.4750      9.271      1.000  37000.000     10.000    41.2537    36.3327   -24.0442     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.1073    14.6405    14.6392     0.0013    34.0000    33.9840    40.040
     12     0.4775     0.4775     0.4775      9.276      1.000  37000.000     10.000    41.2537    36.2687   -24.1731     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.1131    14.6405    14.6392     0.0013    34.0000    33.9830    40.659
     13     0.4800     0.4800     0.4800      9.396     11.000  37000.000     10.000    41.2537    36.2037   -24.3001     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.1189    14.6405    14.6392     0.0013    34.0000    33.9700    39.448
     14     0.4825     0.4825     0.4825      9.334      9.000  37000.000     10.000    41.2537    36.1398   -24.4300     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.1248    14.6405    14.6392     0.0013    34.0000    34.0350    42.381
     15     0.4850     0.4850     0.4850      9.344     64.000  37000.000     10.000    41.2537    36.0758   -24.5580     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.1306    14.6405    14.6392     0.0013    34.0000    34.0060    40.885
     16     0.4875     0.4875     0.4875      9.290    315.000  37000.000     10.000    41.2537    36.0108   -24.6869     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.1364    14.6405    14.6392     0.0013    34.0000    34.0020    40.415
     17     0.4900     0.4900     0.4900      9.374    741.000  37000.000     10.000    41.2537    35.9469   -24.8139     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.1422    14.6405    14.6392     0.0013    34.0000    33.9920    40.318
     18     0.4925     0.4925     0.4925      9.255   1107.000  37000.000     10.000    41.2537    35.8819   -24.9428     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.1480    14.6405    14.6392     0.0013    34.0000    34.0090    40.531
     19     0.4950     0.4950     0.4950      9.226   1619.000  37000.000     10.000    41.2537    35.8179   -25.0727     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.1539    14.6405    14.6392     0.0013    34.0000    34.0100    41.267
     20     0.4976     0.4975     0.4975      9.335   2456.000  37000.000     10.000    41.2537    35.7539   -25.2026     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.1598    14.6405    14.6392     0.0013    34.0000    33.9910    40.592
     21     0.5000     0.5000     0.5000      9.320   3149.000  37000.000     10.000    41.2537    35.6890   -25.3306     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     1.1656    14.6405    14.6392     0.0013    34.0000    33.9990    41.239
