# scan = 169
# date = 11/10/2003
# time = 12:24:50 AM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan h .45 .55 .0025 k .45 .55 .0025 l 1.45 1.55 .0025 preset mcu 10
# builtin_command = scan h .45 .55 .0025 k .45 .55 .0025 l 1.45 1.55 .0025 preset mcu 10
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = h,h,h+1 order parameter DN T = 34.0000
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554017,7.554017,3.847681,90.000000,90.000000,120.000000
# ubmatrix = -0.008230,-0.004834,0.259516,-0.134256,-0.130074,-0.012979,0.072618,-0.080146,0.005414
# mode = 0
# plane_normal = -0.022217,-0.027363,0.999379
# ubconf = C:\User\exp41\UBConf\UB08Nov2003_100555PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 10.000000
# def_x = h
# def_y = detector
# col_headers = 
#   Pt.          h          k          l       time   detector    monitor        mcu         m2         s1         s2        sgl        sgu        stl        stu         a1         a2          q         ei         ef          e       temp    coldtip    tsample
      1     0.4500     0.4500     1.4500      9.320      2.000  37000.000     10.000    41.2537    -7.4783   -55.6987     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.4834    14.6405    14.6392     0.0013    34.0000    33.9960    41.101
      2     0.4525     0.4524     1.4525      9.335      1.000  37000.000     10.000    41.2537    -7.4793   -55.8217     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.4884    14.6405    14.6392     0.0013    34.0000    33.9390    37.755
      3     0.4550     0.4549     1.4550      9.255      3.000  37000.000     10.000    41.2537    -7.4793   -55.9487     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.4936    14.6405    14.6392     0.0013    34.0000    33.9600    38.159
      4     0.4575     0.4575     1.4575      9.238      3.000  37000.000     10.000    41.2537    -7.4793   -56.0747     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.4988    14.6405    14.6392     0.0013    34.0000    33.9720    37.691
      5     0.4600     0.4600     1.4600      9.295      2.000  37000.000     10.000    41.2537    -7.4793   -56.2017     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.5040    14.6405    14.6392     0.0013    34.0000    34.0060    39.001
      6     0.4625     0.4625     1.4625      9.336      5.000  37000.000     10.000    41.2537    -7.4793   -56.3257     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.5091    14.6405    14.6392     0.0013    34.0000    34.0340    40.892
      7     0.4651     0.4650     1.4650      9.320      2.000  37000.000     10.000    41.2537    -7.4793   -56.4526     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.5143    14.6405    14.6392     0.0013    34.0000    33.9990    37.368
      8     0.4676     0.4676     1.4675      9.290      0.000  37000.000     10.000    41.2537    -7.4793   -56.5786     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.5194    14.6405    14.6392     0.0013    34.0000    33.9840    36.615
      9     0.4702     0.4702     1.4700      9.318      2.000  37000.000     10.000    41.2537    -7.4793   -56.7076     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.5247    14.6405    14.6392     0.0013    34.0000    33.9970    36.699
     10     0.4725     0.4725     1.4725      9.282      1.000  37000.000     10.000    41.2537    -7.4872   -56.8316     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.5297    14.6405    14.6392     0.0013    34.0000    34.0130    37.394
     11     0.4751     0.4751     1.4750      9.373      2.000  37000.000     10.000    41.2537    -7.4872   -56.9585     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.5349    14.6405    14.6392     0.0013    34.0000    34.0360    40.530
     12     0.4777     0.4776     1.4774      9.386      3.000  37000.000     10.000    41.2537    -7.4872   -57.0865     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.5401    14.6405    14.6392     0.0013    34.0000    34.0320    41.210
     13     0.4800     0.4800     1.4800      9.330      8.000  37000.000     10.000    41.2537    -7.4970   -57.2135     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.5453    14.6405    14.6392     0.0013    34.0000    34.0020    39.964
     14     0.4826     0.4826     1.4825      9.297     15.000  37000.000     10.000    41.2537    -7.4970   -57.3414     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.5505    14.6405    14.6392     0.0013    34.0000    33.9900    40.459
     15     0.4850     0.4850     1.4850      9.257     37.000  37000.000     10.000    41.2537    -7.5039   -57.4674     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.5556    14.6405    14.6392     0.0013    34.0000    33.9810    40.993
     16     0.4877     0.4876     1.4875      9.204     94.000  37000.000     10.000    41.2537    -7.5039   -57.5963     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.5609    14.6405    14.6392     0.0013    34.0000    33.9550    38.874
     17     0.4900     0.4900     1.4900      9.351    208.000  37000.000     10.000    41.2537    -7.5138   -57.7233     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.5660    14.6405    14.6392     0.0013    34.0000    33.9720    39.912
     18     0.4926     0.4926     1.4925      9.322    583.000  37000.000     10.000    41.2537    -7.5148   -57.8513     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.5712    14.6405    14.6392     0.0013    34.0000    33.9680    39.524
     19     0.4950     0.4949     1.4950      9.242   1256.000  37000.000     10.000    41.2537    -7.5236   -57.9772     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.5764    14.6405    14.6392     0.0013    34.0000    34.0070    41.863
     20     0.4977     0.4976     1.4975      9.376   1655.000  37000.000     10.000    41.2537    -7.5236   -58.1082     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.5817    14.6405    14.6392     0.0013    34.0000    34.0060    41.191
     21     0.5001     0.5000     1.5000      9.248   1715.000  37000.000     10.000    41.2537    -7.5344   -58.2371     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.5869    14.6405    14.6392     0.0013    34.0000    34.0060    40.053
     22     0.5027     0.5026     1.5024      9.329   1398.000  37000.000     10.000    41.2537    -7.5354   -58.3631     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.5920    14.6405    14.6392     0.0013    34.0000    34.0120    40.473
     23     0.5050     0.5050     1.5050      9.290   1138.000  37000.000     10.000    41.2537    -7.5482   -58.4920     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.5972    14.6405    14.6392     0.0013    34.0000    34.0050    39.999
     24     0.5077     0.5077     1.5074      9.203    576.000  37000.000     10.000    41.2537    -7.5482   -58.6219     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.6025    14.6405    14.6392     0.0013    34.0000    34.0010    40.117
     25     0.5101     0.5100     1.5100      9.361    258.000  37000.000     10.000    41.2537    -7.5610   -58.7509     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     2.6077    14.6405    14.6392     0.0013    34.0000    33.9870    39.171
