# scan = 211
# date = 11/10/2003
# time = 12:17:50 PM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan s1 58 50 -.15 preset mcu 2
# builtin_command = scan s1 58 50 -.15 preset mcu 2
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = 222 order parameter DN T = 10.0000
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554017,7.554017,3.847681,90.000000,90.000000,120.000000
# ubmatrix = -0.008230,-0.004834,0.259516,-0.134256,-0.130074,-0.012979,0.072618,-0.080146,0.005414
# mode = 0
# plane_normal = -0.022217,-0.027363,0.999379
# ubconf = C:\User\exp41\UBConf\UB08Nov2003_100555PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 2.000000
# def_x = s1
# def_y = detector
# col_headers = 
#   Pt.         s1       time   detector    monitor        mcu         m2         s2        sgl        sgu        stl        stu         a1         a2          q          h          k          l         ei         ef          e       temp    coldtip    tsample
      1    57.9990      1.879      0.000   7400.000      2.000    41.2537   -77.4891     1.2730    -1.5670    -0.0010    -0.0010    20.6266    41.2556     3.3271     1.9954     1.9952    -0.1392    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      2    57.8504      1.838      0.000   7400.000      2.000    41.2537   -77.4891     1.2730    -1.5670    -0.0010    -0.0010    20.6266    41.2556     3.3271     1.9957     1.9956    -0.1339    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      3    57.6998      1.859      0.000   7400.000      2.000    41.2537   -77.4891     1.2730    -1.5670    -0.0010    -0.0010    20.6266    41.2556     3.3271     1.9961     1.9959    -0.1285    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      4    57.5512      1.856      2.000   7400.000      2.000    41.2537   -77.4891     1.2730    -1.5670    -0.0010    -0.0010    20.6266    41.2556     3.3271     1.9964     1.9962    -0.1233    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      5    57.4006      1.873      0.000   7400.000      2.000    41.2537   -77.4891     1.2730    -1.5670    -0.0010    -0.0010    20.6266    41.2556     3.3271     1.9967     1.9966    -0.1179    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      6    57.2520      1.831      0.000   7400.000      2.000    41.2537   -77.4891     1.2730    -1.5670    -0.0010    -0.0010    20.6266    41.2556     3.3271     1.9970     1.9968    -0.1126    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      7    57.1014      1.853      0.000   7400.000      2.000    41.2537   -77.4891     1.2730    -1.5670    -0.0010    -0.0010    20.6266    41.2556     3.3271     1.9973     1.9971    -0.1073    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      8    56.9508      1.824      0.000   7400.000      2.000    41.2537   -77.4891     1.2730    -1.5670    -0.0010    -0.0010    20.6266    41.2556     3.3271     1.9976     1.9974    -0.1019    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      9    56.7992      1.857      1.000   7400.000      2.000    41.2537   -77.4891     1.2730    -1.5670    -0.0010    -0.0010    20.6266    41.2556     3.3271     1.9978     1.9977    -0.0966    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     10    56.6496      1.831      1.000   7400.000      2.000    41.2537   -77.4891     1.2730    -1.5670    -0.0010    -0.0010    20.6266    41.2556     3.3271     1.9981     1.9979    -0.0912    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     11    56.4990      1.844      0.000   7400.000      2.000    41.2537   -77.4891     1.2730    -1.5670    -0.0010    -0.0010    20.6266    41.2556     3.3271     1.9983     1.9981    -0.0859    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     12    56.3514      1.830      0.000   7400.000      2.000    41.2537   -77.4891     1.2730    -1.5670    -0.0010    -0.0010    20.6266    41.2556     3.3271     1.9985     1.9983    -0.0807    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     13    56.2018      1.840      0.000   7400.000      2.000    41.2537   -77.4891     1.2730    -1.5670    -0.0010    -0.0010    20.6266    41.2556     3.3271     1.9987     1.9985    -0.0753    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     14    56.0522      1.875      0.000   7400.000      2.000    41.2537   -77.4891     1.2730    -1.5670    -0.0010    -0.0010    20.6266    41.2556     3.3271     1.9989     1.9987    -0.0700    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     15    55.9006      1.874      0.000   7400.000      2.000    41.2537   -77.4891     1.2730    -1.5670    -0.0010    -0.0010    20.6266    41.2556     3.3271     1.9991     1.9989    -0.0646    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     16    55.7500      1.839      0.000   7400.000      2.000    41.2537   -77.4891     1.2730    -1.5670    -0.0010    -0.0010    20.6266    41.2556     3.3271     1.9992     1.9991    -0.0593    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     17    55.5994      1.846      0.000   7400.000      2.000    41.2537   -77.4891     1.2730    -1.5670    -0.0010    -0.0010    20.6266    41.2556     3.3271     1.9994     1.9992    -0.0539    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     18    55.4488      1.874      0.000   7400.000      2.000    41.2537   -77.4891     1.2730    -1.5670    -0.0010    -0.0010    20.6266    41.2556     3.3271     1.9995     1.9993    -0.0486    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     19    55.3002      1.859      0.000   7400.000      2.000    41.2537   -77.4891     1.2730    -1.5670    -0.0010    -0.0010    20.6266    41.2556     3.3271     1.9996     1.9995    -0.0433    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     20    55.1516      1.825      1.000   7400.000      2.000    41.2537   -77.4891     1.2730    -1.5670    -0.0010    -0.0010    20.6266    41.2556     3.3271     1.9997     1.9996    -0.0380    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
