# scan = 212
# date = 11/10/2003
# time = 1:18:05 PM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan s1 51 49 .1 preset 2
# builtin_command = scan s1 51 49 .1 preset 2
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = 222 order parameter DN T = 10.0000
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554017,7.554017,3.847681,90.000000,90.000000,120.000000
# ubmatrix = -0.008230,-0.004834,0.259516,-0.134256,-0.130074,-0.012979,0.072618,-0.080146,0.005414
# mode = 0
# plane_normal = -0.022217,-0.027363,0.999379
# ubconf = 
# preset_type = normal 
# preset_channel = mcu
# preset_value = 2.000000
# def_x = s1
# def_y = detector
# col_headers = 
#   Pt.         s1       time   detector    monitor        mcu         m2         s2        sgl        sgu        stl        stu         a1         a2          q          h          k          l         ei         ef          e       temp    coldtip    tsample
      1    51.0000      1.820      0.000   7400.000      2.000    41.2537   -77.4891     1.2735    -0.0025    -0.0020    -0.0010    20.6266    41.2556     3.3271     2.0909     1.9016     0.1108    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      2    50.9006      1.877      0.000   7400.000      2.000    41.2537   -77.4891     1.2735    -0.0025    -0.0020    -0.0010    20.6266    41.2556     3.3271     2.0907     1.9015     0.1143    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      3    50.8002      1.868      0.000   7400.000      2.000    41.2537   -77.4891     1.2735    -0.0025    -0.0020    -0.0010    20.6266    41.2556     3.3271     2.0905     1.9013     0.1179    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      4    50.6998      1.886      1.000   7400.000      2.000    41.2537   -77.4891     1.2735    -0.0025    -0.0020    -0.0010    20.6266    41.2556     3.3271     2.0903     1.9011     0.1214    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      5    50.5994      1.856      3.000   7400.000      2.000    41.2537   -77.4891     1.2735    -0.0025    -0.0020    -0.0010    20.6266    41.2556     3.3271     2.0901     1.9008     0.1250    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      6    50.5000      1.861      5.000   7400.000      2.000    41.2537   -77.4891     1.2735    -0.0025    -0.0020    -0.0010    20.6266    41.2556     3.3271     2.0899     1.9006     0.1285    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      7    50.3996      1.861     16.000   7400.000      2.000    41.2537   -77.4891     1.2735    -0.0025    -0.0020    -0.0010    20.6266    41.2556     3.3271     2.0897     1.9004     0.1321    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      8    50.3002      1.847     33.000   7400.000      2.000    41.2537   -77.4891     1.2735    -0.0025    -0.0020    -0.0010    20.6266    41.2556     3.3271     2.0894     1.9002     0.1356    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      9    50.2018      1.854     97.000   7400.000      2.000    41.2537   -77.4891     1.2735    -0.0025    -0.0020    -0.0010    20.6266    41.2556     3.3271     2.0892     1.9000     0.1391    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     10    50.1014      1.880    195.000   7400.000      2.000    41.2537   -77.4891     1.2735    -0.0025    -0.0020    -0.0010    20.6266    41.2556     3.3271     2.0889     1.8997     0.1427    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
