# scan = 213
# date = 11/10/2003
# time = 1:25:55 PM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scanrel s1 .5 -.5 -.1 preset 2
# builtin_command = scan s1 @(s1)+.5 @(s1)+-.5 -0.100000
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = 222 order parameter DN T = 10.0000
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554017,7.554017,3.847681,90.000000,90.000000,120.000000
# ubmatrix = -0.008230,-0.004834,0.259516,-0.134256,-0.130074,-0.012979,0.072618,-0.080146,0.005414
# mode = 0
# plane_normal = -0.022217,-0.027363,0.999379
# ubconf = 
# preset_type = normal 
# preset_channel = mcu
# preset_value = 1.000000
# def_x = s1
# def_y = detector
# col_headers = 
#   Pt.         s1       time   detector    monitor        mcu         m2         s2        sgl        sgu        stl        stu         a1         a2          q          h          k          l         ei         ef          e       temp    coldtip    tsample
      1   -34.5699      0.916     17.000   3700.000      1.000    41.2537   -75.8099    -0.0005    -0.0020    -0.0020    -0.0010    20.6266    41.2556     3.2659    -0.0527     0.0874     1.9995    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      2   -34.6693      0.919     28.000   3700.000      1.000    41.2537   -75.8099    -0.0005    -0.0020    -0.0020    -0.0010    20.6266    41.2556     3.2659    -0.0562     0.0842     1.9995    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      3   -34.7697      0.951     85.000   3700.000      1.000    41.2537   -75.8099    -0.0005    -0.0020    -0.0020    -0.0010    20.6266    41.2556     3.2659    -0.0598     0.0809     1.9995    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      4   -34.8711      0.909     85.000   3700.000      1.000    41.2537   -75.8099    -0.0005    -0.0020    -0.0020    -0.0010    20.6266    41.2556     3.2659    -0.0635     0.0776     1.9995    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      5   -34.9705      0.933     74.000   3700.000      1.000    41.2537   -75.8099    -0.0005    -0.0020    -0.0020    -0.0010    20.6266    41.2556     3.2659    -0.0671     0.0744     1.9996    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      6   -35.0709      0.942     41.000   3700.000      1.000    41.2537   -75.8099    -0.0005    -0.0020    -0.0020    -0.0010    20.6266    41.2556     3.2659    -0.0707     0.0711     1.9996    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      7   -35.1713      0.907     13.000   3700.000      1.000    41.2537   -75.8099    -0.0005    -0.0020    -0.0020    -0.0010    20.6266    41.2556     3.2659    -0.0743     0.0678     1.9995    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      8   -35.2707      0.919      3.000   3700.000      1.000    41.2537   -75.8099    -0.0005    -0.0020    -0.0020    -0.0010    20.6266    41.2556     3.2659    -0.0778     0.0646     1.9995    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      9   -35.3711      0.918      4.000   3700.000      1.000    41.2537   -75.8099    -0.0005    -0.0020    -0.0020    -0.0010    20.6266    41.2556     3.2659    -0.0815     0.0613     1.9995    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     10   -35.4705      0.917      2.000   3700.000      1.000    41.2537   -75.8099    -0.0005    -0.0020    -0.0020    -0.0010    20.6266    41.2556     3.2659    -0.0850     0.0581     1.9995    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     11   -35.5709      0.931      1.000   3700.000      1.000    41.2537   -75.8099    -0.0005    -0.0020    -0.0020    -0.0010    20.6266    41.2556     3.2659    -0.0886     0.0548     1.9995    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
# Sum of Counts = 353
# Center of Mass = -34.885711+/-2.625897
# Full Width Half-Maximum = 0.331669+/-1.506854
# 1:26:19 PM  11/10/2003   scan completed.
