# scan = 216
# date = 11/10/2003
# time = 1:31:08 PM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scanrel s2 1 -1 .2
# builtin_command = scan s2 @(s2)+1 @(s2)+-1 0.200000
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = 222 order parameter DN T = 10.0000
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554017,7.554017,3.847681,90.000000,90.000000,120.000000
# ubmatrix = -0.008230,-0.004834,0.259516,-0.134256,-0.130074,-0.012979,0.072618,-0.080146,0.005414
# mode = 0
# plane_normal = -0.022217,-0.027363,0.999379
# ubconf = 
# preset_type = normal 
# preset_channel = mcu
# preset_value = 1.000000
# def_x = s2
# def_y = detector
# col_headers = 
#   Pt.         s2       time   detector    monitor        mcu         m2         s1        sgl        sgu        stl        stu         a1         a2          q          h          k          l         ei         ef          e       temp    coldtip    tsample
      1   -74.8109      0.955     30.000   3700.000      1.000    41.2537   -35.0502    -0.0025    -0.0020    -0.0020    -0.0010    20.6266    41.2556     3.2292    -0.0870     0.0550     1.9770    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      2   -75.0078      0.933     70.000   3700.000      1.000    41.2537   -35.0502    -0.0025    -0.0020    -0.0020    -0.0010    20.6266    41.2556     3.2365    -0.0837     0.0583     1.9815    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      3   -75.2105      0.938    226.000   3700.000      1.000    41.2537   -35.0502    -0.0025    -0.0020    -0.0020    -0.0010    20.6266    41.2556     3.2440    -0.0803     0.0617     1.9861    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      4   -75.4093      0.966    301.000   3700.000      1.000    41.2537   -35.0502    -0.0025    -0.0020    -0.0020    -0.0010    20.6266    41.2556     3.2513    -0.0769     0.0651     1.9905    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      5   -75.6101      0.931    239.000   3700.000      1.000    41.2537   -35.0502    -0.0025    -0.0020    -0.0020    -0.0010    20.6266    41.2556     3.2586    -0.0735     0.0685     1.9951    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      6   -75.8089      0.918    126.000   3700.000      1.000    41.2537   -35.0502    -0.0025    -0.0020    -0.0020    -0.0010    20.6266    41.2556     3.2659    -0.0701     0.0719     1.9995    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      7   -76.0097      0.928     47.000   3700.000      1.000    41.2537   -35.0502    -0.0025    -0.0020    -0.0020    -0.0010    20.6266    41.2556     3.2732    -0.0666     0.0753     2.0040    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      8   -76.2135      0.952      6.000   3700.000      1.000    41.2537   -35.0502    -0.0025    -0.0020    -0.0020    -0.0010    20.6266    41.2556     3.2807    -0.0631     0.0788     2.0086    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      9   -76.4083      0.924      2.000   3700.000      1.000    41.2537   -35.0502    -0.0025    -0.0020    -0.0020    -0.0010    20.6266    41.2556     3.2878    -0.0597     0.0822     2.0129    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     10   -76.6101      0.952      2.000   3700.000      1.000    41.2537   -35.0502    -0.0025    -0.0020    -0.0020    -0.0010    20.6266    41.2556     3.2952    -0.0562     0.0857     2.0174    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     11   -76.8099      0.929      0.000   3700.000      1.000    41.2537   -35.0502    -0.0025    -0.0020    -0.0020    -0.0010    20.6266    41.2556     3.3024    -0.0527     0.0892     2.0218    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
# Sum of Counts = 1049
# Center of Mass = -75.452006+/-3.294576
# Full Width Half-Maximum = 0.567652+/-2.058128
# 1:31:41 PM  11/10/2003   scan completed.
