# scan = 217
# date = 11/10/2003
# time = 1:32:10 PM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scanrel sgl -1 1 .2
# builtin_command = scan sgl @(sgl)+-1 @(sgl)+1 0.200000
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = 222 order parameter DN T = 10.0000
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554017,7.554017,3.847681,90.000000,90.000000,120.000000
# ubmatrix = -0.008230,-0.004834,0.259516,-0.134256,-0.130074,-0.012979,0.072618,-0.080146,0.005414
# mode = 0
# plane_normal = -0.022217,-0.027363,0.999379
# ubconf = 
# preset_type = normal 
# preset_channel = mcu
# preset_value = 1.000000
# def_x = sgl
# def_y = detector
# col_headers = 
#   Pt.        sgl       time   detector    monitor        mcu         m2         s1         s2        sgu        stl        stu         a1         a2          q          h          k          l         ei         ef          e       temp    coldtip    tsample
      1    -1.0000      0.930    408.000   3700.000      1.000    41.2537   -35.0502   -75.4005    -0.0020    -0.0020    -0.0010    20.6266    41.2556     3.2509    -0.1349     0.1247     1.9893    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      2    -0.8050      0.940    396.000   3700.000      1.000    41.2537   -35.0502   -75.4005    -0.0020    -0.0020    -0.0010    20.6266    41.2556     3.2509    -0.1236     0.1130     1.9896    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      3    -0.6020      0.903    357.000   3700.000      1.000    41.2537   -35.0502   -75.4005    -0.0020    -0.0020    -0.0010    20.6266    41.2556     3.2509    -0.1118     0.1009     1.9898    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      4    -0.4025      0.920    394.000   3700.000      1.000    41.2537   -35.0502   -75.4005    -0.0020    -0.0020    -0.0010    20.6266    41.2556     3.2509    -0.1002     0.0889     1.9900    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      5    -0.2025      0.946    332.000   3700.000      1.000    41.2537   -35.0502   -75.4005    -0.0020    -0.0020    -0.0010    20.6266    41.2556     3.2509    -0.0886     0.0769     1.9902    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      6    -0.0020      0.911    293.000   3700.000      1.000    41.2537   -35.0502   -75.4005    -0.0020    -0.0020    -0.0010    20.6266    41.2556     3.2509    -0.0770     0.0649     1.9904    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      7     0.1975      0.942    250.000   3700.000      1.000    41.2537   -35.0502   -75.4005    -0.0020    -0.0020    -0.0010    20.6266    41.2556     3.2509    -0.0654     0.0529     1.9905    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      8     0.3975      0.928    200.000   3700.000      1.000    41.2537   -35.0502   -75.4005    -0.0020    -0.0020    -0.0010    20.6266    41.2556     3.2509    -0.0538     0.0410     1.9906    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      9     0.5975      0.928    146.000   3700.000      1.000    41.2537   -35.0502   -75.4005    -0.0020    -0.0020    -0.0010    20.6266    41.2556     3.2509    -0.0422     0.0290     1.9907    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     10     0.7975      0.956     98.000   3700.000      1.000    41.2537   -35.0502   -75.4005    -0.0020    -0.0020    -0.0010    20.6266    41.2556     3.2509    -0.0306     0.0170     1.9907    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     11     0.8000      0.000      0.000      0.000      0.000    41.2537   -35.0502   -75.4005    -0.0020    -0.0020    -0.0010    20.6266    41.2556     3.2509    -0.0305     0.0168     1.9907    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
# Sum of Counts = 2874
# Center of Mass = -0.304047+/-0.012511
# Full Width Half-Maximum = 1.029530+/-0.018657
# 1:32:36 PM  11/10/2003   scan stopped!!
