# scan = 218
# date = 11/10/2003
# time = 1:33:06 PM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan sgl -2 0 .4
# builtin_command = scan sgl -2 0 .4
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = 222 order parameter DN T = 10.0000
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554017,7.554017,3.847681,90.000000,90.000000,120.000000
# ubmatrix = -0.008230,-0.004834,0.259516,-0.134256,-0.130074,-0.012979,0.072618,-0.080146,0.005414
# mode = 0
# plane_normal = -0.022217,-0.027363,0.999379
# ubconf = 
# preset_type = normal 
# preset_channel = mcu
# preset_value = 1.000000
# def_x = sgl
# def_y = detector
# col_headers = 
#   Pt.        sgl       time   detector    monitor        mcu         m2         s1         s2        sgu        stl        stu         a1         a2          q          h          k          l         ei         ef          e       temp    coldtip    tsample
      1    -2.0000      0.879    181.000   3700.000      1.000    41.2537   -35.0502   -75.4005    -0.0020    -0.0020    -0.0010    20.6266    41.2556     3.2509    -0.1928     0.1847     1.9877    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      2    -1.6025      0.916    317.000   3700.000      1.000    41.2537   -35.0502   -75.4005    -0.0020    -0.0020    -0.0010    20.6266    41.2556     3.2509    -0.1698     0.1608     1.9884    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      3    -1.2000      0.950    403.000   3700.000      1.000    41.2537   -35.0502   -75.4005    -0.0020    -0.0020    -0.0010    20.6266    41.2556     3.2509    -0.1465     0.1367     1.9890    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      4    -0.7995      0.953    442.000   3700.000      1.000    41.2537   -35.0502   -75.4005    -0.0020    -0.0020    -0.0010    20.6266    41.2556     3.2509    -0.1233     0.1127     1.9896    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      5    -0.4000      0.924    377.000   3700.000      1.000    41.2537   -35.0502   -75.4005    -0.0020    -0.0020    -0.0010    20.6266    41.2556     3.2509    -0.1001     0.0888     1.9900    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      6     0.0005      0.932    268.000   3700.000      1.000    41.2537   -35.0502   -75.4005    -0.0020    -0.0020    -0.0010    20.6266    41.2556     3.2509    -0.0769     0.0648     1.9904    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
# Sum of Counts = 1988
# Center of Mass = -0.934425+/-0.032588
# Full Width Half-Maximum = 1.208122+/-0.033828
# 1:33:24 PM  11/10/2003   scan completed.
