# scan = 222
# date = 11/10/2003
# time = 3:01:41 PM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan s1 57 50 -.15 preset mcu 2
# builtin_command = scan s1 57 50 -.15 preset mcu 2
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = 222 order parameter DN T = 10.0000
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554017,7.554017,3.847681,90.000000,90.000000,120.000000
# ubmatrix = -0.008230,-0.004834,0.259516,-0.134256,-0.130074,-0.012979,0.072618,-0.080146,0.005414
# mode = 0
# plane_normal = -0.022217,-0.027363,0.999379
# ubconf = 
# preset_type = normal 
# preset_channel = mcu
# preset_value = 2.000000
# def_x = s1
# def_y = detector
# col_headers = 
#   Pt.         s1       time   detector    monitor        mcu         m2         s2        sgl        sgu        stl        stu         a1         a2          q          h          k          l         ei         ef          e       temp    coldtip    tsample
      1    57.0000      1.833      0.000   7400.000      2.000    41.2537   -77.5855     1.2705    -1.5665     0.0000    -0.0010    20.6266    41.2575     3.3305     1.9995     1.9992    -0.1056    14.6405    14.6378     0.0026   295.0000    57.9010   157.884
      2    56.8494      1.862      0.000   7400.000      2.000    41.2537   -77.5855     1.2705    -1.5665     0.0000    -0.0010    20.6266    41.2575     3.3305     1.9997     1.9995    -0.1002    14.6405    14.6378     0.0026   295.0000    57.9010   157.884
      3    56.7018      1.853      0.000   7400.000      2.000    41.2537   -77.5855     1.2705    -1.5665     0.0000    -0.0010    20.6266    41.2575     3.3305     2.0000     1.9997    -0.0950    14.6405    14.6378     0.0026   295.0000    57.9010   157.884
      4    56.5482      1.866      1.000   7400.000      2.000    41.2537   -77.5855     1.2705    -1.5665     0.0000    -0.0010    20.6266    41.2575     3.3305     2.0002     2.0000    -0.0895    14.6405    14.6378     0.0026   295.0000    58.0540   152.472
      5    56.4006      1.857      0.000   7400.000      2.000    41.2537   -77.5855     1.2705    -1.5665     0.0000    -0.0010    20.6266    41.2575     3.3305     2.0005     2.0002    -0.0843    14.6405    14.6378     0.0026   295.0000    58.0540   152.472
      6    56.2510      1.864      0.000   7400.000      2.000    41.2537   -77.5855     1.2705    -1.5665     0.0000    -0.0010    20.6266    41.2575     3.3305     2.0007     2.0004    -0.0789    14.6405    14.6378     0.0026   295.0000    58.0540   152.472
      7    56.1014      1.841      0.000   7400.000      2.000    41.2537   -77.5855     1.2705    -1.5665     0.0000    -0.0010    20.6266    41.2575     3.3305     2.0009     2.0006    -0.0736    14.6405    14.6378     0.0026   295.0000    58.0540   152.472
      8    55.9508      1.860      0.000   7400.000      2.000    41.2537   -77.5855     1.2705    -1.5665     0.0000    -0.0010    20.6266    41.2575     3.3305     2.0010     2.0008    -0.0683    14.6405    14.6378     0.0026   295.0000    58.6640   152.945
      9    55.8012      1.814      1.000   7400.000      2.000    41.2537   -77.5855     1.2705    -1.5665     0.0000    -0.0010    20.6266    41.2575     3.3305     2.0012     2.0010    -0.0629    14.6405    14.6378     0.0026   295.0000    58.6640   152.945
     10    55.6496      1.867      1.000   7400.000      2.000    41.2537   -77.5855     1.2705    -1.5665     0.0000    -0.0010    20.6266    41.2575     3.3305     2.0014     2.0011    -0.0575    14.6405    14.6378     0.0026   295.0000    58.6640   152.945
     11    55.5000      1.879      0.000   7400.000      2.000    41.2537   -77.5855     1.2705    -1.5665     0.0000    -0.0010    20.6266    41.2575     3.3305     2.0015     2.0013    -0.0522    14.6405    14.6378     0.0026   295.0000    58.9590   149.548
     12    55.3484      1.867      0.000   7400.000      2.000    41.2537   -77.5855     1.2705    -1.5665     0.0000    -0.0010    20.6266    41.2575     3.3305     2.0016     2.0014    -0.0468    14.6405    14.6378     0.0026   295.0000    58.9590   149.548
     13    55.2018      1.835      1.000   7400.000      2.000    41.2537   -77.5855     1.2705    -1.5665     0.0000    -0.0010    20.6266    41.2575     3.3305     2.0017     2.0015    -0.0416    14.6405    14.6378     0.0026   295.0000    58.9590   149.548
     14    55.0502      1.801      0.000   7400.000      2.000    41.2537   -77.5855     1.2705    -1.5665     0.0000    -0.0010    20.6266    41.2575     3.3305     2.0018     2.0016    -0.0362    14.6405    14.6378     0.0026   295.0000    59.5280   149.960
     15    54.9006      1.853      1.000   7400.000      2.000    41.2537   -77.5855     1.2705    -1.5665     0.0000    -0.0010    20.6266    41.2575     3.3305     2.0019     2.0017    -0.0309    14.6405    14.6378     0.0026   295.0000    59.5280   149.960
     16    54.7510      1.870      2.000   7400.000      2.000    41.2537   -77.5855     1.2705    -1.5665     0.0000    -0.0010    20.6266    41.2575     3.3305     2.0020     2.0018    -0.0256    14.6405    14.6378     0.0026   295.0000    59.5280   149.960
     17    54.6014      1.820      0.000   7400.000      2.000    41.2537   -77.5855     1.2705    -1.5665     0.0000    -0.0010    20.6266    41.2575     3.3305     2.0021     2.0018    -0.0202    14.6405    14.6378     0.0026   295.0000    59.5280   149.960
     18    54.4488      1.865      1.000   7400.000      2.000    41.2537   -77.5855     1.2705    -1.5665     0.0000    -0.0010    20.6266    41.2575     3.3305     2.0021     2.0019    -0.0148    14.6405    14.6378     0.0026   295.0000    60.3090   150.884
     19    54.3012      1.845      0.000   7400.000      2.000    41.2537   -77.5855     1.2705    -1.5665     0.0000    -0.0010    20.6266    41.2575     3.3305     2.0021     2.0019    -0.0096    14.6405    14.6378     0.0026   295.0000    60.3090   150.884
     20    54.1486      1.802      0.000   7400.000      2.000    41.2537   -77.5855     1.2705    -1.5665     0.0000    -0.0010    20.6266    41.2575     3.3305     2.0022     2.0019    -0.0041    14.6405    14.6378     0.0026   295.0000    60.3090   150.884
     21    54.0010      1.845      0.000   7400.000      2.000    41.2537   -77.5855     1.2705    -1.5665     0.0000    -0.0010    20.6266    41.2575     3.3305     2.0022     2.0019     0.0011    14.6405    14.6378     0.0026   295.0000    60.6540   148.678
     22    53.8504      1.851      0.000   7400.000      2.000    41.2537   -77.5855     1.2705    -1.5665     0.0000    -0.0010    20.6266    41.2575     3.3305     2.0022     2.0019     0.0065    14.6405    14.6378     0.0026   295.0000    60.6540   148.678
     23    53.7008      1.842      1.000   7400.000      2.000    41.2537   -77.5855     1.2705    -1.5665     0.0000    -0.0010    20.6266    41.2575     3.3305     2.0021     2.0019     0.0118    14.6405    14.6378     0.0026   295.0000    60.6540   148.678
     24    53.5482      1.829      0.000   7400.000      2.000    41.2537   -77.5855     1.2705    -1.5665     0.0000    -0.0010    20.6266    41.2575     3.3305     2.0021     2.0018     0.0173    14.6405    14.6378     0.0026   295.0000    61.1740   147.943
     25    53.4006      1.900      1.000   7400.000      2.000    41.2537   -77.5855     1.2705    -1.5665     0.0000    -0.0010    20.6266    41.2575     3.3305     2.0020     2.0018     0.0225    14.6405    14.6378     0.0026   295.0000    61.1740   147.943
     26    53.2500      1.850      3.000   7400.000      2.000    41.2537   -77.5855     1.2705    -1.5665     0.0000    -0.0010    20.6266    41.2575     3.3305     2.0020     2.0017     0.0279    14.6405    14.6378     0.0026   295.0000    61.1740   147.943
     27    53.1004      1.848      0.000   7400.000      2.000    41.2537   -77.5855     1.2705    -1.5665     0.0000    -0.0010    20.6266    41.2575     3.3305     2.0019     2.0017     0.0332    14.6405    14.6378     0.0026   295.0000    61.1740   147.943
     28    52.9508      1.880      1.000   7400.000      2.000    41.2537   -77.5855     1.2705    -1.5665     0.0000    -0.0010    20.6266    41.2575     3.3305     2.0018     2.0016     0.0385    14.6405    14.6378     0.0026   295.0000    61.7660   148.140
     29    52.8012      1.857      0.000   7400.000      2.000    41.2537   -77.5855     1.2705    -1.5665     0.0000    -0.0010    20.6266    41.2575     3.3305     2.0017     2.0015     0.0438    14.6405    14.6378     0.0026   295.0000    61.7660   148.140
     30    52.6506      1.885      1.000   7400.000      2.000    41.2537   -77.5855     1.2705    -1.5665     0.0000    -0.0010    20.6266    41.2575     3.3305     2.0016     2.0013     0.0492    14.6405    14.6378     0.0026   295.0000    61.7660   148.140
     31    52.4990      1.861      3.000   7400.000      2.000    41.2537   -77.5855     1.2705    -1.5665     0.0000    -0.0010    20.6266    41.2575     3.3305     2.0014     2.0012     0.0546    14.6405    14.6378     0.0026   295.0000    62.2340   146.530
     32    52.3494      1.838      1.000   7400.000      2.000    41.2537   -77.5855     1.2705    -1.5665     0.0000    -0.0010    20.6266    41.2575     3.3305     2.0013     2.0011     0.0599    14.6405    14.6378     0.0026   295.0000    62.2340   146.530
