# scan = 223
# date = 11/10/2003
# time = 3:11:07 PM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan s1 55 53 0.1 preset 2
# builtin_command = scan s1 55 53 0.1 preset 2
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = looking for relflections, 220 and 002
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554017,7.554017,3.847681,90.000000,90.000000,120.000000
# ubmatrix = -0.008230,-0.004834,0.259516,-0.134256,-0.130074,-0.012979,0.072618,-0.080146,0.005414
# mode = 0
# plane_normal = -0.022217,-0.027363,0.999379
# ubconf = 
# preset_type = normal 
# preset_channel = mcu
# preset_value = 2.000000
# def_x = s1
# def_y = detector
# col_headers = 
#   Pt.         s1       time   detector    monitor        mcu         m2         s2        sgl        sgu        stl        stu         a1         a2          q          h          k          l         ei         ef          e       temp    coldtip    tsample
      1    54.9990      1.857      2.000   7400.000      2.000    41.2537   -77.5855     0.0000     0.0025     0.0000    -0.0010    20.6266    41.2575     3.3305     2.1009     1.9010    -0.0332    14.6405    14.6378     0.0026   295.0000    80.5780   136.059
      2    54.9006      1.860      0.000   7400.000      2.000    41.2537   -77.5855     0.0000     0.0025     0.0000    -0.0010    20.6266    41.2575     3.3305     2.1008     1.9012    -0.0297    14.6405    14.6378     0.0026   295.0000    80.9370   129.952
      3    54.8002      1.800      0.000   7400.000      2.000    41.2537   -77.5855     0.0000     0.0025     0.0000    -0.0010    20.6266    41.2575     3.3305     2.1007     1.9014    -0.0261    14.6405    14.6378     0.0026   295.0000    80.9370   129.952
      4    54.7018      1.866      1.000   7400.000      2.000    41.2537   -77.5855     0.0000     0.0025     0.0000    -0.0010    20.6266    41.2575     3.3305     2.1007     1.9015    -0.0226    14.6405    14.6378     0.0026   295.0000    80.9370   129.952
      5    54.6004      1.840      2.000   7400.000      2.000    41.2537   -77.5855     0.0000     0.0025     0.0000    -0.0010    20.6266    41.2575     3.3305     2.1006     1.9017    -0.0190    14.6405    14.6378     0.0026   295.0000    80.9370   129.952
      6    54.5000      1.883      0.000   7400.000      2.000    41.2537   -77.5855     0.0000     0.0025     0.0000    -0.0010    20.6266    41.2575     3.3305     2.1005     1.9019    -0.0154    14.6405    14.6378     0.0026   295.0000    81.2730   129.985
      7    54.3996      1.839      0.000   7400.000      2.000    41.2537   -77.5855     0.0000     0.0025     0.0000    -0.0010    20.6266    41.2575     3.3305     2.1004     1.9020    -0.0118    14.6405    14.6378     0.0026   295.0000    81.2730   129.985
      8    54.3002      1.853      0.000   7400.000      2.000    41.2537   -77.5855     0.0000     0.0025     0.0000    -0.0010    20.6266    41.2575     3.3305     2.1003     1.9021    -0.0083    14.6405    14.6378     0.0026   295.0000    81.2730   129.985
      9    54.1998      1.882      4.000   7400.000      2.000    41.2537   -77.5855     0.0000     0.0025     0.0000    -0.0010    20.6266    41.2575     3.3305     2.1002     1.9023    -0.0047    14.6405    14.6378     0.0026   295.0000    81.5380   129.699
     10    54.0994      1.859      6.000   7400.000      2.000    41.2537   -77.5855     0.0000     0.0025     0.0000    -0.0010    20.6266    41.2575     3.3305     2.1000     1.9024    -0.0011    14.6405    14.6378     0.0026   295.0000    81.5380   129.699
     11    53.9990      1.833      8.000   7400.000      2.000    41.2537   -77.5855     0.0000     0.0025     0.0000    -0.0010    20.6266    41.2575     3.3305     2.0999     1.9025     0.0024    14.6405    14.6378     0.0026   295.0000    81.5380   129.699
     12    53.9016      1.837      5.000   7400.000      2.000    41.2537   -77.5855     0.0000     0.0025     0.0000    -0.0010    20.6266    41.2575     3.3305     2.0998     1.9027     0.0059    14.6405    14.6378     0.0026   295.0000    81.5380   129.699
     13    53.8012      1.870      6.000   7400.000      2.000    41.2537   -77.5855     0.0000     0.0025     0.0000    -0.0010    20.6266    41.2575     3.3305     2.0996     1.9028     0.0095    14.6405    14.6378     0.0026   295.0000    81.8920   129.561
     14    53.6998      1.864      1.000   7400.000      2.000    41.2537   -77.5855     0.0000     0.0025     0.0000    -0.0010    20.6266    41.2575     3.3305     2.0995     1.9029     0.0131    14.6405    14.6378     0.0026   295.0000    81.8920   129.561
     15    53.5994      1.852      0.000   7400.000      2.000    41.2537   -77.5855     0.0000     0.0025     0.0000    -0.0010    20.6266    41.2575     3.3305     2.0993     1.9030     0.0167    14.6405    14.6378     0.0026   295.0000    81.8920   129.561
     16    53.5000      1.868      1.000   7400.000      2.000    41.2537   -77.5855     0.0000     0.0025     0.0000    -0.0010    20.6266    41.2575     3.3305     2.0992     1.9031     0.0202    14.6405    14.6378     0.0026   295.0000    82.2380   128.110
     17    53.3996      1.867      0.000   7400.000      2.000    41.2537   -77.5855     0.0000     0.0025     0.0000    -0.0010    20.6266    41.2575     3.3305     2.0990     1.9032     0.0238    14.6405    14.6378     0.0026   295.0000    82.2380   128.110
     18    53.3002      1.859      1.000   7400.000      2.000    41.2537   -77.5855     0.0000     0.0025     0.0000    -0.0010    20.6266    41.2575     3.3305     2.0989     1.9033     0.0273    14.6405    14.6378     0.0026   295.0000    82.2380   128.110
     19    53.2008      1.877      0.000   7400.000      2.000    41.2537   -77.5855     0.0000     0.0025     0.0000    -0.0010    20.6266    41.2575     3.3305     2.0987     1.9034     0.0308    14.6405    14.6378     0.0026   295.0000    82.5720   129.264
     20    53.0994      1.867      2.000   7400.000      2.000    41.2537   -77.5855     0.0000     0.0025     0.0000    -0.0010    20.6266    41.2575     3.3305     2.0985     1.9034     0.0344    14.6405    14.6378     0.0026   295.0000    82.5720   129.264
     21    53.0010      1.869      2.000   7400.000      2.000    41.2537   -77.5855     0.0000     0.0025     0.0000    -0.0010    20.6266    41.2575     3.3305     2.0983     1.9035     0.0379    14.6405    14.6378     0.0026   295.0000    82.5720   129.264
# Sum of Counts = 41
# Center of Mass = 53.958639+/-11.917672
# Full Width Half-Maximum = 0.888510+/-5.331079
# 3:12:10 PM  11/10/2003   scan completed.
