# scan = 224
# date = 11/10/2003
# time = 3:12:28 PM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan s2 -77 -79 -.1
# builtin_command = scan s2 -77 -79 -.1
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = looking for relflections, 220 and 002
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554017,7.554017,3.847681,90.000000,90.000000,120.000000
# ubmatrix = -0.008230,-0.004834,0.259516,-0.134256,-0.130074,-0.012979,0.072618,-0.080146,0.005414
# mode = 0
# plane_normal = -0.022217,-0.027363,0.999379
# ubconf = 
# preset_type = normal 
# preset_channel = mcu
# preset_value = 1.000000
# def_x = s2
# def_y = detector
# col_headers = 
#   Pt.         s2       time   detector    monitor        mcu         m2         s1        sgl        sgu        stl        stu         a1         a2          q          h          k          l         ei         ef          e       temp    coldtip    tsample
      1   -77.0009      0.891      1.000   3700.000      1.000    41.2537    53.9990     0.0000     0.0025     0.0000    -0.0010    20.6266    41.2575     3.3093     2.0862     1.8908     0.0128    14.6405    14.6378     0.0026   295.0000    83.0720   130.576
      2   -77.0993      0.918      0.000   3700.000      1.000    41.2537    53.9990     0.0000     0.0025     0.0000    -0.0010    20.6266    41.2575     3.3129     2.0885     1.8928     0.0110    14.6405    14.6378     0.0026   295.0000    83.4250   117.552
      3   -77.2007      0.901      3.000   3700.000      1.000    41.2537    53.9990     0.0000     0.0025     0.0000    -0.0010    20.6266    41.2575     3.3165     2.0909     1.8948     0.0092    14.6405    14.6378     0.0026   295.0000    83.4250   117.552
      4   -77.3001      0.923      2.000   3700.000      1.000    41.2537    53.9990     0.0000     0.0025     0.0000    -0.0010    20.6266    41.2575     3.3201     2.0932     1.8968     0.0075    14.6405    14.6378     0.0026   295.0000    83.4250   117.552
      5   -77.3995      0.924      2.000   3700.000      1.000    41.2537    53.9990     0.0000     0.0025     0.0000    -0.0010    20.6266    41.2575     3.3237     2.0955     1.8988     0.0057    14.6405    14.6378     0.0026   295.0000    83.4250   117.552
      6   -77.4999      0.919      5.000   3700.000      1.000    41.2537    53.9990     0.0000     0.0025     0.0000    -0.0010    20.6266    41.2575     3.3274     2.0979     1.9008     0.0039    14.6405    14.6378     0.0026   295.0000    83.7180   133.000
      7   -77.5993      0.911      2.000   3700.000      1.000    41.2537    53.9990     0.0000     0.0025     0.0000    -0.0010    20.6266    41.2575     3.3310     2.1002     1.9028     0.0022    14.6405    14.6378     0.0026   295.0000    83.7180   133.000
      8   -77.7007      0.929      5.000   3700.000      1.000    41.2537    53.9990     0.0000     0.0025     0.0000    -0.0010    20.6266    41.2575     3.3346     2.1026     1.9049     0.0004    14.6405    14.6378     0.0026   295.0000    83.7180   133.000
      9   -77.8001      0.913      4.000   3700.000      1.000    41.2537    53.9990     0.0000     0.0025     0.0000    -0.0010    20.6266    41.2575     3.3382     2.1049     1.9068    -0.0014    14.6405    14.6378     0.0026   295.0000    83.7180   133.000
     10   -77.8985      0.925      2.000   3700.000      1.000    41.2537    53.9990     0.0000     0.0025     0.0000    -0.0010    20.6266    41.2575     3.3418     2.1072     1.9088    -0.0031    14.6405    14.6378     0.0026   295.0000    83.8930   128.007
     11   -78.0009      0.938      1.000   3700.000      1.000    41.2537    53.9990     0.0000     0.0025     0.0000    -0.0010    20.6266    41.2575     3.3455     2.1096     1.9108    -0.0050    14.6405    14.6378     0.0026   295.0000    83.8930   128.007
     12   -78.1003      0.911      0.000   3700.000      1.000    41.2537    53.9990     0.0000     0.0025     0.0000    -0.0010    20.6266    41.2575     3.3490     2.1119     1.9128    -0.0068    14.6405    14.6378     0.0026   295.0000    83.8930   128.007
     13   -78.1997      0.911      1.000   3700.000      1.000    41.2537    53.9990     0.0000     0.0025     0.0000    -0.0010    20.6266    41.2575     3.3526     2.1142     1.9148    -0.0086    14.6405    14.6378     0.0026   295.0000    83.8930   128.007
     14   -78.3001      0.953      0.000   3700.000      1.000    41.2537    53.9990     0.0000     0.0025     0.0000    -0.0010    20.6266    41.2575     3.3562     2.1166     1.9168    -0.0104    14.6405    14.6378     0.0026   295.0000    84.2900   128.649
     15   -78.4005      0.920      0.000   3700.000      1.000    41.2537    53.9990     0.0000     0.0025     0.0000    -0.0010    20.6266    41.2575     3.3598     2.1189     1.9188    -0.0122    14.6405    14.6378     0.0026   295.0000    84.2900   128.649
     16   -78.4999      0.912      0.000   3700.000      1.000    41.2537    53.9990     0.0000     0.0025     0.0000    -0.0010    20.6266    41.2575     3.3634     2.1212     1.9207    -0.0140    14.6405    14.6378     0.0026   295.0000    84.2900   128.649
     17   -78.6013      0.905      0.000   3700.000      1.000    41.2537    53.9990     0.0000     0.0025     0.0000    -0.0010    20.6266    41.2575     3.3671     2.1236     1.9227    -0.0158    14.6405    14.6378     0.0026   295.0000    84.2900   128.649
     18   -78.7007      0.893      0.000   3700.000      1.000    41.2537    53.9990     0.0000     0.0025     0.0000    -0.0010    20.6266    41.2575     3.3706     2.1259     1.9247    -0.0176    14.6405    14.6378     0.0026   295.0000    84.6160   126.905
     19   -78.7991      0.927      0.000   3700.000      1.000    41.2537    53.9990     0.0000     0.0025     0.0000    -0.0010    20.6266    41.2575     3.3742     2.1281     1.9266    -0.0194    14.6405    14.6378     0.0026   295.0000    84.6160   126.905
     20   -78.8995      0.933      1.000   3700.000      1.000    41.2537    53.9990     0.0000     0.0025     0.0000    -0.0010    20.6266    41.2575     3.3778     2.1304     1.9286    -0.0212    14.6405    14.6378     0.0026   295.0000    84.6160   126.905
     21   -78.9989      0.909      1.000   3700.000      1.000    41.2537    53.9990     0.0000     0.0025     0.0000    -0.0010    20.6266    41.2575     3.3813     2.1327     1.9306    -0.0231    14.6405    14.6378     0.0026   295.0000    84.6160   126.905
# Sum of Counts = 30
# Center of Mass = -77.676673+/-20.056184
# Full Width Half-Maximum = 0.858395+/-8.951729
# 3:13:22 PM  11/10/2003   scan completed.
