# scan = 225
# date = 11/10/2003
# time = 3:13:58 PM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan sgu -4 4 .4 preset 2
# builtin_command = scan sgu -4 4 .4 preset 2
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = looking for relflections, 220 and 002
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554017,7.554017,3.847681,90.000000,90.000000,120.000000
# ubmatrix = -0.008230,-0.004834,0.259516,-0.134256,-0.130074,-0.012979,0.072618,-0.080146,0.005414
# mode = 0
# plane_normal = -0.022217,-0.027363,0.999379
# ubconf = 
# preset_type = normal 
# preset_channel = mcu
# preset_value = 2.000000
# def_x = sgu
# def_y = detector
# col_headers = 
#   Pt.        sgu       time   detector    monitor        mcu         m2         s1         s2        sgl        stl        stu         a1         a2          q          h          k          l         ei         ef          e       temp    coldtip    tsample
      1    -3.9995      1.886      1.000   7400.000      2.000    41.2537    53.9990   -77.6013     0.0000     0.0000    -0.0010    20.6266    41.2575     3.3310     1.8575     2.1438    -0.0011    14.6405    14.6378     0.0026   295.0000    85.7740   131.579
      2    -3.6030      1.848      0.000   7400.000      2.000    41.2537    53.9980   -77.6013     0.0000     0.0000    -0.0010    20.6266    41.2575     3.3310     1.8820     2.1204    -0.0007    14.6405    14.6378     0.0026   295.0000    86.0240   141.012
      3    -3.1990      1.879      0.000   7400.000      2.000    41.2537    53.9980   -77.6013     0.0000     0.0000    -0.0010    20.6266    41.2575     3.3310     1.9069     2.0964    -0.0003    14.6405    14.6378     0.0026   295.0000    86.0240   141.012
      4    -2.8000      1.875      1.000   7400.000      2.000    41.2537    53.9980   -77.6013     0.0000     0.0000    -0.0010    20.6266    41.2575     3.3310     1.9313     2.0726    -0.0000    14.6405    14.6378     0.0026   295.0000    86.2720   131.129
      5    -2.4005      1.861      1.000   7400.000      2.000    41.2537    53.9990   -77.6013     0.0000     0.0000    -0.0010    20.6266    41.2575     3.3310     1.9557     2.0487     0.0003    14.6405    14.6378     0.0026   295.0000    86.2720   131.129
      6    -1.9995      1.832      0.000   7400.000      2.000    41.2537    53.9990   -77.6013     0.0000     0.0000    -0.0010    20.6266    41.2575     3.3310     1.9800     2.0246     0.0006    14.6405    14.6378     0.0026   295.0000    86.2720   131.129
      7    -1.5995      1.835      0.000   7400.000      2.000    41.2537    53.9990   -77.6013     0.0000     0.0000    -0.0010    20.6266    41.2575     3.3310     2.0043     2.0005     0.0009    14.6405    14.6378     0.0026   295.0000    86.5310   125.712
      8    -1.1995      1.845      1.000   7400.000      2.000    41.2537    53.9990   -77.6013     0.0000     0.0000    -0.0010    20.6266    41.2575     3.3310     2.0284     1.9763     0.0012    14.6405    14.6378     0.0026   295.0000    86.5310   125.712
      9    -0.7995      1.851      0.000   7400.000      2.000    41.2537    53.9990   -77.6013     0.0000     0.0000    -0.0010    20.6266    41.2575     3.3310     2.0524     1.9519     0.0015    14.6405    14.6378     0.0026   295.0000    86.5310   125.712
     10    -0.3995      1.854      1.000   7400.000      2.000    41.2537    53.9990   -77.6013     0.0000     0.0000    -0.0010    20.6266    41.2575     3.3310     2.0763     1.9275     0.0018    14.6405    14.6378     0.0026   295.0000    86.7090   126.161
     11     0.0000      1.839      5.000   7400.000      2.000    41.2537    53.9970   -77.6013     0.0000     0.0000    -0.0010    20.6266    41.2575     3.3310     2.1001     1.9030     0.0022    14.6405    14.6378     0.0026   295.0000    86.7090   126.161
     12     0.4005      1.850     37.000   7400.000      2.000    41.2537    53.9970   -77.6013     0.0000     0.0000    -0.0010    20.6266    41.2575     3.3310     2.1239     1.8784     0.0025    14.6405    14.6378     0.0026   295.0000    86.9700   126.334
     13     0.8000      1.866    104.000   7400.000      2.000    41.2537    53.9970   -77.6013     0.0000     0.0000    -0.0010    20.6266    41.2575     3.3310     2.1475     1.8537     0.0028    14.6405    14.6378     0.0026   295.0000    86.9700   126.334
     14     1.2000      1.825    168.000   7400.000      2.000    41.2537    53.9970   -77.6013     0.0000     0.0000    -0.0010    20.6266    41.2575     3.3310     2.1710     1.8289     0.0031    14.6405    14.6378     0.0026   295.0000    87.1810   126.428
     15     1.6005      1.851    219.000   7400.000      2.000    41.2537    53.9980   -77.6013     0.0000     0.0000    -0.0010    20.6266    41.2575     3.3310     2.1944     1.8040     0.0033    14.6405    14.6378     0.0026   295.0000    87.1810   126.428
