# scan = 226
# date = 11/10/2003
# time = 3:17:05 PM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan s1 55 53 -.1 preset 2
# builtin_command = scan s1 55 53 -.1 preset 2
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = looking for relflections, 220 and 002
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554017,7.554017,3.847681,90.000000,90.000000,120.000000
# ubmatrix = -0.008230,-0.004834,0.259516,-0.134256,-0.130074,-0.012979,0.072618,-0.080146,0.005414
# mode = 0
# plane_normal = -0.022217,-0.027363,0.999379
# ubconf = 
# preset_type = normal 
# preset_channel = mcu
# preset_value = 2.000000
# def_x = s1
# def_y = detector
# col_headers = 
#   Pt.         s1       time   detector    monitor        mcu         m2         s2        sgl        sgu        stl        stu         a1         a2          q          h          k          l         ei         ef          e       temp    coldtip    tsample
      1    55.0000      1.849      0.000   7400.000      2.000    41.2537   -77.6003     0.0000     2.2005     0.0000    -0.0010    20.6266    41.2575     3.3310     2.2301     1.7651    -0.0319    14.6405    14.6378     0.0026   295.0000    89.7570   124.203
      2    54.9016      1.865      3.000   7400.000      2.000    41.2537   -77.6003     0.0000     2.2005     0.0000    -0.0010    20.6266    41.2575     3.3310     2.2301     1.7652    -0.0284    14.6405    14.6378     0.0026   295.0000    89.7570   124.203
      3    54.8012      1.832      2.000   7400.000      2.000    41.2537   -77.6003     0.0000     2.2005     0.0000    -0.0010    20.6266    41.2575     3.3310     2.2300     1.7654    -0.0248    14.6405    14.6378     0.0026   295.0000    90.0170   129.979
      4    54.7018      1.878      1.000   7400.000      2.000    41.2537   -77.6003     0.0000     2.2005     0.0000    -0.0010    20.6266    41.2575     3.3310     2.2300     1.7656    -0.0213    14.6405    14.6378     0.0026   295.0000    90.0170   129.979
      5    54.6004      1.837      2.000   7400.000      2.000    41.2537   -77.6003     0.0000     2.2005     0.0000    -0.0010    20.6266    41.2575     3.3310     2.2299     1.7657    -0.0177    14.6405    14.6378     0.0026   295.0000    90.0170   129.979
      6    54.5000      1.875      5.000   7400.000      2.000    41.2537   -77.6003     0.0000     2.2005     0.0000    -0.0010    20.6266    41.2575     3.3310     2.2298     1.7659    -0.0141    14.6405    14.6378     0.0026   295.0000    90.0170   129.979
      7    54.3996      1.859     14.000   7400.000      2.000    41.2537   -77.6003     0.0000     2.2005     0.0000    -0.0010    20.6266    41.2575     3.3310     2.2297     1.7660    -0.0105    14.6405    14.6378     0.0026   295.0000    90.2870   123.779
      8    54.3002      1.835     33.000   7400.000      2.000    41.2537   -77.6003     0.0000     2.2005     0.0000    -0.0010    20.6266    41.2575     3.3310     2.2296     1.7661    -0.0070    14.6405    14.6378     0.0026   295.0000    90.2870   123.779
      9    54.1988      1.853    106.000   7400.000      2.000    41.2537   -77.6003     0.0000     2.2005     0.0000    -0.0010    20.6266    41.2575     3.3310     2.2295     1.7663    -0.0034    14.6405    14.6378     0.0026   295.0000    90.2870   123.779
     10    54.1004      1.816    189.000   7400.000      2.000    41.2537   -77.6003     0.0000     2.2005     0.0000    -0.0010    20.6266    41.2575     3.3310     2.2294     1.7664     0.0001    14.6405    14.6378     0.0026   295.0000    90.3630   122.304
     11    54.0000      1.873    258.000   7400.000      2.000    41.2537   -77.6003     0.0000     2.2005     0.0000    -0.0010    20.6266    41.2575     3.3310     2.2293     1.7665     0.0037    14.6405    14.6378     0.0026   295.0000    90.3630   122.304
     12    53.9006      1.836    214.000   7400.000      2.000    41.2537   -77.6003     0.0000     2.2005     0.0000    -0.0010    20.6266    41.2575     3.3310     2.2292     1.7666     0.0072    14.6405    14.6378     0.0026   295.0000    90.3630   122.304
     13    53.8012      1.850    120.000   7400.000      2.000    41.2537   -77.6003     0.0000     2.2005     0.0000    -0.0010    20.6266    41.2575     3.3310     2.2291     1.7667     0.0108    14.6405    14.6378     0.0026   295.0000    90.5070   120.513
     14    53.6998      1.881     43.000   7400.000      2.000    41.2537   -77.6003     0.0000     2.2005     0.0000    -0.0010    20.6266    41.2575     3.3310     2.2289     1.7668     0.0144    14.6405    14.6378     0.0026   295.0000    90.5070   120.513
     15    53.5994      1.894     17.000   7400.000      2.000    41.2537   -77.6003     0.0000     2.2005     0.0000    -0.0010    20.6266    41.2575     3.3310     2.2288     1.7669     0.0179    14.6405    14.6378     0.0026   295.0000    90.5070   120.513
     16    53.5010      1.842      6.000   7400.000      2.000    41.2537   -77.6003     0.0000     2.2005     0.0000    -0.0010    20.6266    41.2575     3.3310     2.2286     1.7670     0.0214    14.6405    14.6378     0.0026   295.0000    90.5070   120.513
     17    53.4006      1.878      3.000   7400.000      2.000    41.2537   -77.6003     0.0000     2.2005     0.0000    -0.0010    20.6266    41.2575     3.3310     2.2285     1.7671     0.0250    14.6405    14.6378     0.0026   295.0000    90.9680   120.575
     18    53.3002      1.837      3.000   7400.000      2.000    41.2537   -77.6003     0.0000     2.2005     0.0000    -0.0010    20.6266    41.2575     3.3310     2.2283     1.7671     0.0286    14.6405    14.6378     0.0026   295.0000    90.9680   120.575
