# scan = 227
# date = 11/10/2003
# time = 4:19:17 PM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan s1 -34 36 .1 preset 2
# builtin_command = scan s1 -34 36 .1 preset 2
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = looking for relflections, 220 and 002
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554017,7.554017,3.847681,90.000000,90.000000,120.000000
# ubmatrix = -0.008230,-0.004834,0.259516,-0.134256,-0.130074,-0.012979,0.072618,-0.080146,0.005414
# mode = 0
# plane_normal = -0.022217,-0.027363,0.999379
# ubconf = 
# preset_type = normal 
# preset_channel = mcu
# preset_value = 2.000000
# def_x = s1
# def_y = detector
# col_headers = 
#   Pt.         s1       time   detector    monitor        mcu         m2         s2        sgl        sgu        stl        stu         a1         a2          q          h          k          l         ei         ef          e       temp    coldtip    tsample
      1   -33.9990      1.870      0.000   7400.000      2.000    41.2537   -75.8099     0.0000     0.0000     0.0030     0.0020    20.6266    41.2566     3.2659    -0.0321     0.1060     1.9992    14.6405    14.6385     0.0020   295.0000    90.0180   105.303
      2   -33.8986      1.834      3.000   7400.000      2.000    41.2537   -75.8099     0.0000     0.0000     0.0030     0.0020    20.6266    41.2566     3.2659    -0.0285     0.1093     1.9991    14.6405    14.6385     0.0020   295.0000    90.0250   105.405
      3   -33.7992      1.873      2.000   7400.000      2.000    41.2537   -75.8099     0.0000     0.0000     0.0030     0.0020    20.6266    41.2566     3.2659    -0.0249     0.1125     1.9991    14.6405    14.6385     0.0020   295.0000    90.0250   105.405
      4   -33.6998      1.837      0.000   7400.000      2.000    41.2537   -75.8099     0.0000     0.0000     0.0030     0.0020    20.6266    41.2566     3.2659    -0.0213     0.1157     1.9990    14.6405    14.6385     0.0020   295.0000    90.0250   105.405
      5   -33.5994      1.860      0.000   7400.000      2.000    41.2537   -75.8099     0.0000     0.0000     0.0030     0.0020    20.6266    41.2566     3.2659    -0.0177     0.1190     1.9989    14.6405    14.6385     0.0020   295.0000    89.7830   105.200
      6   -33.5000      1.880      0.000   7400.000      2.000    41.2537   -75.8099     0.0000     0.0000     0.0030     0.0020    20.6266    41.2566     3.2659    -0.0141     0.1222     1.9988    14.6405    14.6385     0.0020   295.0000    89.7830   105.200
      7   -33.3996      1.865      1.000   7400.000      2.000    41.2537   -75.8099     0.0000     0.0000     0.0030     0.0020    20.6266    41.2566     3.2659    -0.0105     0.1255     1.9987    14.6405    14.6385     0.0020   295.0000    89.7830   105.200
      8   -33.3012      1.887      1.000   7400.000      2.000    41.2537   -75.8099     0.0000     0.0000     0.0030     0.0020    20.6266    41.2566     3.2659    -0.0070     0.1287     1.9986    14.6405    14.6385     0.0020   295.0000    89.8420   104.963
      9   -33.2008      1.849      0.000   7400.000      2.000    41.2537   -75.8099     0.0000     0.0000     0.0030     0.0020    20.6266    41.2566     3.2659    -0.0034     0.1319     1.9985    14.6405    14.6385     0.0020   295.0000    89.8420   104.963
     10   -33.1004      1.862      0.000   7400.000      2.000    41.2537   -75.8099     0.0000     0.0000     0.0030     0.0020    20.6266    41.2566     3.2659     0.0002     0.1352     1.9984    14.6405    14.6385     0.0020   295.0000    89.8420   104.963
     11   -33.0000      1.838      1.000   7400.000      2.000    41.2537   -75.8099     0.0000     0.0000     0.0030     0.0020    20.6266    41.2566     3.2659     0.0039     0.1385     1.9983    14.6405    14.6385     0.0020   295.0000    89.7460   105.307
     12   -32.8996      1.880      0.000   7400.000      2.000    41.2537   -75.8099     0.0000     0.0000     0.0030     0.0020    20.6266    41.2566     3.2659     0.0075     0.1417     1.9981    14.6405    14.6385     0.0020   295.0000    89.7460   105.307
     13   -32.7992      1.861      1.000   7400.000      2.000    41.2537   -75.8099     0.0000     0.0000     0.0030     0.0020    20.6266    41.2566     3.2659     0.0111     0.1450     1.9980    14.6405    14.6385     0.0020   295.0000    89.6190   104.821
     14   -32.6998      1.860      0.000   7400.000      2.000    41.2537   -75.8099     0.0000     0.0000     0.0030     0.0020    20.6266    41.2566     3.2659     0.0146     0.1482     1.9979    14.6405    14.6385     0.0020   295.0000    89.6190   104.821
     15   -32.6004      1.850      2.000   7400.000      2.000    41.2537   -75.8099     0.0000     0.0000     0.0030     0.0020    20.6266    41.2566     3.2659     0.0182     0.1515     1.9977    14.6405    14.6385     0.0020   295.0000    89.6190   104.821
     16   -32.5000      1.874      0.000   7400.000      2.000    41.2537   -75.8099     0.0000     0.0000     0.0030     0.0020    20.6266    41.2566     3.2659     0.0218     0.1547     1.9976    14.6405    14.6385     0.0020   295.0000    89.5890   105.081
     17   -32.4006      1.870      1.000   7400.000      2.000    41.2537   -75.8099     0.0000     0.0000     0.0030     0.0020    20.6266    41.2566     3.2659     0.0254     0.1579     1.9974    14.6405    14.6385     0.0020   295.0000    89.5890   105.081
     18   -32.3002      1.829      2.000   7400.000      2.000    41.2537   -75.8099     0.0000     0.0000     0.0030     0.0020    20.6266    41.2566     3.2659     0.0290     0.1612     1.9972    14.6405    14.6385     0.0020   295.0000    89.5890   105.081
     19   -32.1998      0.000      0.000      0.000      0.000    41.2537   -75.8099     0.0000     0.0000     0.0030     0.0020    20.6266    41.2566     3.2659     0.0326     0.1645     1.9971    14.6405    14.6385     0.0020   295.0000    89.4680   104.826
# Sum of Counts = 14
# Center of Mass = -33.142571+/-12.527807
# Full Width Half-Maximum = 1.237984+/-9.877396
# 4:20:24 PM  11/10/2003   scan stopped!!
