# scan = 228
# date = 11/10/2003
# time = 4:20:33 PM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan s1 -34 -36 .1 preset 2
# builtin_command = scan s1 -34 -36 .1 preset 2
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = looking for relflections, 220 and 002
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554017,7.554017,3.847681,90.000000,90.000000,120.000000
# ubmatrix = -0.008230,-0.004834,0.259516,-0.134256,-0.130074,-0.012979,0.072618,-0.080146,0.005414
# mode = 0
# plane_normal = -0.022217,-0.027363,0.999379
# ubconf = 
# preset_type = normal 
# preset_channel = mcu
# preset_value = 2.000000
# def_x = s1
# def_y = detector
# col_headers = 
#   Pt.         s1       time   detector    monitor        mcu         m2         s2        sgl        sgu        stl        stu         a1         a2          q          h          k          l         ei         ef          e       temp    coldtip    tsample
      1   -34.0000      1.842      0.000   7400.000      2.000    41.2537   -75.8099     0.0000     0.0000     0.0030     0.0020    20.6266    41.2566     3.2659    -0.0321     0.1060     1.9992    14.6405    14.6385     0.0020   295.0000    89.4440   104.630
      2   -34.0994      1.859      3.000   7400.000      2.000    41.2537   -75.8099     0.0000     0.0000     0.0030     0.0020    20.6266    41.2566     3.2659    -0.0357     0.1027     1.9993    14.6405    14.6385     0.0020   295.0000    89.4440   104.630
      3   -34.1998      1.860      1.000   7400.000      2.000    41.2537   -75.8099     0.0000     0.0000     0.0030     0.0020    20.6266    41.2566     3.2659    -0.0393     0.0995     1.9993    14.6405    14.6385     0.0020   295.0000    89.4440   104.630
      4   -34.2992      1.860      0.000   7400.000      2.000    41.2537   -75.8099     0.0000     0.0000     0.0030     0.0020    20.6266    41.2566     3.2659    -0.0429     0.0962     1.9994    14.6405    14.6385     0.0020   295.0000    89.4050   104.617
      5   -34.4006      1.831      1.000   7400.000      2.000    41.2537   -75.8099     0.0000     0.0000     0.0030     0.0020    20.6266    41.2566     3.2659    -0.0465     0.0929     1.9994    14.6405    14.6385     0.0020   295.0000    89.4050   104.617
      6   -34.4990      1.827      3.000   7400.000      2.000    41.2537   -75.8099     0.0000     0.0000     0.0030     0.0020    20.6266    41.2566     3.2659    -0.0500     0.0897     1.9994    14.6405    14.6385     0.0020   295.0000    89.4050   104.617
      7   -34.6014      1.865      1.000   7400.000      2.000    41.2537   -75.8099     0.0000     0.0000     0.0030     0.0020    20.6266    41.2566     3.2659    -0.0537     0.0864     1.9995    14.6405    14.6385     0.0020   295.0000    89.2700   104.533
      8   -34.6998      1.838      3.000   7400.000      2.000    41.2537   -75.8099     0.0000     0.0000     0.0030     0.0020    20.6266    41.2566     3.2659    -0.0573     0.0832     1.9995    14.6405    14.6385     0.0020   295.0000    89.2700   104.533
      9   -34.8002      1.846     18.000   7400.000      2.000    41.2537   -75.8099     0.0000     0.0000     0.0030     0.0020    20.6266    41.2566     3.2659    -0.0609     0.0799     1.9995    14.6405    14.6385     0.0020   295.0000    89.2700   104.533
     10   -34.9006      1.880     23.000   7400.000      2.000    41.2537   -75.8099     0.0000     0.0000     0.0030     0.0020    20.6266    41.2566     3.2659    -0.0645     0.0766     1.9995    14.6405    14.6385     0.0020   295.0000    89.2700   104.533
     11   -34.9990      1.836     87.000   7400.000      2.000    41.2537   -75.8099     0.0000     0.0000     0.0030     0.0020    20.6266    41.2566     3.2659    -0.0680     0.0734     1.9995    14.6405    14.6385     0.0020   295.0000    89.1250   104.380
     12   -35.0984      1.846    318.000   7400.000      2.000    41.2537   -75.8099     0.0000     0.0000     0.0030     0.0020    20.6266    41.2566     3.2659    -0.0716     0.0702     1.9995    14.6405    14.6385     0.0020   295.0000    89.1250   104.380
     13   -35.1998      1.855    510.000   7400.000      2.000    41.2537   -75.8099     0.0000     0.0000     0.0030     0.0020    20.6266    41.2566     3.2659    -0.0752     0.0669     1.9995    14.6405    14.6385     0.0020   295.0000    89.1250   104.380
     14   -35.2992      1.870    594.000   7400.000      2.000    41.2537   -75.8099     0.0000     0.0000     0.0030     0.0020    20.6266    41.2566     3.2659    -0.0788     0.0637     1.9995    14.6405    14.6385     0.0020   295.0000    89.1510   104.446
     15   -35.4006      1.866    445.000   7400.000      2.000    41.2537   -75.8099     0.0000    -0.0005     0.0030     0.0020    20.6266    41.2566     3.2659    -0.0825     0.0604     1.9995    14.6405    14.6385     0.0020   295.0000    89.1510   104.446
     16   -35.5000      1.799    202.000   7400.000      2.000    41.2537   -75.8099     0.0000    -0.0005     0.0030     0.0020    20.6266    41.2566     3.2659    -0.0860     0.0571     1.9995    14.6405    14.6385     0.0020   295.0000    89.1510   104.446
     17   -35.6004      1.872     63.000   7400.000      2.000    41.2537   -75.8099     0.0000    -0.0005     0.0030     0.0020    20.6266    41.2566     3.2659    -0.0896     0.0539     1.9994    14.6405    14.6385     0.0020   295.0000    89.1400   104.585
     18   -35.6998      1.867     25.000   7400.000      2.000    41.2537   -75.8099     0.0000    -0.0005     0.0030     0.0020    20.6266    41.2566     3.2659    -0.0932     0.0506     1.9994    14.6405    14.6385     0.0020   295.0000    89.1400   104.585
     19   -35.8002      1.851     13.000   7400.000      2.000    41.2537   -75.8099     0.0000    -0.0005     0.0030     0.0020    20.6266    41.2566     3.2659    -0.0968     0.0473     1.9994    14.6405    14.6385     0.0020   295.0000    89.1400   104.585
     20   -35.8996      1.841      9.000   7400.000      2.000    41.2537   -75.8099     0.0000    -0.0005     0.0030     0.0020    20.6266    41.2566     3.2659    -0.1004     0.0441     1.9993    14.6405    14.6385     0.0020   295.0000    88.9800   104.369
     21   -36.0010      1.864      6.000   7400.000      2.000    41.2537   -75.8099     0.0000    -0.0005     0.0030     0.0020    20.6266    41.2566     3.2659    -0.1040     0.0408     1.9993    14.6405    14.6385     0.0020   295.0000    88.9800   104.369
# Sum of Counts = 2325
# Center of Mass = -35.282638+/-1.034826
# Full Width Half-Maximum = 0.359044+/-0.529234
# 4:21:38 PM  11/10/2003   scan completed.
