# scan = 229
# date = 11/10/2003
# time = 4:23:01 PM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan sgl -3 3 .4
# builtin_command = scan sgl -3 3 .4
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = looking for relflections, 220 and 002
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554017,7.554017,3.847681,90.000000,90.000000,120.000000
# ubmatrix = -0.008230,-0.004834,0.259516,-0.134256,-0.130074,-0.012979,0.072618,-0.080146,0.005414
# mode = 0
# plane_normal = -0.022217,-0.027363,0.999379
# ubconf = 
# preset_type = normal 
# preset_channel = mcu
# preset_value = 1.000000
# def_x = sgl
# def_y = detector
# col_headers = 
#   Pt.        sgl       time   detector    monitor        mcu         m2         s1         s2        sgu        stl        stu         a1         a2          q          h          k          l         ei         ef          e       temp    coldtip    tsample
      1    -2.9965      0.914      1.000   3700.000      1.000    41.2537   -35.2726   -75.8089    -0.0005     0.0030     0.0020    20.6266    41.2566     3.2659    -0.2522     0.2449     1.9946    14.6405    14.6385     0.0020   295.0000    88.5500   103.953
      2    -2.5995      0.900      5.000   3700.000      1.000    41.2537   -35.2677   -75.8109    -0.0005     0.0030     0.0020    20.6266    41.2566     3.2659    -0.2289     0.2212     1.9956    14.6405    14.6385     0.0020   295.0000    88.5500   103.953
      3    -2.1990      0.915     16.000   3700.000      1.000    41.2537   -35.2687   -75.8109    -0.0005     0.0030     0.0020    20.6266    41.2566     3.2659    -0.2057     0.1971     1.9965    14.6405    14.6385     0.0020   295.0000    88.5500   103.953
      4    -1.7990      0.904     68.000   3700.000      1.000    41.2537   -35.2687   -75.8109    -0.0005     0.0030     0.0020    20.6266    41.2566     3.2659    -0.1824     0.1730     1.9972    14.6405    14.6385     0.0020   295.0000    88.3250   103.772
      5    -1.3995      0.922    129.000   3700.000      1.000    41.2537   -35.2687   -75.8109    -0.0005     0.0030     0.0020    20.6266    41.2566     3.2659    -0.1592     0.1490     1.9979    14.6405    14.6385     0.0020   295.0000    88.3250   103.772
      6    -0.9990      0.891    205.000   3700.000      1.000    41.2537   -35.2687   -75.8109    -0.0005     0.0030     0.0020    20.6266    41.2566     3.2659    -0.1359     0.1248     1.9985    14.6405    14.6385     0.0020   295.0000    88.3250   103.772
      7    -0.5995      0.888    241.000   3700.000      1.000    41.2537   -35.2687   -75.8109    -0.0005     0.0030     0.0020    20.6266    41.2566     3.2659    -0.1126     0.1008     1.9990    14.6405    14.6385     0.0020   295.0000    88.1990   103.901
      8    -0.1995      0.912    301.000   3700.000      1.000    41.2537   -35.2687   -75.8109    -0.0005     0.0030     0.0020    20.6266    41.2566     3.2659    -0.0893     0.0767     1.9994    14.6405    14.6385     0.0020   295.0000    88.1990   103.901
      9     0.2005      0.920    301.000   3700.000      1.000    41.2537   -35.2687   -75.8109    -0.0005     0.0030     0.0020    20.6266    41.2566     3.2659    -0.0660     0.0526     1.9997    14.6405    14.6385     0.0020   295.0000    88.1990   103.901
     10     0.6010      0.900    212.000   3700.000      1.000    41.2537   -35.2687   -75.8109    -0.0005     0.0030     0.0020    20.6266    41.2566     3.2659    -0.0427     0.0285     1.9999    14.6405    14.6385     0.0020   295.0000    88.1990   103.901
     11     1.0005      0.928    123.000   3700.000      1.000    41.2537   -35.2687   -75.8109    -0.0005     0.0030     0.0020    20.6266    41.2566     3.2659    -0.0194     0.0044     2.0000    14.6405    14.6385     0.0020   295.0000    88.1950   103.817
     12     1.4005      0.932     63.000   3700.000      1.000    41.2537   -35.2687   -75.8109    -0.0005     0.0030     0.0020    20.6266    41.2566     3.2659     0.0040    -0.0196     2.0000    14.6405    14.6385     0.0020   295.0000    88.1950   103.817
     13     1.8005      0.946     12.000   3700.000      1.000    41.2537   -35.2687   -75.8109    -0.0005     0.0030     0.0020    20.6266    41.2566     3.2659     0.0273    -0.0437     1.9999    14.6405    14.6385     0.0020   295.0000    88.1950   103.817
     14     2.2000      0.917      7.000   3700.000      1.000    41.2537   -35.2697   -75.8109    -0.0005     0.0030     0.0020    20.6266    41.2566     3.2659     0.0506    -0.0678     1.9997    14.6405    14.6385     0.0020   295.0000    88.1160   103.520
     15     2.6005      0.947      1.000   3700.000      1.000    41.2537   -35.2697   -75.8109    -0.0005     0.0030     0.0020    20.6266    41.2566     3.2659     0.0739    -0.0919     1.9994    14.6405    14.6385     0.0020   295.0000    88.1160   103.520
     16     3.0005      0.924      0.000   3700.000      1.000    41.2537   -35.2697   -75.8109    -0.0005     0.0030     0.0020    20.6266    41.2566     3.2659     0.0973    -0.1159     1.9990    14.6405    14.6385     0.0020   295.0000    88.1160   103.520
# Sum of Counts = 1685
# Center of Mass = -0.192705+/-0.021995
# Full Width Half-Maximum = 1.721495+/-0.042211
# 4:23:50 PM  11/10/2003   scan completed.
