# scan = 231
# date = 11/10/2003
# time = 4:33:09 PM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scanrel s1 -1 1 .1
# builtin_command = scan s1 @(s1)+-1 @(s1)+1 0.100000
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = looking for relflections, 220 and 002
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554017,7.554017,3.847681,90.000000,90.000000,120.000000
# ubmatrix = -0.005801,-0.006329,0.259622,-0.132241,-0.132241,-0.011907,0.076450,-0.076408,-0.000897
# mode = 0
# plane_normal = 0.003456,0.000000,0.999986
# ubconf = C:\User\exp41\UBConf\UB10Nov2003_42836PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 1.000000
# def_x = s1
# def_y = detector
# col_headers = 
#   Pt.         s1       time   detector    monitor        mcu         m2         s2        sgl        sgu        stl        stu         a1         a2          q          h          k          l         ei         ef          e       temp    coldtip    tsample
      1    52.8848      0.924      0.000   3700.000      1.000    41.2537   -77.4861    -0.1980     2.1940     0.0040     0.0020    20.6266    41.2566     3.3269     2.1307     1.8656     0.0351    14.6405    14.6385     0.0020   295.0000    75.1710    98.315
      2    52.9823      0.922      1.000   3700.000      1.000    41.2537   -77.4861    -0.1980     2.1940     0.0040     0.0020    20.6266    41.2566     3.3269     2.1307     1.8656     0.0316    14.6405    14.6385     0.0020   295.0000    74.8000    97.925
      3    53.0817      0.956      1.000   3700.000      1.000    41.2537   -77.4861    -0.1980     2.1940     0.0040     0.0020    20.6266    41.2566     3.3269     2.1308     1.8657     0.0281    14.6405    14.6385     0.0020   295.0000    74.8000    97.925
      4    53.1811      0.905      0.000   3700.000      1.000    41.2537   -77.4861    -0.1980     2.1940     0.0040     0.0020    20.6266    41.2566     3.3269     2.1308     1.8658     0.0245    14.6405    14.6385     0.0020   295.0000    74.8000    97.925
      5    53.2825      0.918      4.000   3700.000      1.000    41.2537   -77.4861    -0.1980     2.1940     0.0040     0.0020    20.6266    41.2566     3.3269     2.1309     1.8658     0.0209    14.6405    14.6385     0.0020   295.0000    74.8000    97.925
      6    53.3829      0.927      1.000   3700.000      1.000    41.2537   -77.4861    -0.1980     2.1940     0.0040     0.0020    20.6266    41.2566     3.3269     2.1309     1.8658     0.0174    14.6405    14.6385     0.0020   295.0000    74.4450    97.971
      7    53.4823      0.940      4.000   3700.000      1.000    41.2537   -77.4861    -0.1980     2.1940     0.0040     0.0020    20.6266    41.2566     3.3269     2.1309     1.8659     0.0138    14.6405    14.6385     0.0020   295.0000    74.4450    97.971
      8    53.5827      0.940     12.000   3700.000      1.000    41.2537   -77.4861    -0.1980     2.1940     0.0040     0.0020    20.6266    41.2566     3.3269     2.1309     1.8659     0.0103    14.6405    14.6385     0.0020   295.0000    74.4450    97.971
      9    53.6821      0.925     36.000   3700.000      1.000    41.2537   -77.4861    -0.1980     2.1940     0.0040     0.0020    20.6266    41.2566     3.3269     2.1309     1.8659     0.0067    14.6405    14.6385     0.0020   295.0000    74.4450    97.971
     10    53.7835      0.910     61.000   3700.000      1.000    41.2537   -77.4861    -0.1980     2.1940     0.0040     0.0020    20.6266    41.2566     3.3269     2.1309     1.8660     0.0031    14.6405    14.6385     0.0020   295.0000    74.0180    97.464
     11    53.8829      0.937    116.000   3700.000      1.000    41.2537   -77.4861    -0.1980     2.1940     0.0040     0.0020    20.6266    41.2566     3.3269     2.1309     1.8660    -0.0004    14.6405    14.6385     0.0020   295.0000    74.0180    97.464
     12    53.9823      0.921     92.000   3700.000      1.000    41.2537   -77.4861    -0.1980     2.1940     0.0040     0.0020    20.6266    41.2566     3.3269     2.1309     1.8660    -0.0040    14.6405    14.6385     0.0020   295.0000    74.0180    97.464
     13    54.0817      0.916     52.000   3700.000      1.000    41.2537   -77.4861    -0.1980     2.1940     0.0040     0.0020    20.6266    41.2566     3.3269     2.1309     1.8660    -0.0075    14.6405    14.6385     0.0020   295.0000    73.6950    97.228
     14    54.1821      0.949     17.000   3700.000      1.000    41.2537   -77.4861    -0.1980     2.1940     0.0040     0.0020    20.6266    41.2566     3.3269     2.1308     1.8660    -0.0111    14.6405    14.6385     0.0020   295.0000    73.6950    97.228
     15    54.2825      0.919      2.000   3700.000      1.000    41.2537   -77.4861    -0.1980     2.1940     0.0040     0.0020    20.6266    41.2566     3.3269     2.1308     1.8660    -0.0146    14.6405    14.6385     0.0020   295.0000    73.6950    97.228
     16    54.3819      0.929      0.000   3700.000      1.000    41.2537   -77.4861    -0.1980     2.1940     0.0040     0.0020    20.6266    41.2566     3.3269     2.1308     1.8659    -0.0182    14.6405    14.6385     0.0020   295.0000    73.6950    97.228
     17    54.4823      0.935      0.000   3700.000      1.000    41.2537   -77.4861    -0.1980     2.1940     0.0040     0.0020    20.6266    41.2566     3.3269     2.1307     1.8659    -0.0217    14.6405    14.6385     0.0020   295.0000    73.4020    97.354
     18    54.5827      0.899      0.000   3700.000      1.000    41.2537   -77.4861    -0.1980     2.1940     0.0040     0.0020    20.6266    41.2566     3.3269     2.1307     1.8659    -0.0253    14.6405    14.6385     0.0020   295.0000    73.4020    97.354
     19    54.6831      0.964      1.000   3700.000      1.000    41.2537   -77.4861    -0.1980     2.1940     0.0040     0.0020    20.6266    41.2566     3.3269     2.1306     1.8659    -0.0289    14.6405    14.6385     0.0020   295.0000    73.4020    97.354
     20    54.7835      0.911      0.000   3700.000      1.000    41.2537   -77.4861    -0.1980     2.1940     0.0040     0.0020    20.6266    41.2566     3.3269     2.1305     1.8658    -0.0324    14.6405    14.6385     0.0020   295.0000    73.0430    97.478
     21    54.8819      0.920      0.000   3700.000      1.000    41.2537   -77.4861    -0.1980     2.1940     0.0040     0.0020    20.6266    41.2566     3.3269     2.1305     1.8658    -0.0359    14.6405    14.6385     0.0020   295.0000    73.0430    97.478
# Sum of Counts = 400
# Center of Mass = 53.890569+/-3.810649
# Full Width Half-Maximum = 0.351349+/-1.938927
# 4:34:06 PM  11/10/2003   scan completed.
