# scan = 233
# date = 11/10/2003
# time = 4:50:42 PM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan sgu -3 3 .4
# builtin_command = scan sgu -3 3 .4
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = looking for relflections, 220 and 002
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554017,7.554017,3.847681,90.000000,90.000000,120.000000
# ubmatrix = -0.005801,-0.006329,0.259622,-0.132241,-0.132241,-0.011907,0.076450,-0.076408,-0.000897
# mode = 0
# plane_normal = 0.003456,0.000000,0.999986
# ubconf = C:\User\exp41\UBConf\UB10Nov2003_42836PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 1.000000
# def_x = sgu
# def_y = detector
# col_headers = 
#   Pt.        sgu       time   detector    monitor        mcu         m2         s1         s2        sgl        stl        stu         a1         a2          q          h          k          l         ei         ef          e       temp    coldtip    tsample
      1    -3.0000      0.917      0.000   3700.000      1.000    41.2537    53.7254   -77.4851    -0.1980     0.0040     0.0020    20.6266    41.2566     3.3269     1.8160     2.1783     0.0058    14.6405    14.6385     0.0020   295.0000    40.8380    73.773
      2    -2.6005      0.948      1.000   3700.000      1.000    41.2537    53.7136   -77.4871    -0.1980     0.0040     0.0020    20.6266    41.2566     3.3269     1.8408     2.1549     0.0061    14.6405    14.6385     0.0020   295.0000    40.4090    73.379
      3    -2.1995      0.944      0.000   3700.000      1.000    41.2537    53.7156   -77.4871    -0.1980     0.0040     0.0020    20.6266    41.2566     3.3269     1.8656     2.1313     0.0060    14.6405    14.6385     0.0020   295.0000    40.4090    73.379
      4    -1.7995      0.943      1.000   3700.000      1.000    41.2537    53.7156   -77.4871    -0.1980     0.0040     0.0020    20.6266    41.2566     3.3269     1.8903     2.1076     0.0060    14.6405    14.6385     0.0020   295.0000    40.4090    73.379
      5    -1.3995      0.937      0.000   3700.000      1.000    41.2537    53.7156   -77.4871    -0.1980     0.0040     0.0020    20.6266    41.2566     3.3269     1.9148     2.0838     0.0060    14.6405    14.6385     0.0020   295.0000    39.7500    73.066
      6    -0.9995      0.914      2.000   3700.000      1.000    41.2537    53.7156   -77.4871    -0.1980     0.0040     0.0020    20.6266    41.2566     3.3269     1.9392     2.0600     0.0060    14.6405    14.6385     0.0020   295.0000    39.7500    73.066
      7    -0.6000      0.948      1.000   3700.000      1.000    41.2537    53.7165   -77.4871    -0.1980     0.0040     0.0020    20.6266    41.2566     3.3269     1.9636     2.0360     0.0059    14.6405    14.6385     0.0020   295.0000    39.7500    73.066
      8    -0.2000      0.900      4.000   3700.000      1.000    41.2537    53.7165   -77.4871    -0.1980     0.0040     0.0020    20.6266    41.2566     3.3269     1.9878     2.0120     0.0058    14.6405    14.6385     0.0020   295.0000    39.7500    73.066
      9     0.2000      0.893     31.000   3700.000      1.000    41.2537    53.7165   -77.4871    -0.1980     0.0040     0.0020    20.6266    41.2566     3.3269     2.0120     1.9878     0.0058    14.6405    14.6385     0.0020   295.0000    39.0360    72.717
     10     0.6000      0.933     64.000   3700.000      1.000    41.2537    53.7165   -77.4871    -0.1980     0.0040     0.0020    20.6266    41.2566     3.3269     2.0360     1.9636     0.0057    14.6405    14.6385     0.0020   295.0000    39.0360    72.717
     11     0.9995      0.922     84.000   3700.000      1.000    41.2537    53.7165   -77.4871    -0.1980     0.0040     0.0020    20.6266    41.2566     3.3269     2.0600     1.9392     0.0057    14.6405    14.6385     0.0020   295.0000    39.0360    72.717
     12     1.4005      0.940    102.000   3700.000      1.000    41.2537    53.7165   -77.4881    -0.1980     0.0040     0.0020    20.6266    41.2566     3.3270     2.0839     1.9148     0.0056    14.6405    14.6385     0.0020   295.0000    38.0730    72.242
     13     1.8005      0.921     86.000   3700.000      1.000    41.2537    53.7165   -77.4881    -0.1980     0.0040     0.0020    20.6266    41.2566     3.3270     2.1077     1.8902     0.0055    14.6405    14.6385     0.0020   295.0000    38.0730    72.242
     14     2.2005      0.913     70.000   3700.000      1.000    41.2537    53.7165   -77.4881    -0.1980     0.0040     0.0020    20.6266    41.2566     3.3270     2.1313     1.8656     0.0055    14.6405    14.6385     0.0020   295.0000    38.0730    72.242
     15     2.6000      0.909     46.000   3700.000      1.000    41.2537    53.7165   -77.4881    -0.1980     0.0040     0.0020    20.6266    41.2566     3.3270     2.1549     1.8409     0.0054    14.6405    14.6385     0.0020   295.0000    38.0730    72.242
     16     3.0000      0.955     29.000   3700.000      1.000    41.2537    53.7165   -77.4881    -0.1980     0.0040     0.0020    20.6266    41.2566     3.3270     2.1783     1.8161     0.0053    14.6405    14.6385     0.0020   295.0000    37.2740    71.838
# Sum of Counts = 521
# Center of Mass = 1.495370+/-0.099281
# Full Width Half-Maximum = 1.628587+/-0.097075
# 4:51:36 PM  11/10/2003   scan completed.
