# scan = 234
# date = 11/10/2003
# time = 4:57:04 PM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan s2 -76.6 -77.6 -.1 preset mcu 2
# builtin_command = scan s2 -76.6 -77.6 -.1 preset mcu 2
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = looking for relflections, 220 and 002
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554017,7.554017,3.847681,90.000000,90.000000,120.000000
# ubmatrix = -0.005801,-0.006329,0.259622,-0.132241,-0.132241,-0.011907,0.076450,-0.076408,-0.000897
# mode = 0
# plane_normal = 0.003456,0.000000,0.999986
# ubconf = C:\User\exp41\UBConf\UB10Nov2003_42836PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 2.000000
# def_x = s2
# def_y = detector
# col_headers = 
#   Pt.         s2       time   detector    monitor        mcu         m2         s1        sgl        sgu        stl        stu         a1         a2          q          h          k          l         ei         ef          e       temp    coldtip    tsample
      1   -76.6013      1.849      2.000   7400.000      2.000    41.2537    53.7146    -0.1980     1.5615     0.0040     0.0020    20.6266    41.2566     3.2948     2.0732     1.8863     0.0212    14.6405    14.6385     0.0020   295.0000     4.4888    54.190
      2   -76.6997      1.869      5.000   7400.000      2.000    41.2537    53.7146    -0.1980     1.5615     0.0040     0.0020    20.6266    41.2566     3.2984     2.0754     1.8884     0.0195    14.6405    14.6385     0.0020   295.0000     4.4888    54.190
      3   -76.8001      1.875      3.000   7400.000      2.000    41.2537    53.7146    -0.1980     1.5615     0.0040     0.0020    20.6266    41.2566     3.3020     2.0778     1.8905     0.0177    14.6405    14.6385     0.0020   295.0000     4.3845    53.537
      4   -76.8995      1.864     20.000   7400.000      2.000    41.2537    53.7146    -0.1980     1.5615     0.0040     0.0020    20.6266    41.2566     3.3056     2.0800     1.8926     0.0160    14.6405    14.6385     0.0020   295.0000     4.3845    53.537
      5   -76.9989      1.868     32.000   7400.000      2.000    41.2537    53.7146    -0.1980     1.5615     0.0040     0.0020    20.6266    41.2566     3.3092     2.0823     1.8947     0.0143    14.6405    14.6385     0.0020   295.0000     4.3359    52.887
      6   -77.1003      1.823     78.000   7400.000      2.000    41.2537    53.7146    -0.1980     1.5615     0.0040     0.0020    20.6266    41.2566     3.3129     2.0846     1.8968     0.0125    14.6405    14.6385     0.0020   295.0000     4.3359    52.887
      7   -77.2007      1.847    128.000   7400.000      2.000    41.2537    53.7146    -0.1980     1.5615     0.0040     0.0020    20.6266    41.2566     3.3166     2.0869     1.8989     0.0107    14.6405    14.6385     0.0020   295.0000     4.3359    52.887
      8   -77.2991      1.853    177.000   7400.000      2.000    41.2537    53.7146    -0.1980     1.5615     0.0040     0.0020    20.6266    41.2566     3.3201     2.0892     1.9010     0.0090    14.6405    14.6385     0.0020   295.0000     4.3135    52.166
      9   -77.4005      1.876    221.000   7400.000      2.000    41.2537    53.7146    -0.1980     1.5615     0.0040     0.0020    20.6266    41.2566     3.3238     2.0915     1.9031     0.0072    14.6405    14.6385     0.0020   295.0000     4.3135    52.166
     10   -77.4989      1.839    246.000   7400.000      2.000    41.2537    53.7146    -0.1980     1.5615     0.0040     0.0020    20.6266    41.2566     3.3274     2.0937     1.9051     0.0054    14.6405    14.6385     0.0020   295.0000     4.3135    52.166
     11   -77.6003      1.845    232.000   7400.000      2.000    41.2537    53.7146    -0.1980     1.5615     0.0040     0.0020    20.6266    41.2566     3.3310     2.0961     1.9072     0.0036    14.6405    14.6385     0.0020   295.0000     4.3114    51.492
# Sum of Counts = 1144
# Center of Mass = -77.377639+/-3.235326
# Full Width Half-Maximum = 0.373979+/-2.141756
# 4:57:45 PM  11/10/2003   scan completed.
