# scan = 235
# date = 11/10/2003
# time = 6:18:28 PM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan s1 -34 -36 -.1 preset mcu 2
# builtin_command = scan s1 -34 -36 -.1 preset mcu 2
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = looking for relflections, 220 and 002
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554017,7.554017,3.847681,90.000000,90.000000,120.000000
# ubmatrix = -0.005801,-0.006329,0.259622,-0.132241,-0.132241,-0.011907,0.076450,-0.076408,-0.000897
# mode = 0
# plane_normal = 0.003456,0.000000,0.999986
# ubconf = C:\User\exp41\UBConf\UB10Nov2003_42836PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 2.000000
# def_x = s1
# def_y = detector
# col_headers = 
#   Pt.         s1       time   detector    monitor        mcu         m2         s2        sgl        sgu        stl        stu         a1         a2          q          h          k          l         ei         ef          e       temp    coldtip    tsample
      1   -33.9980      1.843      2.000   7400.000      2.000    41.2537   -75.8099    -0.1995     1.5170     1.0030    -3.9990    20.6266    41.2566     3.2659     0.0502     0.0381     1.9995    14.6405    14.6385     0.0020   295.0000     4.2359     4.729
      2   -34.0994      1.850      1.000   7400.000      2.000    41.2537   -75.8099    -0.1995     1.5170     1.0030    -3.9990    20.6266    41.2566     3.2659     0.0465     0.0347     1.9995    14.6405    14.6385     0.0020   295.0000     4.2345     4.726
      3   -34.1998      1.846      0.000   7400.000      2.000    41.2537   -75.8099    -0.1995     1.5170     1.0030    -3.9990    20.6266    41.2566     3.2659     0.0429     0.0315     1.9996    14.6405    14.6385     0.0020   295.0000     4.2345     4.726
      4   -34.2992      1.870      0.000   7400.000      2.000    41.2537   -75.8099    -0.1995     1.5170     1.0030    -3.9990    20.6266    41.2566     3.2659     0.0394     0.0282     1.9997    14.6405    14.6385     0.0020   295.0000     4.2345     4.726
      5   -34.4006      1.835      1.000   7400.000      2.000    41.2537   -75.8099    -0.1995     1.5170     1.0030    -3.9990    20.6266    41.2566     3.2659     0.0357     0.0249     1.9997    14.6405    14.6385     0.0020   295.0000     4.2345     4.726
      6   -34.4990      1.798      1.000   7400.000      2.000    41.2537   -75.8099    -0.1995     1.5170     1.0030    -3.9990    20.6266    41.2566     3.2659     0.0322     0.0217     1.9998    14.6405    14.6385     0.0020   295.0000     4.2391     4.736
      7   -34.6014      1.863      0.000   7400.000      2.000    41.2537   -75.8099    -0.1995     1.5170     1.0030    -3.9990    20.6266    41.2566     3.2659     0.0286     0.0183     1.9998    14.6405    14.6385     0.0020   295.0000     4.2391     4.736
      8   -34.6998      1.845      1.000   7400.000      2.000    41.2537   -75.8099    -0.1995     1.5170     1.0030    -3.9990    20.6266    41.2566     3.2659     0.0250     0.0151     1.9999    14.6405    14.6385     0.0020   295.0000     4.2391     4.736
      9   -34.8002      1.851      1.000   7400.000      2.000    41.2537   -75.8099    -0.1995     1.5170     1.0030    -3.9990    20.6266    41.2566     3.2659     0.0214     0.0118     1.9999    14.6405    14.6385     0.0020   295.0000     4.2350     4.727
     10   -34.8996      1.862      4.000   7400.000      2.000    41.2537   -75.8099    -0.1995     1.5170     1.0030    -3.9990    20.6266    41.2566     3.2659     0.0179     0.0086     1.9999    14.6405    14.6385     0.0020   295.0000     4.2350     4.727
     11   -35.0000      1.840      8.000   7400.000      2.000    41.2537   -75.8099    -0.1995     1.5170     1.0030    -3.9990    20.6266    41.2566     3.2659     0.0143     0.0053     1.9999    14.6405    14.6385     0.0020   295.0000     4.2350     4.727
     12   -35.1004      1.882     20.000   7400.000      2.000    41.2537   -75.8099    -0.1995     1.5170     1.0030    -3.9990    20.6266    41.2566     3.2659     0.0107     0.0020     2.0000    14.6405    14.6385     0.0020   295.0000     4.2337     4.732
     13   -35.1988      1.845     65.000   7400.000      2.000    41.2537   -75.8099    -0.1995     1.5170     1.0030    -3.9990    20.6266    41.2566     3.2659     0.0072    -0.0012     2.0000    14.6405    14.6385     0.0020   295.0000     4.2337     4.732
     14   -35.2992      1.842    192.000   7400.000      2.000    41.2537   -75.8099    -0.1995     1.5170     1.0030    -3.9990    20.6266    41.2566     3.2659     0.0036    -0.0045     2.0000    14.6405    14.6385     0.0020   295.0000     4.2337     4.732
     15   -35.4006      1.868    380.000   7400.000      2.000    41.2537   -75.8099    -0.1995     1.5170     1.0030    -3.9990    20.6266    41.2566     3.2659    -0.0001    -0.0078     2.0000    14.6405    14.6385     0.0020   295.0000     4.2337     4.732
     16   -35.5000      1.889    573.000   7400.000      2.000    41.2537   -75.8099    -0.1995     1.5170     1.0030    -3.9990    20.6266    41.2566     3.2659    -0.0036    -0.0110     2.0000    14.6405    14.6385     0.0020   295.0000     4.2399     4.740
     17   -35.6004      1.894    567.000   7400.000      2.000    41.2537   -75.8099    -0.1995     1.5170     1.0030    -3.9990    20.6266    41.2566     3.2659    -0.0072    -0.0143     1.9999    14.6405    14.6385     0.0020   295.0000     4.2399     4.740
     18   -35.6998      1.821    302.000   7400.000      2.000    41.2537   -75.8099    -0.1995     1.5170     1.0030    -3.9990    20.6266    41.2566     3.2659    -0.0108    -0.0176     1.9999    14.6405    14.6385     0.0020   295.0000     4.2399     4.740
     19   -35.7992      1.819    141.000   7400.000      2.000    41.2537   -75.8099    -0.1995     1.5170     1.0030    -3.9990    20.6266    41.2566     3.2659    -0.0144    -0.0208     1.9999    14.6405    14.6385     0.0020   295.0000     4.2336     4.738
     20   -35.9006      1.862     50.000   7400.000      2.000    41.2537   -75.8099    -0.1995     1.5170     1.0030    -3.9990    20.6266    41.2566     3.2659    -0.0180    -0.0241     1.9998    14.6405    14.6385     0.0020   295.0000     4.2336     4.738
     21   -36.0000      1.841     35.000   7400.000      2.000    41.2537   -75.8099    -0.1995     1.5170     1.0030    -3.9990    20.6266    41.2566     3.2659    -0.0215    -0.0274     1.9998    14.6405    14.6385     0.0020   295.0000     4.2336     4.738
# Sum of Counts = 2344
# Center of Mass = -35.533567+/-1.037953
# Full Width Half-Maximum = 0.365700+/-0.519518
# 6:19:32 PM  11/10/2003   scan completed.
