# scan = 236
# date = 11/10/2003
# time = 6:20:15 PM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan s2 -75.2 -77 -.1 preset mcu 2
# builtin_command = scan s2 -75.2 -77 -.1 preset mcu 2
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = looking for relflections, 220 and 002
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554017,7.554017,3.847681,90.000000,90.000000,120.000000
# ubmatrix = -0.005801,-0.006329,0.259622,-0.132241,-0.132241,-0.011907,0.076450,-0.076408,-0.000897
# mode = 0
# plane_normal = 0.003456,0.000000,0.999986
# ubconf = C:\User\exp41\UBConf\UB10Nov2003_42836PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 2.000000
# def_x = s2
# def_y = detector
# col_headers = 
#   Pt.         s2       time   detector    monitor        mcu         m2         s1        sgl        sgu        stl        stu         a1         a2          q          h          k          l         ei         ef          e       temp    coldtip    tsample
      1   -75.2017      1.851     53.000   7400.000      2.000    41.2537   -35.5364    -0.1995     1.5170     1.0030    -3.9990    20.6266    41.2566     3.2436    -0.0157    -0.0220     1.9862    14.6405    14.6385     0.0020   295.0000     4.2362     4.742
      2   -75.2991      1.865    108.000   7400.000      2.000    41.2537   -35.5364    -0.1995     1.5170     1.0030    -3.9990    20.6266    41.2566     3.2472    -0.0140    -0.0205     1.9884    14.6405    14.6385     0.0020   295.0000     4.2364     4.745
      3   -75.4005      1.864    201.000   7400.000      2.000    41.2537   -35.5364    -0.1995     1.5170     1.0030    -3.9990    20.6266    41.2566     3.2509    -0.0122    -0.0188     1.9907    14.6405    14.6385     0.0020   295.0000     4.2364     4.745
      4   -75.4989      1.848    296.000   7400.000      2.000    41.2537   -35.5364    -0.1995     1.5170     1.0030    -3.9990    20.6266    41.2566     3.2545    -0.0105    -0.0172     1.9929    14.6405    14.6385     0.0020   295.0000     4.2364     4.745
      5   -75.6003      1.861    404.000   7400.000      2.000    41.2537   -35.5364    -0.1995     1.5170     1.0030    -3.9990    20.6266    41.2566     3.2582    -0.0087    -0.0156     1.9952    14.6405    14.6385     0.0020   295.0000     4.2355     4.747
      6   -75.7007      1.845    507.000   7400.000      2.000    41.2537   -35.5364    -0.1995     1.5170     1.0030    -3.9990    20.6266    41.2566     3.2619    -0.0069    -0.0140     1.9975    14.6405    14.6385     0.0020   295.0000     4.2355     4.747
      7   -75.8001      1.838    601.000   7400.000      2.000    41.2537   -35.5364    -0.1995     1.5170     1.0030    -3.9990    20.6266    41.2566     3.2655    -0.0051    -0.0124     1.9997    14.6405    14.6385     0.0020   295.0000     4.2355     4.747
      8   -75.8985      1.832    576.000   7400.000      2.000    41.2537   -35.5364    -0.1995     1.5170     1.0030    -3.9990    20.6266    41.2566     3.2691    -0.0034    -0.0108     2.0019    14.6405    14.6385     0.0020   295.0000     4.2357     4.750
      9   -76.0009      1.855    531.000   7400.000      2.000    41.2537   -35.5364    -0.1995     1.5170     1.0030    -3.9990    20.6266    41.2566     3.2729    -0.0015    -0.0091     2.0042    14.6405    14.6385     0.0020   295.0000     4.2357     4.750
     10   -76.1013      1.874    415.000   7400.000      2.000    41.2537   -35.5364    -0.1995     1.5170     1.0030    -3.9990    20.6266    41.2566     3.2766     0.0003    -0.0075     2.0065    14.6405    14.6385     0.0020   295.0000     4.2357     4.750
