# scan = 237
# date = 11/10/2003
# time = 6:23:09 PM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan sgl -4 4 .4 preset mcu 2
# builtin_command = scan sgl -4 4 .4 preset mcu 2
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = looking for relflections, 220 and 002
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554017,7.554017,3.847681,90.000000,90.000000,120.000000
# ubmatrix = -0.005801,-0.006329,0.259622,-0.132241,-0.132241,-0.011907,0.076450,-0.076408,-0.000897
# mode = 0
# plane_normal = 0.003456,0.000000,0.999986
# ubconf = C:\User\exp41\UBConf\UB10Nov2003_42836PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 2.000000
# def_x = sgl
# def_y = detector
# col_headers = 
#   Pt.        sgl       time   detector    monitor        mcu         m2         s1         s2        sgu        stl        stu         a1         a2          q          h          k          l         ei         ef          e       temp    coldtip    tsample
      1    -4.0000      1.856      1.000   7400.000      2.000    41.2537   -35.5472   -75.8601     1.5170     1.0040    -3.9990    20.6266    41.2566     3.2677    -0.2260     0.2171     1.9968    14.6405    14.6385     0.0020   295.0000     4.2365     4.765
      2    -3.6000      1.843      0.000   7400.000      2.000    41.2537   -35.5374   -75.8641     1.5170     1.0040    -3.9990    20.6266    41.2566     3.2679    -0.2023     0.1934     1.9978    14.6405    14.6385     0.0020   295.0000     4.2365     4.765
      3    -3.2000      1.815      1.000   7400.000      2.000    41.2537   -35.5374   -75.8641     1.5170     1.0040    -3.9990    20.6266    41.2566     3.2679    -0.1791     0.1693     1.9985    14.6405    14.6385     0.0020   295.0000     4.2361     4.780
      4    -2.8000      1.839      0.000   7400.000      2.000    41.2537   -35.5374   -75.8641     1.5170     1.0040    -3.9990    20.6266    41.2566     3.2679    -0.1557     0.1453     1.9992    14.6405    14.6385     0.0020   295.0000     4.2361     4.780
      5    -2.4000      1.821      9.000   7400.000      2.000    41.2537   -35.5374   -75.8641     1.5170     1.0040    -3.9990    20.6266    41.2566     3.2679    -0.1324     0.1212     1.9998    14.6405    14.6385     0.0020   295.0000     4.2361     4.780
      6    -1.9995      1.864     40.000   7400.000      2.000    41.2537   -35.5374   -75.8631     1.5170     1.0040    -3.9990    20.6266    41.2566     3.2678    -0.1091     0.0970     2.0002    14.6405    14.6385     0.0020   295.0000     4.2349     4.774
      7    -1.5995      1.848    111.000   7400.000      2.000    41.2537   -35.5374   -75.8631     1.5170     1.0040    -3.9990    20.6266    41.2566     3.2678    -0.0858     0.0729     2.0006    14.6405    14.6385     0.0020   295.0000     4.2349     4.774
      8    -1.1995      1.831    246.000   7400.000      2.000    41.2537   -35.5374   -75.8631     1.5170     1.0040    -3.9990    20.6266    41.2566     3.2678    -0.0624     0.0488     2.0009    14.6405    14.6385     0.0020   295.0000     4.2349     4.774
      9    -0.7995      1.843    327.000   7400.000      2.000    41.2537   -35.5374   -75.8631     1.5170     1.0040    -3.9990    20.6266    41.2566     3.2678    -0.0391     0.0247     2.0011    14.6405    14.6385     0.0020   295.0000     4.2341     4.774
     10    -0.3995      1.845    381.000   7400.000      2.000    41.2537   -35.5374   -75.8631     1.5170     1.0040    -3.9990    20.6266    41.2566     3.2678    -0.0157     0.0007     2.0011    14.6405    14.6385     0.0020   295.0000     4.2341     4.774
