# scan = 239
# date = 11/10/2003
# time = 6:42:32 PM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan h 0 k 0 l 1.96 2.04 .005 preset 2
# builtin_command = scan h 0 k 0 l 1.96 2.04 .005 preset 2
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = 7 Tesla VF: 002 L
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554053,7.554053,3.846679,90.000000,90.000000,120.000000
# ubmatrix = -0.005362,-0.005623,0.259740,-0.129577,-0.134798,-0.010795,0.080912,-0.071857,-0.000073
# mode = 0
# plane_normal = 0.001702,0.034158,0.999415
# ubconf = C:\User\exp41\UBConf\UB10Nov2003_64050PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 2.000000
# def_x = l
# def_y = detector
# col_headers = 
#   Pt.          h          k          l       time   detector    monitor        mcu         m2         s1         s2        sgl        sgu        stl        stu         a1         a2          q         ei         ef          e       temp    coldtip    tsample
      1    -0.0000     0.0000     1.9600      1.841      0.000   7400.000      2.000    41.2537   -34.6555   -74.0609    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.2015    14.6405    14.6385     0.0020   295.0000     4.2352     5.198
      2    -0.0000     0.0000     1.9650      1.887      2.000   7400.000      2.000    41.2537   -34.7648   -74.2794    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.2096    14.6405    14.6385     0.0020   295.0000     4.2352     5.198
      3    -0.0000     0.0000     1.9700      1.828      0.000   7400.000      2.000    41.2537   -34.8750   -74.4999    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.2177    14.6405    14.6385     0.0020   295.0000     4.2365     5.207
      4    -0.0000     0.0000     1.9750      1.856      3.000   7400.000      2.000    41.2537   -34.9872   -74.7243    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.2260    14.6405    14.6385     0.0020   295.0000     4.2365     5.207
      5    -0.0000     0.0000     1.9800      1.840     22.000   7400.000      2.000    41.2537   -35.0965   -74.9428    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.2341    14.6405    14.6385     0.0020   295.0000     4.2364     5.211
      6     0.0000     0.0000     1.9850      1.833    128.000   7400.000      2.000    41.2537   -35.2077   -75.1672    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.2423    14.6405    14.6385     0.0020   295.0000     4.2364     5.211
      7     0.0000     0.0000     1.9900      1.839    373.000   7400.000      2.000    41.2537   -35.3179   -75.3887    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.2505    14.6405    14.6385     0.0020   295.0000     4.2364     5.211
      8    -0.0000     0.0000     1.9950      1.878    542.000   7400.000      2.000    41.2537   -35.4311   -75.6121    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.2587    14.6405    14.6385     0.0020   295.0000     4.2433     5.240
      9     0.0000     0.0000     2.0000      1.869    584.000   7400.000      2.000    41.2537   -35.5413   -75.8335    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.2668    14.6405    14.6385     0.0020   295.0000     4.2433     5.240
     10     0.0000     0.0001     2.0050      1.859    644.000   7400.000      2.000    41.2537   -35.6526   -76.0589    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.2750    14.6405    14.6385     0.0020   295.0000     4.2337     5.244
     11     0.0000     0.0000     2.0100      1.833    575.000   7400.000      2.000    41.2537   -35.7657   -76.2833    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.2832    14.6405    14.6385     0.0020   295.0000     4.2337     5.244
     12     0.0000     0.0000     2.0150      1.823    426.000   7400.000      2.000    41.2537   -35.8760   -76.5048    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.2913    14.6405    14.6385     0.0020   295.0000     4.2337     5.244
     13     0.0000     0.0000     2.0200      1.849    180.000   7400.000      2.000    41.2537   -35.9892   -76.7312    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.2995    14.6405    14.6385     0.0020   295.0000     4.2337     5.258
     14     0.0000     0.0000     2.0250      1.812     44.000   7400.000      2.000    41.2537   -36.1014   -76.9536    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.3076    14.6405    14.6385     0.0020   295.0000     4.2337     5.258
     15     0.0000     0.0000     2.0300      1.836      5.000   7400.000      2.000    41.2537   -36.2136   -77.1800    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.3158    14.6405    14.6385     0.0020   295.0000     4.2432     5.258
     16    -0.0000     0.0000     2.0350      1.853      1.000   7400.000      2.000    41.2537   -36.3268   -77.4044    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.3239    14.6405    14.6385     0.0020   295.0000     4.2432     5.258
     17    -0.0000    -0.0000     2.0400      1.876      0.000   7400.000      2.000    41.2537   -36.4409   -77.6308    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.3321    14.6405    14.6385     0.0020   295.0000     4.2432     5.258
# Sum of Counts = 3529
# Center of Mass = 2.003202+/-0.047689
# Full Width Half-Maximum = 0.019377+/-0.028609
# 6:43:43 PM  11/10/2003   scan completed.
