# scan = 240
# date = 11/10/2003
# time = 6:44:14 PM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan h -.025 .025 .0025 k -.025 .025 .0025 l 2 preset 2
# builtin_command = scan h -.025 .025 .0025 k -.025 .025 .0025 l 2 preset 2
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = 7 Tesla VF: 002 T
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554053,7.554053,3.846679,90.000000,90.000000,120.000000
# ubmatrix = -0.005362,-0.005623,0.259740,-0.129577,-0.134798,-0.010795,0.080912,-0.071857,-0.000073
# mode = 0
# plane_normal = 0.001702,0.034158,0.999415
# ubconf = C:\User\exp41\UBConf\UB10Nov2003_64050PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 2.000000
# def_x = h
# def_y = detector
# col_headers = 
#   Pt.          h          k          l       time   detector    monitor        mcu         m2         s1         s2        sgl        sgu        stl        stu         a1         a2          q         ei         ef          e       temp    coldtip    tsample
      1    -0.0250    -0.0250     2.0000      1.844     11.000   7400.000      2.000    41.2537   -36.2756   -75.8424    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.2671    14.6405    14.6385     0.0020   295.0000     4.2340     5.314
      2    -0.0225    -0.0225     2.0001      1.832     17.000   7400.000      2.000    41.2537   -36.2018   -75.8434    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.2671    14.6405    14.6385     0.0020   295.0000     4.2353     5.327
      3    -0.0199    -0.0199     2.0001      1.864     31.000   7400.000      2.000    41.2537   -36.1280   -75.8434    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.2671    14.6405    14.6385     0.0020   295.0000     4.2353     5.327
      4    -0.0174    -0.0174     2.0001      1.878     34.000   7400.000      2.000    41.2537   -36.0541   -75.8434    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.2671    14.6405    14.6385     0.0020   295.0000     4.2353     5.327
      5    -0.0149    -0.0149     2.0001      1.889     38.000   7400.000      2.000    41.2537   -35.9813   -75.8434    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.2671    14.6405    14.6385     0.0020   295.0000     4.2362     5.341
      6    -0.0124    -0.0124     2.0002      1.870     80.000   7400.000      2.000    41.2537   -35.9075   -75.8434    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.2671    14.6405    14.6385     0.0020   295.0000     4.2362     5.341
      7    -0.0100    -0.0100     2.0000      1.865    115.000   7400.000      2.000    41.2537   -35.8346   -75.8375    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.2669    14.6405    14.6385     0.0020   295.0000     4.2435     5.354
      8    -0.0075    -0.0074     2.0000      1.836    224.000   7400.000      2.000    41.2537   -35.7608   -75.8375    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.2669    14.6405    14.6385     0.0020   295.0000     4.2435     5.354
      9    -0.0050    -0.0050     2.0001      1.841    372.000   7400.000      2.000    41.2537   -35.6880   -75.8375    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.2669    14.6405    14.6385     0.0020   295.0000     4.2435     5.354
     10    -0.0024    -0.0024     2.0001      1.852    524.000   7400.000      2.000    41.2537   -35.6142   -75.8375    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.2669    14.6405    14.6385     0.0020   295.0000     4.2350     5.367
