# scan = 241
# date = 11/10/2003
# time = 6:47:37 PM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan h 1.96 2.04 .005 k 1.96 2.04 .005 l 0 preset 2
# builtin_command = scan h 1.96 2.04 .005 k 1.96 2.04 .005 l 0 preset 2
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = 7 Tesla VF: 220 L
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554053,7.554053,3.846679,90.000000,90.000000,120.000000
# ubmatrix = -0.005362,-0.005623,0.259740,-0.129577,-0.134798,-0.010795,0.080912,-0.071857,-0.000073
# mode = 0
# plane_normal = 0.001702,0.034158,0.999415
# ubconf = C:\User\exp41\UBConf\UB10Nov2003_64050PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 2.000000
# def_x = h
# def_y = detector
# col_headers = 
#   Pt.          h          k          l       time   detector    monitor        mcu         m2         s1         s2        sgl        sgu        stl        stu         a1         a2          q         ei         ef          e       temp    coldtip    tsample
      1     1.9599     1.9602    -0.0000      1.845      1.000   7400.000      2.000    41.2537    54.5433   -75.6652    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.2606    14.6405    14.6385     0.0020   295.0000     4.2383     5.620
      2     1.9648     1.9651     0.0001      1.857      3.000   7400.000      2.000    41.2537    54.4301   -75.8867    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.2687    14.6405    14.6385     0.0020   295.0000     4.2369     5.612
      3     1.9699     1.9702    -0.0001      1.877      1.000   7400.000      2.000    41.2537    54.3179   -76.1200    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.2772    14.6405    14.6385     0.0020   295.0000     4.2369     5.612
      4     1.9748     1.9752     0.0000      1.860      3.000   7400.000      2.000    41.2537    54.2028   -76.3454    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.2855    14.6405    14.6385     0.0020   295.0000     4.2369     5.612
      5     1.9798     1.9802     0.0000      1.857     10.000   7400.000      2.000    41.2537    54.0886   -76.5727    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.2938    14.6405    14.6385     0.0020   295.0000     4.2294     5.663
      6     1.9848     1.9852     0.0000      1.816     83.000   7400.000      2.000    41.2537    53.9744   -76.8020    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.3021    14.6405    14.6385     0.0020   295.0000     4.2294     5.663
      7     1.9898     1.9902     0.0000      1.853    220.000   7400.000      2.000    41.2537    53.8602   -77.0304    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.3104    14.6405    14.6385     0.0020   295.0000     4.2294     5.663
      8     1.9948     1.9952    -0.0000      1.846    315.000   7400.000      2.000    41.2537    53.7461   -77.2607    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.3187    14.6405    14.6385     0.0020   295.0000     4.2369     5.676
      9     1.9998     2.0002     0.0000      1.824    296.000   7400.000      2.000    41.2537    53.6299   -77.4891    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.3270    14.6405    14.6385     0.0020   295.0000     4.2369     5.676
     10     2.0048     2.0052     0.0000      1.859    253.000   7400.000      2.000    41.2537    53.5148   -77.7213    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.3354    14.6405    14.6385     0.0020   295.0000     4.2324     5.679
     11     2.0098     2.0101     0.0001      1.865    189.000   7400.000      2.000    41.2537    53.3996   -77.9487    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.3436    14.6405    14.6385     0.0020   295.0000     4.2324     5.679
     12     2.0148     2.0152    -0.0000      1.843    121.000   7400.000      2.000    41.2537    53.2854   -78.1830    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.3521    14.6405    14.6385     0.0020   295.0000     4.2324     5.679
     13     2.0198     2.0202    -0.0000      1.822     35.000   7400.000      2.000    41.2537    53.1693   -78.4133    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.3603    14.6405    14.6385     0.0020   295.0000     4.2284     5.713
     14     2.0248     2.0252    -0.0000      1.863     14.000   7400.000      2.000    41.2537    53.0541   -78.6446    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.3687    14.6405    14.6385     0.0020   295.0000     4.2284     5.713
     15     2.0298     2.0302    -0.0000      1.874      1.000   7400.000      2.000    41.2537    52.9390   -78.8759    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.3769    14.6405    14.6385     0.0020   295.0000     4.2353     5.709
     16     2.0348     2.0352     0.0000      1.879      0.000   7400.000      2.000    41.2537    52.8219   -79.1072    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.3852    14.6405    14.6385     0.0020   295.0000     4.2353     5.709
     17     2.0398     2.0402    -0.0000      1.850      0.000   7400.000      2.000    41.2537    52.7057   -79.3424    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.3936    14.6405    14.6385     0.0020   295.0000     4.2353     5.709
# Sum of Counts = 1545
# Center of Mass = 2.000176+/-0.071965
# Full Width Half-Maximum = 0.018797+/-0.042267
# 6:49:12 PM  11/10/2003   scan completed.
