# scan = 242
# date = 11/10/2003
# time = 6:49:46 PM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan h 2 k 2 l -.025 .025 .0025 preset 2
# builtin_command = scan h 2 k 2 l -.025 .025 .0025 preset 2
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = 7 Tesla VF: 220 T
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554053,7.554053,3.846679,90.000000,90.000000,120.000000
# ubmatrix = -0.005362,-0.005623,0.259740,-0.129577,-0.134798,-0.010795,0.080912,-0.071857,-0.000073
# mode = 0
# plane_normal = 0.001702,0.034158,0.999415
# ubconf = C:\User\exp41\UBConf\UB10Nov2003_64050PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 2.000000
# def_x = l
# def_y = detector
# col_headers = 
#   Pt.          h          k          l       time   detector    monitor        mcu         m2         s1         s2        sgl        sgu        stl        stu         a1         a2          q         ei         ef          e       temp    coldtip    tsample
      1     1.9998     2.0002    -0.0250      1.821      2.000   7400.000      2.000    41.2537    54.3287   -77.4979    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.3273    14.6405    14.6385     0.0020   295.0000     4.2364     5.768
      2     1.9999     2.0002    -0.0226      1.847      3.000   7400.000      2.000    41.2537    54.2618   -77.4979    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.3273    14.6405    14.6385     0.0020   295.0000     4.2341     5.797
      3     1.9999     2.0003    -0.0201      1.862      3.000   7400.000      2.000    41.2537    54.1909   -77.4979    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.3273    14.6405    14.6385     0.0020   295.0000     4.2341     5.797
      4     1.9999     2.0003    -0.0176      1.835      8.000   7400.000      2.000    41.2537    54.1220   -77.4979    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.3273    14.6405    14.6385     0.0020   295.0000     4.2341     5.797
      5     1.9999     2.0003    -0.0151      1.822     11.000   7400.000      2.000    41.2537    54.0512   -77.4979    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.3273    14.6405    14.6385     0.0020   295.0000     4.2354     5.792
      6     1.9999     2.0003    -0.0126      1.850     17.000   7400.000      2.000    41.2537    53.9813   -77.4979    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.3273    14.6405    14.6385     0.0020   295.0000     4.2354     5.792
      7     2.0000     2.0003    -0.0101      1.853     46.000   7400.000      2.000    41.2537    53.9114   -77.4979    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.3273    14.6405    14.6385     0.0020   295.0000     4.2354     5.792
      8     2.0000     2.0003    -0.0076      1.880     89.000   7400.000      2.000    41.2537    53.8415   -77.4979    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.3273    14.6405    14.6385     0.0020   295.0000     4.2343     5.809
      9     2.0000     2.0003    -0.0051      1.858    171.000   7400.000      2.000    41.2537    53.7707   -77.4979    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.3273    14.6405    14.6385     0.0020   295.0000     4.2343     5.809
     10     1.9998     2.0002    -0.0026      1.883    287.000   7400.000      2.000    41.2537    53.7018   -77.4910    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.3271    14.6405    14.6385     0.0020   295.0000     4.2343     5.809
     11     1.9998     2.0002     0.0000      1.800    305.000   7400.000      2.000    41.2537    53.6289   -77.4910    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.3271    14.6405    14.6385     0.0020   295.0000     4.2351     5.818
     12     1.9998     2.0002     0.0025      1.857    302.000   7400.000      2.000    41.2537    53.5600   -77.4910    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.3271    14.6405    14.6385     0.0020   295.0000     4.2351     5.818
     13     1.9998     2.0002     0.0050      1.857    273.000   7400.000      2.000    41.2537    53.4892   -77.4910    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.3271    14.6405    14.6385     0.0020   295.0000     4.2351     5.818
     14     1.9998     2.0002     0.0075      1.873    200.000   7400.000      2.000    41.2537    53.4203   -77.4910    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.3271    14.6405    14.6385     0.0020   295.0000     4.2334     5.835
     15     1.9998     2.0002     0.0100      1.831     89.000   7400.000      2.000    41.2537    53.3494   -77.4910    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.3271    14.6405    14.6385     0.0020   295.0000     4.2334     5.835
     16     1.9998     2.0002     0.0125      1.848     40.000   7400.000      2.000    41.2537    53.2785   -77.4910    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.3271    14.6405    14.6385     0.0020   295.0000     4.2334     5.835
     17     1.9998     2.0001     0.0150      1.867     17.000   7400.000      2.000    41.2537    53.2077   -77.4910    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.3271    14.6405    14.6385     0.0020   295.0000     4.2349     5.854
