# scan = 244
# date = 11/10/2003
# time = 7:56:43 PM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan h 1.94 2.06 .005 k 1.94 2.06 .005 l 0 preset 2
# builtin_command = scan h 1.94 2.06 .005 k 1.94 2.06 .005 l 0 preset 2
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = 220 field dependence: base Temp, H = 0 T
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554053,7.554053,3.846679,90.000000,90.000000,120.000000
# ubmatrix = -0.005362,-0.005623,0.259740,-0.129577,-0.134798,-0.010795,0.080912,-0.071857,-0.000073
# mode = 0
# plane_normal = 0.001702,0.034158,0.999415
# ubconf = C:\User\exp41\UBConf\UB10Nov2003_64050PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 2.000000
# def_x = h
# def_y = detector
# col_headers = 
#   Pt.          h          k          l       time   detector    monitor        mcu         m2         s1         s2        sgl        sgu        stl        stu         a1         a2          q         ei         ef          e       temp    coldtip    tsample
      1     1.9398     1.9402    -0.0000      1.821      1.000   7400.000      2.000    41.2537    54.9970   -74.7578    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.2273    14.6405    14.6385     0.0020   295.0000     4.2521     7.971
      2     1.9448     1.9451     0.0000      1.884      0.000   7400.000      2.000    41.2537    54.8839   -74.9812    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.2355    14.6405    14.6385     0.0020   295.0000     4.2521     7.971
      3     1.9498     1.9502    -0.0001      1.865      1.000   7400.000      2.000    41.2537    54.7726   -75.2095    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.2439    14.6405    14.6385     0.0020   295.0000     4.2526     7.950
      4     1.9548     1.9552    -0.0000      1.867      0.000   7400.000      2.000    41.2537    54.6585   -75.4359    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.2522    14.6405    14.6385     0.0020   295.0000     4.2526     7.950
      5     1.9598     1.9602     0.0000      1.882      1.000   7400.000      2.000    41.2537    54.5443   -75.6623    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.2605    14.6405    14.6385     0.0020   295.0000     4.2526     7.950
      6     1.9648     1.9652     0.0000      1.875      1.000   7400.000      2.000    41.2537    54.4311   -75.8887    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.2688    14.6405    14.6385     0.0020   295.0000     4.2468     7.930
      7     1.9699     1.9702    -0.0000      1.815      2.000   7400.000      2.000    41.2537    54.3169   -76.1190    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.2772    14.6405    14.6385     0.0020   295.0000     4.2468     7.930
      8     1.9748     1.9752    -0.0000      1.890      2.000   7400.000      2.000    41.2537    54.2028   -76.3463    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.2855    14.6405    14.6385     0.0020   295.0000     4.2571     7.905
      9     1.9798     1.9802     0.0001      1.885     14.000   7400.000      2.000    41.2537    54.0876   -76.5727    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.2938    14.6405    14.6385     0.0020   295.0000     4.2571     7.905
     10     1.9848     1.9852     0.0000      1.829     91.000   7400.000      2.000    41.2537    53.9744   -76.8020    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.3021    14.6405    14.6385     0.0020   295.0000     4.2571     7.905
     11     1.9898     1.9902    -0.0000      1.874    209.000   7400.000      2.000    41.2537    53.8612   -77.0304    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.3104    14.6405    14.6385     0.0020   295.0000     4.2535     7.884
     12     1.9948     1.9952    -0.0000      1.837    304.000   7400.000      2.000    41.2537    53.7461   -77.2607    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.3187    14.6405    14.6385     0.0020   295.0000     4.2535     7.884
     13     1.9998     2.0002     0.0001      1.873    335.000   7400.000      2.000    41.2537    53.6289   -77.4891    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.3270    14.6405    14.6385     0.0020   295.0000     4.2535     7.884
     14     2.0048     2.0052    -0.0000      1.855    260.000   7400.000      2.000    41.2537    53.5157   -77.7213    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.3354    14.6405    14.6385     0.0020   295.0000     4.2370     7.863
     15     2.0098     2.0102     0.0000      1.845    181.000   7400.000      2.000    41.2537    53.3996   -77.9497    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.3437    14.6405    14.6385     0.0020   295.0000     4.2370     7.863
     16     2.0148     2.0152    -0.0000      1.857    105.000   7400.000      2.000    41.2537    53.2854   -78.1820    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.3520    14.6405    14.6385     0.0020   295.0000     4.2522     7.840
     17     2.0198     2.0202     0.0000      1.823     39.000   7400.000      2.000    41.2537    53.1693   -78.4123    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.3603    14.6405    14.6385     0.0020   295.0000     4.2522     7.840
     18     2.0248     2.0252    -0.0000      1.870      7.000   7400.000      2.000    41.2537    53.0531   -78.6456    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.3687    14.6405    14.6385     0.0020   295.0000     4.2522     7.840
     19     2.0298     2.0302    -0.0000      1.819      0.000   7400.000      2.000    41.2537    52.9390   -78.8749    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.3769    14.6405    14.6385     0.0020   295.0000     4.2443     7.826
     20     2.0348     2.0352    -0.0000      1.864      0.000   7400.000      2.000    41.2537    52.8228   -79.1072    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.3852    14.6405    14.6385     0.0020   295.0000     4.2443     7.826
     21     2.0398     2.0402    -0.0000      1.839      0.000   7400.000      2.000    41.2537    52.7047   -79.3424    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.3936    14.6405    14.6385     0.0020   295.0000     4.2529     7.815
     22     2.0448     2.0452     0.0001      1.890      0.000   7400.000      2.000    41.2537    52.5866   -79.5737    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.4019    14.6405    14.6385     0.0020   295.0000     4.2529     7.815
     23     2.0498     2.0502     0.0000      1.801      2.000   7400.000      2.000    41.2537    52.4705   -79.8080    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.4102    14.6405    14.6385     0.0020   295.0000     4.2529     7.815
     24     2.0548     2.0552    -0.0000      1.846      0.000   7400.000      2.000    41.2537    52.3553   -80.0422    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.4186    14.6405    14.6385     0.0020   295.0000     4.2480     7.789
     25     2.0598     2.0602    -0.0000      1.849      0.000   7400.000      2.000    41.2537    52.2382   -80.2755    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.4268    14.6405    14.6385     0.0020   295.0000     4.2480     7.789
# Sum of Counts = 1555
# Center of Mass = 1.999922+/-0.071724
# Full Width Half-Maximum = 0.018958+/-0.039867
# 7:58:51 PM  11/10/2003   scan completed.
