# scan = 245
# date = 11/10/2003
# time = 7:58:52 PM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan h 1.94 2.06 .005 k 1.94 2.06 .005 l 1.94 2.06 .005 preset mcu 20
# builtin_command = scan h 1.94 2.06 .005 k 1.94 2.06 .005 l 1.94 2.06 .005 preset mcu 20
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = 222 field dependence: base Temp, H = 0 T
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554053,7.554053,3.846679,90.000000,90.000000,120.000000
# ubmatrix = -0.005362,-0.005623,0.259740,-0.129577,-0.134798,-0.010795,0.080912,-0.071857,-0.000073
# mode = 0
# plane_normal = 0.001702,0.034158,0.999415
# ubconf = C:\User\exp41\UBConf\UB10Nov2003_64050PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 20.000000
# def_x = h
# def_y = detector
# col_headers = 
#   Pt.          h          k          l       time   detector    monitor        mcu         m2         s1         s2        sgl        sgu        stl        stu         a1         a2          q         ei         ef          e       temp    coldtip    tsample
      1     1.9400     1.9404     1.9399     18.439      4.000  74000.000     20.000    41.2537   -10.3967  -116.6032    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     4.5230    14.6405    14.6385     0.0020   295.0000     4.2460     7.734
      2     1.9448     1.9451     1.9451     18.570      8.000  74000.000     20.000    41.2537   -10.6407  -117.0786    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     4.5345    14.6405    14.6385     0.0020   295.0000     4.2494     7.699
      3     1.9498     1.9502     1.9500     18.506      4.000  74000.000     20.000    41.2537   -10.8809  -117.5619    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     4.5462    14.6405    14.6385     0.0020   295.0000     4.2481     7.653
      4     1.9548     1.9552     1.9550     18.583      4.000  74000.000     20.000    41.2537   -11.1230  -118.0461    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     4.5578    14.6405    14.6385     0.0020   295.0000     4.2465     7.622
      5     1.9598     1.9602     1.9600     18.518     10.000  74000.000     20.000    41.2537   -11.3691  -118.5393    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     4.5695    14.6405    14.6385     0.0020   295.0000     4.2467     7.597
      6     1.9648     1.9652     1.9650     18.570     14.000  74000.000     20.000    41.2537   -11.6152  -119.0314    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     4.5812    14.6405    14.6385     0.0020   295.0000     4.2465     7.558
      7     1.9698     1.9701     1.9700     18.614     10.000  74000.000     20.000    41.2537   -11.8642  -119.5274    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     4.5928    14.6405    14.6385     0.0020   295.0000     4.2475     7.533
      8     1.9748     1.9752     1.9750     18.497     11.000  74000.000     20.000    41.2537   -12.1142  -120.0284    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     4.6044    14.6405    14.6385     0.0020   295.0000     4.2482     7.506
      9     1.9798     1.9802     1.9800     18.455     18.000  74000.000     20.000    41.2537   -12.3671  -120.5353    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     4.6162    14.6405    14.6385     0.0020   295.0000     4.2506     7.448
     10     1.9848     1.9852     1.9850     18.559    156.000  74000.000     20.000    41.2537   -12.6220  -121.0452    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     4.6278    14.6405    14.6385     0.0020   295.0000     4.2425     7.424
