# scan = 246
# date = 11/10/2003
# time = 8:08:03 PM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan h .45 .55 .0025 k .45 .55 .0025 l .45 .55 .0025 preset mcu 10
# builtin_command = scan h .45 .55 .0025 k .45 .55 .0025 l .45 .55 .0025 preset mcu 10
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = hhh (.5,.5,.5) field dependence: base Temp, H = 0 T
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554053,7.554053,3.846679,90.000000,90.000000,120.000000
# ubmatrix = -0.005362,-0.005623,0.259740,-0.129577,-0.134798,-0.010795,0.080912,-0.071857,-0.000073
# mode = 0
# plane_normal = 0.001702,0.034158,0.999415
# ubconf = C:\User\exp41\UBConf\UB10Nov2003_64050PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 10.000000
# def_x = h
# def_y = detector
# col_headers = 
#   Pt.          h          k          l       time   detector    monitor        mcu         m2         s1         s2        sgl        sgu        stl        stu         a1         a2          q         ei         ef          e       temp    coldtip    tsample
      1     0.4500     0.4500     0.4500      9.212     25.000  37000.000     10.000    41.2537    36.5089   -22.7646    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     1.0491    14.6405    14.6385     0.0020   295.0000     4.2357     6.779
      2     0.4525     0.4526     0.4525      9.314     24.000  37000.000     10.000    41.2537    36.4469   -22.8926    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     1.0550    14.6405    14.6385     0.0020   295.0000     4.2367     6.753
      3     0.4549     0.4550     0.4550      9.252     18.000  37000.000     10.000    41.2537    36.3819   -23.0196    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     1.0607    14.6405    14.6385     0.0020   295.0000     4.2358     6.743
      4     0.4575     0.4576     0.4575      9.272     16.000  37000.000     10.000    41.2537    36.3179   -23.1495    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     1.0666    14.6405    14.6385     0.0020   295.0000     4.2407     6.727
      5     0.4599     0.4600     0.4600      9.210     24.000  37000.000     10.000    41.2537    36.2530   -23.2765    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     1.0724    14.6405    14.6385     0.0020   295.0000     4.2388     6.718
      6     0.4625     0.4625     0.4625      9.245     29.000  37000.000     10.000    41.2537    36.1890   -23.4054    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     1.0783    14.6405    14.6385     0.0020   295.0000     4.2370     6.706
      7     0.4650     0.4651     0.4650      9.314     27.000  37000.000     10.000    41.2537    36.1260   -23.5363    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     1.0842    14.6405    14.6385     0.0020   295.0000     4.2393     6.674
      8     0.4675     0.4676     0.4675      9.292     29.000  37000.000     10.000    41.2537    36.0610   -23.6643    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     1.0900    14.6405    14.6385     0.0020   295.0000     4.2415     6.673
      9     0.4700     0.4700     0.4700      9.261     27.000  37000.000     10.000    41.2537    35.9980   -23.7902    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     1.0957    14.6405    14.6385     0.0020   295.0000     4.2397     6.646
     10     0.4724     0.4725     0.4725      9.301     25.000  37000.000     10.000    41.2537    35.9331   -23.9182    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     1.1015    14.6405    14.6385     0.0020   295.0000     4.2376     6.627
