# scan = 247
# date = 11/10/2003
# time = 8:15:06 PM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan h .45 .55 .0025 k .45 .55 .0025 l 1.45 1.55 .0025 preset mcu 10
# builtin_command = scan h .45 .55 .0025 k .45 .55 .0025 l 1.45 1.55 .0025 preset mcu 10
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = h,h,h (1.5,1.5,1.5) field dependence: base Temp, H = 0 T
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554053,7.554053,3.846679,90.000000,90.000000,120.000000
# ubmatrix = -0.005362,-0.005623,0.259740,-0.129577,-0.134798,-0.010795,0.080912,-0.071857,-0.000073
# mode = 0
# plane_normal = 0.001702,0.034158,0.999415
# ubconf = C:\User\exp41\UBConf\UB10Nov2003_64050PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 10.000000
# def_x = h
# def_y = detector
# col_headers = 
#   Pt.          h          k          l       time   detector    monitor        mcu         m2         s1         s2        sgl        sgu        stl        stu         a1         a2          q         ei         ef          e       temp    coldtip    tsample
      1     0.4501     0.4501     1.4499      9.298      6.000  37000.000     10.000    41.2537    -7.9370   -55.7115    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     2.4839    14.6405    14.6385     0.0020   295.0000     4.2374     6.278
      2     0.4526     0.4527     1.4525      9.355      3.000  37000.000     10.000    41.2537    -7.9370   -55.8375    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     2.4891    14.6405    14.6385     0.0020   295.0000     4.2396     6.267
      3     0.4551     0.4552     1.4550      9.192      4.000  37000.000     10.000    41.2537    -7.9370   -55.9635    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     2.4942    14.6405    14.6385     0.0020   295.0000     4.2383     6.263
      4     0.4576     0.4577     1.4575      9.250      0.000  37000.000     10.000    41.2537    -7.9370   -56.0895    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     2.4994    14.6405    14.6385     0.0020   295.0000     4.2352     6.244
      5     0.4601     0.4602     1.4599      9.300      4.000  37000.000     10.000    41.2537    -7.9370   -56.2154    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     2.5045    14.6405    14.6385     0.0020   295.0000     4.2385     6.241
      6     0.4626     0.4627     1.4624      0.000      0.000      0.000      0.000    41.2537    -7.9370   -56.3414    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     2.5097    14.6405    14.6385     0.0020   295.0000     4.2379     6.230
# Sum of Counts = 17
# Center of Mass = 0.454071+/-0.155748
# Full Width Half-Maximum = 0.007681+/-0.164292
# 8:16:18 PM  11/10/2003   scan stopped!!
