# scan = 248
# date = 11/10/2003
# time = 8:17:01 PM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan h 1.47 1.53 .0025 k 1.47 1.53 .0025 l 1.47 1.53 .0025 preset mcu 10
# builtin_command = scan h 1.47 1.53 .0025 k 1.47 1.53 .0025 l 1.47 1.53 .0025 preset mcu 10
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = h,h,h (1.5,1.5,1.5) field dependence: base Temp, H = 0 T
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554053,7.554053,3.846679,90.000000,90.000000,120.000000
# ubmatrix = -0.005362,-0.005623,0.259740,-0.129577,-0.134798,-0.010795,0.080912,-0.071857,-0.000073
# mode = 0
# plane_normal = 0.001702,0.034158,0.999415
# ubconf = C:\User\exp41\UBConf\UB10Nov2003_64050PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 10.000000
# def_x = h
# def_y = detector
# col_headers = 
#   Pt.          h          k          l       time   detector    monitor        mcu         m2         s1         s2        sgl        sgu        stl        stu         a1         a2          q         ei         ef          e       temp    coldtip    tsample
      1     1.4698     1.4700     1.4700      9.276      0.000  37000.000     10.000    41.2537     7.7569   -80.2804    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.4270    14.6405    14.6385     0.0020   295.0000     4.2429     6.191
      2     1.4723     1.4726     1.4725      9.301      1.000  37000.000     10.000    41.2537     7.6762   -80.4458    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.4329    14.6405    14.6385     0.0020   295.0000     4.2352     6.169
      3     1.4749     1.4751     1.4750      9.224      4.000  37000.000     10.000    41.2537     7.5925   -80.6131    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.4388    14.6405    14.6385     0.0020   295.0000     4.2392     6.162
      4     1.4774     1.4777     1.4775      9.278      3.000  37000.000     10.000    41.2537     7.5108   -80.7784    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.4446    14.6405    14.6385     0.0020   295.0000     4.2361     6.161
      5     1.4798     1.4801     1.4800      9.315      4.000  37000.000     10.000    41.2537     7.4272   -80.9428    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.4504    14.6405    14.6385     0.0020   295.0000     4.2373     6.146
      6     1.4823     1.4826     1.4825      9.221      5.000  37000.000     10.000    41.2537     7.3455   -81.1072    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.4562    14.6405    14.6385     0.0020   295.0000     4.2371     6.133
      7     1.4849     1.4852     1.4850      9.360     12.000  37000.000     10.000    41.2537     7.2618   -81.2745    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.4621    14.6405    14.6385     0.0020   295.0000     4.2389     6.131
      8     1.4874     1.4876     1.4875      9.337     37.000  37000.000     10.000    41.2537     7.1801   -81.4389    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.4679    14.6405    14.6385     0.0020   295.0000     4.2365     6.130
      9     1.4899     1.4902     1.4900      9.286     96.000  37000.000     10.000    41.2537     7.0965   -81.6062    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.4738    14.6405    14.6385     0.0020   295.0000     4.2356     6.126
     10     1.4924     1.4926     1.4925      9.266    135.000  37000.000     10.000    41.2537     7.0138   -81.7706    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.4796    14.6405    14.6385     0.0020   295.0000     4.2356     6.104
     11     1.4948     1.4951     1.4950      9.235    205.000  37000.000     10.000    41.2537     6.9311   -81.9359    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.4854    14.6405    14.6385     0.0020   295.0000     4.2354     6.102
     12     1.4974     1.4977     1.4975      9.297    256.000  37000.000     10.000    41.2537     6.8484   -82.1042    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.4913    14.6405    14.6385     0.0020   295.0000     4.2378     6.090
     13     1.4999     1.5002     1.5000      9.343    291.000  37000.000     10.000    41.2537     6.7657   -82.2715    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.4971    14.6405    14.6385     0.0020   295.0000     4.2377     6.081
     14     1.5023     1.5026     1.5025      9.291    286.000  37000.000     10.000    41.2537     6.6811   -82.4359    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.5028    14.6405    14.6385     0.0020   295.0000     4.2370     6.081
     15     1.5049     1.5052     1.5050      9.277    278.000  37000.000     10.000    41.2537     6.5965   -82.6062    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.5088    14.6405    14.6385     0.0020   295.0000     4.2381     6.069
     16     1.5073     1.5076     1.5075      9.290    283.000  37000.000     10.000    41.2537     6.5128   -82.7715    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.5145    14.6405    14.6385     0.0020   295.0000     4.2361     6.053
     17     1.5099     1.5101     1.5100      9.255    242.000  37000.000     10.000    41.2537     6.4301   -82.9389    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.5204    14.6405    14.6385     0.0020   295.0000     4.2372     6.047
     18     1.5124     1.5127     1.5125      9.350    154.000  37000.000     10.000    41.2537     6.3465   -83.1082    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.5262    14.6405    14.6385     0.0020   295.0000     4.2378     6.036
     19     1.5148     1.5151     1.5150      9.338    100.000  37000.000     10.000    41.2537     6.2618   -83.2745    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.5320    14.6405    14.6385     0.0020   295.0000     4.2366     6.032
     20     1.5174     1.5176     1.5175      9.262     28.000  37000.000     10.000    41.2537     6.1781   -83.4428    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.5378    14.6405    14.6385     0.0020   295.0000     4.2353     6.030
     21     1.5200     1.5202     1.5200      9.277     11.000  37000.000     10.000    41.2537     6.0925   -83.6160    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.5438    14.6405    14.6385     0.0020   295.0000     4.2397     6.022
     22     1.5224     1.5227     1.5225      9.178      2.000  37000.000     10.000    41.2537     6.0098   -83.7814    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.5496    14.6405    14.6385     0.0020   295.0000     4.2386     6.015
     23     1.5249     1.5251     1.5250      9.224      4.000  37000.000     10.000    41.2537     5.9252   -83.9487    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.5553    14.6405    14.6385     0.0020   295.0000     4.2376     6.013
     24     1.5274     1.5277     1.5275      9.176      5.000  37000.000     10.000    41.2537     5.8406   -84.1190    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.5612    14.6405    14.6385     0.0020   295.0000     4.2412     5.990
     25     1.5299     1.5301     1.5300      9.287      6.000  37000.000     10.000    41.2537     5.7549   -84.2883    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.5670    14.6405    14.6385     0.0020   295.0000     4.2364     5.986
# Sum of Counts = 2448
# Center of Mass = 1.502561+/-0.042948
# Full Width Half-Maximum = 0.015312+/-0.019485
# 8:21:54 PM  11/10/2003   scan completed.
