# scan = 254
# date = 11/10/2003
# time = 9:15:45 PM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan h 1.47 1.53 .0025 k 1.47 1.53 .0025 l 1.47 1.53 .0025 preset mcu 10
# builtin_command = scan h 1.47 1.53 .0025 k 1.47 1.53 .0025 l 1.47 1.53 .0025 preset mcu 10
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = h,h,h (1.5,1.5,1.5) field dependence: base Temp, H = 0.000000 T
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554053,7.554053,3.846679,90.000000,90.000000,120.000000
# ubmatrix = -0.005362,-0.005623,0.259740,-0.129577,-0.134798,-0.010795,0.080912,-0.071857,-0.000073
# mode = 0
# plane_normal = 0.001702,0.034158,0.999415
# ubconf = C:\User\exp41\UBConf\UB10Nov2003_64050PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 10.000000
# def_x = h
# def_y = detector
# col_headers = 
#   Pt.          h          k          l       time   detector    monitor        mcu         m2         s1         s2        sgl        sgu        stl        stu         a1         a2          q         ei         ef          e       temp    coldtip    tsample
      1     1.4698     1.4701     1.4699      9.276      4.000  37000.000     10.000    41.2537     7.7598   -80.2794    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.4270    14.6405    14.6385     0.0020   295.0000     4.2338     5.423
      2     1.4724     1.4726     1.4725      9.331      4.000  37000.000     10.000    41.2537     7.6762   -80.4467    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.4329    14.6405    14.6385     0.0020   295.0000     4.2333     5.420
      3     1.4749     1.4751     1.4750      9.256      4.000  37000.000     10.000    41.2537     7.5925   -80.6131    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.4388    14.6405    14.6385     0.0020   295.0000     4.2313     5.423
      4     1.4773     1.4776     1.4775      9.151      1.000  37000.000     10.000    41.2537     7.5098   -80.7774    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.4446    14.6405    14.6385     0.0020   295.0000     4.2347     5.419
      5     1.4798     1.4801     1.4800      9.276      7.000  37000.000     10.000    41.2537     7.4272   -80.9418    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.4504    14.6405    14.6385     0.0020   295.0000     4.2339     5.422
      6     1.4823     1.4826     1.4825      9.287      4.000  37000.000     10.000    41.2537     7.3455   -81.1072    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.4562    14.6405    14.6385     0.0020   295.0000     4.2401     5.418
      7     1.4849     1.4852     1.4850      9.341     12.000  37000.000     10.000    41.2537     7.2628   -81.2745    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.4621    14.6405    14.6385     0.0020   295.0000     4.2324     5.416
      8     1.4874     1.4876     1.4875      9.330     35.000  37000.000     10.000    41.2537     7.1801   -81.4389    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.4679    14.6405    14.6385     0.0020   295.0000     4.2375     5.416
      9     1.4899     1.4902     1.4900      9.222     93.000  37000.000     10.000    41.2537     7.0965   -81.6062    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.4738    14.6405    14.6385     0.0020   295.0000     4.2334     5.414
     10     1.4923     1.4926     1.4925      9.254    151.000  37000.000     10.000    41.2537     7.0128   -81.7706    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.4796    14.6405    14.6385     0.0020   295.0000     4.2309     5.413
