# scan = 278
# date = 11/10/2003
# time = 10:51:08 PM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan h .47 .53 .0025 k .47 .53 .0025 l .47 .53 .0025 preset mcu 5
# builtin_command = scan h .47 .53 .0025 k .47 .53 .0025 l .47 .53 .0025 preset mcu 5
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = hhh (.5,.5,.5) field dependence: base Temp, H = 1.800000 T
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554053,7.554053,3.846679,90.000000,90.000000,120.000000
# ubmatrix = -0.005362,-0.005623,0.259740,-0.129577,-0.134798,-0.010795,0.080912,-0.071857,-0.000073
# mode = 0
# plane_normal = 0.001702,0.034158,0.999415
# ubconf = C:\User\exp41\UBConf\UB10Nov2003_64050PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 5.000000
# def_x = h
# def_y = detector
# col_headers = 
#   Pt.          h          k          l       time   detector    monitor        mcu         m2         s1         s2        sgl        sgu        stl        stu         a1         a2          q         ei         ef          e       temp    coldtip    tsample
      1     0.4700     0.4701     0.4700      4.682     10.000  18500.000      5.000    41.2537    35.9970   -23.7912    -0.0975     1.9545     1.0040    -3.9990    20.6267    41.2566     1.0958    14.6405    14.6385     0.0020   295.0000     4.2341     4.508
      2     0.4724     0.4725     0.4725      4.632     15.000  18500.000      5.000    41.2537    35.9331   -23.9162    -0.0975     1.9545     1.0040    -3.9990    20.6267    41.2566     1.1015    14.6405    14.6385     0.0020   295.0000     4.2338     4.506
      3     0.4750     0.4751     0.4750      4.652     12.000  18500.000      5.000    41.2537    35.8691   -24.0481    -0.0975     1.9545     1.0040    -3.9990    20.6267    41.2566     1.1074    14.6405    14.6385     0.0020   295.0000     4.2338     4.506
      4     0.4775     0.4776     0.4775      4.658     20.000  18500.000      5.000    41.2537    35.8051   -24.1761    -0.0975     1.9545     1.0040    -3.9990    20.6267    41.2566     1.1132    14.6405    14.6385     0.0020   295.0000     4.2323     4.501
      5     0.4799     0.4800     0.4800      4.645     19.000  18500.000      5.000    41.2537    35.7402   -24.3030    -0.0975     1.9545     1.0040    -3.9990    20.6267    41.2566     1.1190    14.6405    14.6385     0.0020   295.0000     4.2329     4.504
      6     0.4825     0.4826     0.4825      4.650     23.000  18500.000      5.000    41.2537    35.6752   -24.4339    -0.0975     1.9545     1.0040    -3.9990    20.6267    41.2566     1.1249    14.6405    14.6385     0.0020   295.0000     4.2329     4.504
      7     0.4850     0.4851     0.4850      4.600     76.000  18500.000      5.000    41.2537    35.6122   -24.5619    -0.0975     1.9545     1.0040    -3.9990    20.6267    41.2566     1.1307    14.6405    14.6385     0.0020   295.0000     4.2364     4.503
      8     0.4875     0.4875     0.4875      4.650    199.000  18500.000      5.000    41.2537    35.5482   -24.6898    -0.0975     1.9545     1.0040    -3.9990    20.6267    41.2566     1.1365    14.6405    14.6385     0.0020   295.0000     4.2360     4.501
      9     0.4899     0.4900     0.4900      4.641    355.000  18500.000      5.000    41.2537    35.4833   -24.8178    -0.0975     1.9545     1.0040    -3.9990    20.6267    41.2566     1.1423    14.6405    14.6385     0.0020   295.0000     4.2360     4.501
     10     0.4925     0.4926     0.4925      4.658    538.000  18500.000      5.000    41.2537    35.4193   -24.9477    -0.0975     1.9545     1.0040    -3.9990    20.6267    41.2566     1.1482    14.6405    14.6385     0.0020   295.0000     4.2323     4.501
     11     0.4949     0.4950     0.4950      4.654    857.000  18500.000      5.000    41.2537    35.3543   -25.0747    -0.0975     1.9545     1.0040    -3.9990    20.6267    41.2566     1.1540    14.6405    14.6385     0.0020   295.0000     4.2353     4.502
     12     0.4975     0.4976     0.4975      4.697   1519.000  18500.000      5.000    41.2537    35.2904   -25.2056    -0.0975     1.9545     1.0040    -3.9990    20.6267    41.2566     1.1599    14.6405    14.6385     0.0020   295.0000     4.2353     4.502
     13     0.5000     0.5001     0.5000      4.642   2025.000  18500.000      5.000    41.2537    35.2264   -25.3335    -0.0975     1.9545     1.0040    -3.9990    20.6267    41.2566     1.1657    14.6405    14.6385     0.0020   295.0000     4.2351     4.498
     14     0.5024     0.5025     0.5025      4.650   1813.000  18500.000      5.000    41.2537    35.1614   -25.4615    -0.0975     1.9545     1.0040    -3.9990    20.6267    41.2566     1.1715    14.6405    14.6385     0.0020   295.0000     4.2342     4.502
     15     0.5050     0.5051     0.5050      4.633   1128.000  18500.000      5.000    41.2537    35.0984   -25.5914    -0.0975     1.9545     1.0040    -3.9990    20.6267    41.2566     1.1774    14.6405    14.6385     0.0020   295.0000     4.2342     4.502
     16     0.5074     0.5075     0.5075      4.696    507.000  18500.000      5.000    41.2537    35.0335   -25.7194    -0.0975     1.9545     1.0040    -3.9990    20.6267    41.2566     1.1832    14.6405    14.6385     0.0020   295.0000     4.2327     4.501
     17     0.5099     0.5100     0.5100      4.674    283.000  18500.000      5.000    41.2537    34.9695   -25.8483    -0.0975     1.9545     1.0040    -3.9990    20.6267    41.2566     1.1890    14.6405    14.6385     0.0020   295.0000     4.2308     4.487
     18     0.5124     0.5125     0.5125      4.653    174.000  18500.000      5.000    41.2537    34.9045   -25.9763    -0.0975     1.9545     1.0040    -3.9990    20.6267    41.2566     1.1948    14.6405    14.6385     0.0020   295.0000     4.2308     4.487
     19     0.5149     0.5150     0.5150      4.634     69.000  18500.000      5.000    41.2537    34.8406   -26.1062    -0.0975     1.9545     1.0040    -3.9990    20.6267    41.2566     1.2006    14.6405    14.6385     0.0020   295.0000     4.2342     4.499
     20     0.5175     0.5176     0.5175      4.635     20.000  18500.000      5.000    41.2537    34.7756   -26.2361    -0.0975     1.9545     1.0040    -3.9990    20.6267    41.2566     1.2065    14.6405    14.6385     0.0020   295.0000     4.2390     4.500
     21     0.5199     0.5200     0.5200      4.606     10.000  18500.000      5.000    41.2537    34.7106   -26.3631    -0.0975     1.9545     1.0040    -3.9990    20.6267    41.2566     1.2122    14.6405    14.6385     0.0020   295.0000     4.2390     4.500
     22     0.5224     0.5225     0.5225      4.683     17.000  18500.000      5.000    41.2537    34.6457   -26.4930    -0.0975     1.9545     1.0040    -3.9990    20.6267    41.2566     1.2181    14.6405    14.6385     0.0020   295.0000     4.2317     4.495
     23     0.5250     0.5251     0.5250      4.648     14.000  18500.000      5.000    41.2537    34.5817   -26.6239    -0.0975     1.9545     1.0040    -3.9990    20.6267    41.2566     1.2240    14.6405    14.6385     0.0020   295.0000     4.2317     4.495
     24     0.5275     0.5276     0.5275      4.679     13.000  18500.000      5.000    41.2537    34.5177   -26.7528    -0.0975     1.9545     1.0040    -3.9990    20.6267    41.2566     1.2298    14.6405    14.6385     0.0020   295.0000     4.2381     4.491
     25     0.5299     0.5300     0.5300      4.631     16.000  18500.000      5.000    41.2537    34.4508   -26.8808    -0.0975     1.9545     1.0040    -3.9990    20.6267    41.2566     1.2356    14.6405    14.6385     0.0020   295.0000     4.2341     4.496
# Sum of Counts = 9732
# Center of Mass = 0.500019+/-0.007168
# Full Width Half-Maximum = 0.012611+/-0.002867
# 10:54:30 PM  11/10/2003   scan completed.
