# scan = 291
# date = 11/10/2003
# time = 11:43:07 PM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan h 1.94 2.06 .005 k 1.94 2.06 .005 l 0 preset 4
# builtin_command = scan h 1.94 2.06 .005 k 1.94 2.06 .005 l 0 preset 4
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = 220 field dependence: base Temp, H = 2.800000 T
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554053,7.554053,3.846679,90.000000,90.000000,120.000000
# ubmatrix = -0.005362,-0.005623,0.259740,-0.129577,-0.134798,-0.010795,0.080912,-0.071857,-0.000073
# mode = 0
# plane_normal = 0.001702,0.034158,0.999415
# ubconf = C:\User\exp41\UBConf\UB10Nov2003_64050PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 4.000000
# def_x = h
# def_y = detector
# col_headers = 
#   Pt.          h          k          l       time   detector    monitor        mcu         m2         s1         s2        sgl        sgu        stl        stu         a1         a2          q         ei         ef          e       temp    coldtip    tsample
      1     1.9399     1.9402    -0.0000      3.727      2.000  14800.000      4.000    41.2537    54.9970   -74.7587    -0.0975     1.9545     1.0040    -3.9990    20.6267    41.2566     3.2273    14.6405    14.6385     0.0020   295.0000     4.2327     4.386
      2     1.9448     1.9451     0.0000      3.720      3.000  14800.000      4.000    41.2537    54.8839   -74.9812    -0.0975     1.9545     1.0040    -3.9990    20.6267    41.2566     3.2355    14.6405    14.6385     0.0020   295.0000     4.2407     4.382
      3     1.9498     1.9502    -0.0000      3.716      1.000  14800.000      4.000    41.2537    54.7717   -75.2095    -0.0975     1.9545     1.0040    -3.9990    20.6267    41.2566     3.2439    14.6405    14.6385     0.0020   295.0000     4.2407     4.382
      4     1.9548     1.9552    -0.0000      3.711      0.000  14800.000      4.000    41.2537    54.6585   -75.4349    -0.0975     1.9545     1.0040    -3.9990    20.6267    41.2566     3.2522    14.6405    14.6385     0.0020   295.0000     4.2280     4.386
      5     1.9599     1.9602    -0.0000      3.670      2.000  14800.000      4.000    41.2537    54.5443   -75.6643    -0.0975     1.9545     1.0040    -3.9990    20.6267    41.2566     3.2606    14.6405    14.6385     0.0020   295.0000     4.2344     4.391
      6     1.9648     1.9651     0.0001      3.710      1.000  14800.000      4.000    41.2537    54.4301   -75.8877    -0.0975     1.9545     1.0040    -3.9990    20.6267    41.2566     3.2687    14.6405    14.6385     0.0020   295.0000     4.2344     4.391
      7     1.9699     1.9702    -0.0001      3.668      0.000  14800.000      4.000    41.2537    54.3179   -76.1200    -0.0975     1.9545     1.0040    -3.9990    20.6267    41.2566     3.2772    14.6405    14.6385     0.0020   295.0000     4.2252     4.383
      8     1.9748     1.9752    -0.0001      3.660      9.000  14800.000      4.000    41.2537    54.2037   -76.3463    -0.0975     1.9545     1.0040    -3.9990    20.6267    41.2566     3.2855    14.6405    14.6385     0.0020   295.0000     4.2252     4.383
      9     1.9798     1.9802     0.0000      3.715     46.000  14800.000      4.000    41.2537    54.0886   -76.5727    -0.0975     1.9545     1.0040    -3.9990    20.6267    41.2566     3.2938    14.6405    14.6385     0.0020   295.0000     4.2268     4.387
     10     1.9848     1.9852     0.0000      3.727    198.000  14800.000      4.000    41.2537    53.9744   -76.8020    -0.0975     1.9545     1.0040    -3.9990    20.6267    41.2566     3.3021    14.6405    14.6385     0.0020   295.0000     4.2268     4.387
