# scan = 317
# date = 11/11/2003
# time = 1:27:58 AM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan h 1.95 2.05 .005 k 1.95 2.05 .005 l 1.95 2.05 .005 preset mcu 10
# builtin_command = scan h 1.95 2.05 .005 k 1.95 2.05 .005 l 1.95 2.05 .005 preset mcu 10
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = 222 field dependence: base Temp, H = 5.000000 T
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554053,7.554053,3.846679,90.000000,90.000000,120.000000
# ubmatrix = -0.005362,-0.005623,0.259740,-0.129577,-0.134798,-0.010795,0.080912,-0.071857,-0.000073
# mode = 0
# plane_normal = 0.001702,0.034158,0.999415
# ubconf = C:\User\exp41\UBConf\UB10Nov2003_64050PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 10.000000
# def_x = h
# def_y = detector
# col_headers = 
#   Pt.          h          k          l       time   detector    monitor        mcu         m2         s1         s2        sgl        sgu        stl        stu         a1         a2          q         ei         ef          e       temp    coldtip    tsample
      1     1.9501     1.9504     1.9499      9.377      2.000  37000.000     10.000    41.2537   -10.8780  -117.5668    -0.0960     1.9540     1.0060    -3.9990    20.6267    41.2566     4.5463    14.6405    14.6385     0.0020   295.0000     4.2008     4.306
      2     1.9548     1.9551     1.9550      9.246      4.000  37000.000     10.000    41.2537   -11.1230  -118.0461    -0.0960     1.9540     1.0060    -3.9990    20.6267    41.2566     4.5578    14.6405    14.6385     0.0020   295.0000     4.2126     4.300
      3     1.9599     1.9602     1.9600      9.277      9.000  37000.000     10.000    41.2537   -11.3681  -118.5383    -0.0960     1.9540     1.0060    -3.9990    20.6267    41.2566     4.5695    14.6405    14.6385     0.0020   295.0000     4.2073     4.305
      4     1.9649     1.9651     1.9650      9.191      4.000  37000.000     10.000    41.2537   -11.6152  -119.0314    -0.0960     1.9540     1.0060    -3.9990    20.6267    41.2566     4.5812    14.6405    14.6385     0.0020   295.0000     4.2065     4.303
      5     1.9699     1.9701     1.9700      9.231      4.000  37000.000     10.000    41.2537   -11.8642  -119.5284    -0.0960     1.9540     1.0060    -3.9990    20.6267    41.2566     4.5928    14.6405    14.6385     0.0020   295.0000     4.2043     4.304
      6     1.9749     1.9751     1.9750      9.232      7.000  37000.000     10.000    41.2537   -12.1132  -120.0284    -0.0960     1.9540     1.0060    -3.9990    20.6267    41.2566     4.6044    14.6405    14.6385     0.0020   295.0000     4.2077     4.301
      7     1.9798     1.9801     1.9800      9.296      7.000  37000.000     10.000    41.2537   -12.3681  -120.5343    -0.0960     1.9540     1.0060    -3.9990    20.6267    41.2566     4.6161    14.6405    14.6385     0.0020   295.0000     4.2049     4.301
      8     1.9849     1.9852     1.9850      9.242     50.000  37000.000     10.000    41.2537   -12.6220  -121.0461    -0.0960     1.9540     1.0060    -3.9990    20.6267    41.2566     4.6279    14.6405    14.6385     0.0020   295.0000     4.2059     4.295
      9     1.9899     1.9902     1.9900      9.318    136.000  37000.000     10.000    41.2537   -12.8770  -121.5570    -0.0960     1.9540     1.0060    -3.9990    20.6267    41.2566     4.6395    14.6405    14.6385     0.0020   295.0000     4.2006     4.298
     10     1.9949     1.9952     1.9950      9.298    251.000  37000.000     10.000    41.2537   -13.1348  -122.0737    -0.0960     1.9540     1.0060    -3.9990    20.6267    41.2566     4.6511    14.6405    14.6385     0.0020   295.0000     4.2043     4.295
