# scan = 318
# date = 11/11/2003
# time = 1:32:29 AM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan h .47 .53 .0025 k .47 .53 .0025 l .47 .53 .0025 preset mcu 5
# builtin_command = scan h .47 .53 .0025 k .47 .53 .0025 l .47 .53 .0025 preset mcu 5
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = hhh (.5,.5,.5) field dependence: base Temp, H = 5.000000 T
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554053,7.554053,3.846679,90.000000,90.000000,120.000000
# ubmatrix = -0.005362,-0.005623,0.259740,-0.129577,-0.134798,-0.010795,0.080912,-0.071857,-0.000073
# mode = 0
# plane_normal = 0.001702,0.034158,0.999415
# ubconf = C:\User\exp41\UBConf\UB10Nov2003_64050PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 5.000000
# def_x = h
# def_y = detector
# col_headers = 
#   Pt.          h          k          l       time   detector    monitor        mcu         m2         s1         s2        sgl        sgu        stl        stu         a1         a2          q         ei         ef          e       temp    coldtip    tsample
      1     0.4700     0.4700     0.4700      4.647     15.000  18500.000      5.000    41.2537    35.9970   -23.7912    -0.0960     1.9540     1.0060    -3.9990    20.6267    41.2566     1.0958    14.6405    14.6385     0.0020   295.0000     4.2072     4.287
      2     0.4724     0.4725     0.4724      4.656     18.000  18500.000      5.000    41.2537    35.9341   -23.9162    -0.0960     1.9540     1.0060    -3.9990    20.6267    41.2566     1.1015    14.6405    14.6385     0.0020   295.0000     4.2076     4.286
      3     0.4750     0.4751     0.4750      4.586     16.000  18500.000      5.000    41.2537    35.8701   -24.0481    -0.0960     1.9540     1.0060    -3.9990    20.6267    41.2566     1.1074    14.6405    14.6385     0.0020   295.0000     4.2076     4.286
      4     0.4775     0.4776     0.4775      4.628     17.000  18500.000      5.000    41.2537    35.8061   -24.1761    -0.0960     1.9540     1.0060    -3.9990    20.6267    41.2566     1.1132    14.6405    14.6385     0.0020   295.0000     4.2009     4.282
      5     0.4800     0.4800     0.4800      4.681     19.000  18500.000      5.000    41.2537    35.7411   -24.3040    -0.0960     1.9540     1.0060    -3.9990    20.6267    41.2566     1.1190    14.6405    14.6385     0.0020   295.0000     4.2074     4.286
      6     0.4825     0.4825     0.4825      4.649     34.000  18500.000      5.000    41.2537    35.6762   -24.4330    -0.0960     1.9540     1.0060    -3.9990    20.6267    41.2566     1.1249    14.6405    14.6385     0.0020   295.0000     4.2074     4.286
      7     0.4850     0.4850     0.4850      4.645     62.000  18500.000      5.000    41.2537    35.6102   -24.5619    -0.0960     1.9540     1.0060    -3.9990    20.6267    41.2566     1.1307    14.6405    14.6385     0.0020   295.0000     4.2009     4.286
      8     0.4875     0.4876     0.4875      4.651     98.000  18500.000      5.000    41.2537    35.5492   -24.6908    -0.0960     1.9540     1.0060    -3.9990    20.6267    41.2566     1.1366    14.6405    14.6385     0.0020   295.0000     4.2054     4.288
      9     0.4899     0.4900     0.4900      4.701    247.000  18500.000      5.000    41.2537    35.4833   -24.8178    -0.0960     1.9540     1.0060    -3.9990    20.6267    41.2566     1.1423    14.6405    14.6385     0.0020   295.0000     4.2054     4.288
     10     0.4924     0.4925     0.4925      4.617    906.000  18500.000      5.000    41.2537    35.4193   -24.9458    -0.0960     1.9540     1.0060    -3.9990    20.6267    41.2566     1.1481    14.6405    14.6385     0.0020   295.0000     4.2077     4.297
     11     0.4950     0.4950     0.4950      4.649   2138.000  18500.000      5.000    41.2537    35.3543   -25.0757    -0.0960     1.9540     1.0060    -3.9990    20.6267    41.2566     1.1540    14.6405    14.6385     0.0020   295.0000     4.2060     4.290
     12     0.4975     0.4976     0.4975      4.677   3107.000  18500.000      5.000    41.2537    35.2904   -25.2056    -0.0960     1.9540     1.0060    -3.9990    20.6267    41.2566     1.1599    14.6405    14.6385     0.0020   295.0000     4.2060     4.290
     13     0.5000     0.5000     0.5000      4.592   3018.000  18500.000      5.000    41.2537    35.2264   -25.3335    -0.0960     1.9540     1.0060    -3.9990    20.6267    41.2566     1.1657    14.6405    14.6385     0.0020   295.0000     4.2052     4.299
     14     0.5025     0.5025     0.5025      4.585   2269.000  18500.000      5.000    41.2537    35.1624   -25.4615    -0.0960     1.9540     1.0060    -3.9990    20.6267    41.2566     1.1715    14.6405    14.6385     0.0020   295.0000     4.2095     4.293
     15     0.5050     0.5050     0.5050      4.678   1754.000  18500.000      5.000    41.2537    35.0974   -25.5904    -0.0960     1.9540     1.0060    -3.9990    20.6267    41.2566     1.1773    14.6405    14.6385     0.0020   295.0000     4.2095     4.293
     16     0.5075     0.5075     0.5075      4.656   1053.000  18500.000      5.000    41.2537    35.0335   -25.7204    -0.0960     1.9540     1.0060    -3.9990    20.6267    41.2566     1.1832    14.6405    14.6385     0.0020   295.0000     4.2086     4.293
     17     0.5100     0.5100     0.5100      4.604    463.000  18500.000      5.000    41.2537    34.9695   -25.8483    -0.0960     1.9540     1.0060    -3.9990    20.6267    41.2566     1.1890    14.6405    14.6385     0.0020   295.0000     4.2116     4.292
     18     0.5125     0.5125     0.5125      4.691    117.000  18500.000      5.000    41.2537    34.9045   -25.9772    -0.0960     1.9540     1.0060    -3.9990    20.6267    41.2566     1.1948    14.6405    14.6385     0.0020   295.0000     4.2116     4.292
     19     0.5150     0.5151     0.5150      4.621     24.000  18500.000      5.000    41.2537    34.8406   -26.1072    -0.0960     1.9540     1.0060    -3.9990    20.6267    41.2566     1.2007    14.6405    14.6385     0.0020   295.0000     4.2068     4.294
     20     0.5174     0.5175     0.5175      4.674     10.000  18500.000      5.000    41.2537    34.7746   -26.2351    -0.0960     1.9540     1.0060    -3.9990    20.6267    41.2566     1.2065    14.6405    14.6385     0.0020   295.0000     4.2107     4.300
     21     0.5200     0.5201     0.5200      4.692     22.000  18500.000      5.000    41.2537    34.7116   -26.3650    -0.0960     1.9540     1.0060    -3.9990    20.6267    41.2566     1.2123    14.6405    14.6385     0.0020   295.0000     4.2107     4.300
     22     0.5224     0.5225     0.5225      4.692     14.000  18500.000      5.000    41.2537    34.6467   -26.4910    -0.0960     1.9540     1.0060    -3.9990    20.6267    41.2566     1.2180    14.6405    14.6385     0.0020   295.0000     4.2081     4.296
     23     0.5250     0.5251     0.5250      4.657     10.000  18500.000      5.000    41.2537    34.5817   -26.6239    -0.0960     1.9540     1.0060    -3.9990    20.6267    41.2566     1.2240    14.6405    14.6385     0.0020   295.0000     4.2038     4.297
     24     0.5275     0.5276     0.5275      4.679      9.000  18500.000      5.000    41.2537    34.5167   -26.7528    -0.0960     1.9540     1.0060    -3.9990    20.6267    41.2566     1.2298    14.6405    14.6385     0.0020   295.0000     4.2038     4.297
     25     0.5299     0.5300     0.5300      4.662     15.000  18500.000      5.000    41.2537    34.4518   -26.8808    -0.0960     1.9540     1.0060    -3.9990    20.6267    41.2566     1.2356    14.6405    14.6385     0.0020   295.0000     4.2034     4.297
# Sum of Counts = 15455
# Center of Mass = 0.499869+/-0.005687
# Full Width Half-Maximum = 0.011097+/-0.002735
# 1:35:51 AM  11/11/2003   scan completed.
