# scan = 320
# date = 11/11/2003
# time = 1:48:48 AM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan h 0 k 0 l 1.94 2.06 .005 preset 2
# builtin_command = scan h 0 k 0 l 1.94 2.06 .005 preset 2
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = 002 field dependence: base Temp, H = 5.500000 T
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554053,7.554053,3.846679,90.000000,90.000000,120.000000
# ubmatrix = -0.005362,-0.005623,0.259740,-0.129577,-0.134798,-0.010795,0.080912,-0.071857,-0.000073
# mode = 0
# plane_normal = 0.001702,0.034158,0.999415
# ubconf = C:\User\exp41\UBConf\UB10Nov2003_64050PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 2.000000
# def_x = l
# def_y = detector
# col_headers = 
#   Pt.          h          k          l       time   detector    monitor        mcu         m2         s1         s2        sgl        sgu        stl        stu         a1         a2          q         ei         ef          e       temp    coldtip    tsample
      1     0.0003    -0.0000     1.9401      1.874      1.000   7400.000      2.000    41.2537   -34.2126   -73.1830    -0.0950     1.9540     1.0060    -3.9990    20.6267    41.2566     3.1689    14.6405    14.6385     0.0020   295.0000     4.2059     4.276
      2     0.0001    -0.0002     1.9449      1.838      1.000   7400.000      2.000    41.2537   -34.3248   -73.3975    -0.0950     1.9540     1.0060    -3.9990    20.6267    41.2566     3.1769    14.6405    14.6385     0.0020   295.0000     4.2059     4.276
      3     0.0002    -0.0001     1.9500      1.867      0.000   7400.000      2.000    41.2537   -34.4341   -73.6200    -0.0950     1.9540     1.0060    -3.9990    20.6267    41.2566     3.1852    14.6405    14.6385     0.0020   295.0000     4.2059     4.276
      4     0.0001    -0.0001     1.9550      1.854      0.000   7400.000      2.000    41.2537   -34.5443   -73.8395    -0.0950     1.9540     1.0060    -3.9990    20.6267    41.2566     3.1933    14.6405    14.6385     0.0020   295.0000     4.2055     4.273
      5     0.0001    -0.0001     1.9600      1.865      2.000   7400.000      2.000    41.2537   -34.6545   -74.0599    -0.0950     1.9540     1.0060    -3.9990    20.6267    41.2566     3.2015    14.6405    14.6385     0.0020   295.0000     4.2055     4.273
      6     0.0001    -0.0002     1.9650      1.856      0.000   7400.000      2.000    41.2537   -34.7657   -74.2804    -0.0950     1.9540     1.0060    -3.9990    20.6267    41.2566     3.2096    14.6405    14.6385     0.0020   295.0000     4.2001     4.266
      7     0.0001    -0.0001     1.9700      1.834      1.000   7400.000      2.000    41.2537   -34.8750   -74.5009    -0.0950     1.9540     1.0060    -3.9990    20.6267    41.2566     3.2178    14.6405    14.6385     0.0020   295.0000     4.2001     4.266
      8     0.0002    -0.0001     1.9750      1.854      7.000   7400.000      2.000    41.2537   -34.9862   -74.7243    -0.0950     1.9540     1.0060    -3.9990    20.6267    41.2566     3.2260    14.6405    14.6385     0.0020   295.0000     4.2001     4.266
      9     0.0001    -0.0002     1.9800      1.863     55.000   7400.000      2.000    41.2537   -35.0965   -74.9428    -0.0950     1.9540     1.0060    -3.9990    20.6267    41.2566     3.2341    14.6405    14.6385     0.0020   295.0000     4.2045     4.283
     10     0.0002    -0.0001     1.9850      1.840    179.000   7400.000      2.000    41.2537   -35.2077   -75.1672    -0.0950     1.9540     1.0060    -3.9990    20.6267    41.2566     3.2423    14.6405    14.6385     0.0020   295.0000     4.2045     4.283
     11     0.0002    -0.0001     1.9900      1.824    370.000   7400.000      2.000    41.2537   -35.3169   -75.3887    -0.0950     1.9540     1.0060    -3.9990    20.6267    41.2566     3.2505    14.6405    14.6385     0.0020   295.0000     4.2031     4.275
