# scan = 328
# date = 11/11/2003
# time = 2:23:40 AM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan h 0.95 1.05 .005 k 0.95 1.05 .005 l 0.95 1.05 .005 preset mcu 4
# builtin_command = scan h 0.95 1.05 .005 k 0.95 1.05 .005 l 0.95 1.05 .005 preset mcu 4
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = h,h,h (1,1,1) field dependence: base Temp, H = 5.8 T
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554053,7.554053,3.846679,90.000000,90.000000,120.000000
# ubmatrix = -0.005362,-0.005623,0.259740,-0.129577,-0.134798,-0.010795,0.080912,-0.071857,-0.000073
# mode = 0
# plane_normal = 0.001702,0.034158,0.999415
# ubconf = C:\User\exp41\UBConf\UB10Nov2003_64050PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 4.000000
# def_x = h
# def_y = detector
# col_headers = 
#   Pt.          h          k          l       time   detector    monitor        mcu         m2         s1         s2        sgl        sgu        stl        stu         a1         a2          q         ei         ef          e       temp    coldtip    tsample
      1     0.9499     0.9499     0.9499      3.704     12.000  14800.000      4.000    41.2537    23.2795   -49.2381    -0.0945     1.9540     1.0060    -3.9990    20.6267    41.2566     2.2146    14.6405    14.6385     0.0020   295.0000     4.1973     4.239
      2     0.9549     0.9550     0.9550      3.690     10.000  14800.000      4.000    41.2537    23.1378   -49.5186    -0.0945     1.9540     1.0060    -3.9990    20.6267    41.2566     2.2264    14.6405    14.6385     0.0020   295.0000     4.1963     4.231
      3     0.9600     0.9601     0.9600      3.721      6.000  14800.000      4.000    41.2537    22.9990   -49.7991    -0.0945     1.9540     1.0060    -3.9990    20.6267    41.2566     2.2382    14.6405    14.6385     0.0020   295.0000     4.1949     4.232
      4     0.9650     0.9650     0.9650      3.792     12.000  14800.000      4.000    41.2537    22.8612   -50.0737    -0.0945     1.9540     1.0060    -3.9990    20.6267    41.2566     2.2497    14.6405    14.6385     0.0020   295.0000     4.1949     4.232
      5     0.9700     0.9701     0.9700      3.740     11.000  14800.000      4.000    41.2537    22.7215   -50.3532    -0.0945     1.9540     1.0060    -3.9990    20.6267    41.2566     2.2615    14.6405    14.6385     0.0020   295.0000     4.1968     4.234
      6     0.9749     0.9750     0.9750      3.724      8.000  14800.000      4.000    41.2537    22.5807   -50.6288    -0.0945     1.9540     1.0060    -3.9990    20.6267    41.2566     2.2730    14.6405    14.6385     0.0020   295.0000     4.1968     4.234
      7     0.9799     0.9800     0.9800      3.639     10.000  14800.000      4.000    41.2537    22.4429   -50.9074    -0.0945     1.9540     1.0060    -3.9990    20.6267    41.2566     2.2847    14.6405    14.6385     0.0020   295.0000     4.1963     4.236
      8     0.9850     0.9850     0.9850      3.750     30.000  14800.000      4.000    41.2537    22.3041   -51.1869    -0.0945     1.9540     1.0060    -3.9990    20.6267    41.2566     2.2964    14.6405    14.6385     0.0020   295.0000     4.1963     4.236
      9     0.9900     0.9900     0.9900      3.766    276.000  14800.000      4.000    41.2537    22.1644   -51.4664    -0.0945     1.9540     1.0060    -3.9990    20.6267    41.2566     2.3081    14.6405    14.6385     0.0020   295.0000     4.1985     4.232
     10     0.9950     0.9950     0.9950      3.732   1246.000  14800.000      4.000    41.2537    22.0246   -51.7440    -0.0945     1.9540     1.0060    -3.9990    20.6267    41.2566     2.3197    14.6405    14.6385     0.0020   295.0000     4.1999     4.235
     11     0.9999     1.0000     1.0000      3.702   1708.000  14800.000      4.000    41.2537    21.8848   -52.0225    -0.0945     1.9540     1.0060    -3.9990    20.6267    41.2566     2.3313    14.6405    14.6385     0.0020   295.0000     4.1999     4.235
     12     1.0050     1.0050     1.0050      3.697    842.000  14800.000      4.000    41.2537    21.7461   -52.3040    -0.0945     1.9540     1.0060    -3.9990    20.6267    41.2566     2.3430    14.6405    14.6385     0.0020   295.0000     4.1985     4.237
     13     1.0100     1.0101     1.0100      3.726    203.000  14800.000      4.000    41.2537    21.6063   -52.5845    -0.0945     1.9540     1.0060    -3.9990    20.6267    41.2566     2.3547    14.6405    14.6385     0.0020   295.0000     4.1985     4.237
     14     1.0150     1.0150     1.0150      3.708     14.000  14800.000      4.000    41.2537    21.4646   -52.8641    -0.0945     1.9540     1.0060    -3.9990    20.6267    41.2566     2.3663    14.6405    14.6385     0.0020   295.0000     4.2024     4.236
     15     1.0200     1.0200     1.0200      3.704      8.000  14800.000      4.000    41.2537    21.3258   -53.1446    -0.0945     1.9540     1.0060    -3.9990    20.6267    41.2566     2.3780    14.6405    14.6385     0.0020   295.0000     4.1968     4.234
     16     1.0250     1.0250     1.0250      3.726      4.000  14800.000      4.000    41.2537    21.1850   -53.4251    -0.0945     1.9540     1.0060    -3.9990    20.6267    41.2566     2.3896    14.6405    14.6385     0.0020   295.0000     4.1968     4.234
     17     1.0301     1.0301     1.0301      3.738      5.000  14800.000      4.000    41.2537    21.0423   -53.7125    -0.0945     1.9540     1.0060    -3.9990    20.6267    41.2566     2.4015    14.6405    14.6385     0.0020   295.0000     4.1966     4.234
     18     1.0349     1.0350     1.0350      3.686      4.000  14800.000      4.000    41.2537    20.9035   -53.9881    -0.0945     1.9540     1.0060    -3.9990    20.6267    41.2566     2.4129    14.6405    14.6385     0.0020   295.0000     4.1966     4.234
     19     1.0400     1.0400     1.0400      3.710      7.000  14800.000      4.000    41.2537    20.7618   -54.2715    -0.0945     1.9540     1.0060    -3.9990    20.6267    41.2566     2.4246    14.6405    14.6385     0.0020   295.0000     4.1972     4.235
     20     1.0450     1.0450     1.0450      3.761      5.000  14800.000      4.000    41.2537    20.6191   -54.5550    -0.0945     1.9540     1.0060    -3.9990    20.6267    41.2566     2.4363    14.6405    14.6385     0.0020   295.0000     4.1983     4.233
     21     1.0500     1.0500     1.0500      3.683      6.000  14800.000      4.000    41.2537    20.4783   -54.8375    -0.0945     1.9540     1.0060    -3.9990    20.6267    41.2566     2.4480    14.6405    14.6385     0.0020   295.0000     4.1983     4.233
# Sum of Counts = 4427
# Center of Mass = 0.999040+/-0.021235
# Full Width Half-Maximum = 0.015063+/-0.010308
# 2:25:54 AM  11/11/2003   scan completed.
