# scan = 329
# date = 11/11/2003
# time = 2:40:46 AM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan h .47 .53 .0025 k .47 .53 .0025 l .47 .53 .0025 preset mcu 5
# builtin_command = scan h .47 .53 .0025 k .47 .53 .0025 l .47 .53 .0025 preset mcu 5
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = hhh (.5,.5,.5) field dependence: base Temp,decreasing the field H = 4.7 T
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554053,7.554053,3.846679,90.000000,90.000000,120.000000
# ubmatrix = -0.005362,-0.005623,0.259740,-0.129577,-0.134798,-0.010795,0.080912,-0.071857,-0.000073
# mode = 0
# plane_normal = 0.001702,0.034158,0.999415
# ubconf = C:\User\exp41\UBConf\UB10Nov2003_64050PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 5.000000
# def_x = h
# def_y = detector
# col_headers = 
#   Pt.          h          k          l       time   detector    monitor        mcu         m2         s1         s2        sgl        sgu        stl        stu         a1         a2          q         ei         ef          e       temp    coldtip    tsample
      1     0.4700     0.4701     0.4700      4.648     15.000  18500.000      5.000    41.2537    35.9970   -23.7922    -0.0955     1.9540     1.0060    -3.9990    20.6267    41.2566     1.0958    14.6405    14.6385     0.0020   295.0000     4.2079     4.250
      2     0.4724     0.4725     0.4725      4.607     13.000  18500.000      5.000    41.2537    35.9331   -23.9162    -0.0955     1.9540     1.0060    -3.9990    20.6267    41.2566     1.1015    14.6405    14.6385     0.0020   295.0000     4.2107     4.247
      3     0.4750     0.4751     0.4750      4.648     16.000  18500.000      5.000    41.2537    35.8701   -24.0481    -0.0955     1.9540     1.0060    -3.9990    20.6267    41.2566     1.1074    14.6405    14.6385     0.0020   295.0000     4.2130     4.246
      4     0.4775     0.4775     0.4775      4.713     15.000  18500.000      5.000    41.2537    35.8051   -24.1751    -0.0955     1.9540     1.0060    -3.9990    20.6267    41.2566     1.1132    14.6405    14.6385     0.0020   295.0000     4.2130     4.246
      5     0.4800     0.4800     0.4800      4.622     17.000  18500.000      5.000    41.2537    35.7402   -24.3040    -0.0955     1.9540     1.0060    -3.9990    20.6267    41.2566     1.1190    14.6405    14.6385     0.0020   295.0000     4.2073     4.251
      6     0.4825     0.4825     0.4825      4.602     34.000  18500.000      5.000    41.2537    35.6752   -24.4339    -0.0955     1.9540     1.0060    -3.9990    20.6267    41.2566     1.1249    14.6405    14.6385     0.0020   295.0000     4.2105     4.247
      7     0.4850     0.4850     0.4850      4.680     54.000  18500.000      5.000    41.2537    35.6112   -24.5619    -0.0955     1.9540     1.0060    -3.9990    20.6267    41.2566     1.1307    14.6405    14.6385     0.0020   295.0000     4.2105     4.247
      8     0.4875     0.4875     0.4875      4.665    115.000  18500.000      5.000    41.2537    35.5482   -24.6898    -0.0955     1.9540     1.0060    -3.9990    20.6267    41.2566     1.1365    14.6405    14.6385     0.0020   295.0000     4.2133     4.246
      9     0.4900     0.4900     0.4900      4.660    315.000  18500.000      5.000    41.2537    35.4843   -24.8178    -0.0955     1.9540     1.0060    -3.9990    20.6267    41.2566     1.1423    14.6405    14.6385     0.0020   295.0000     4.2103     4.246
     10     0.4925     0.4925     0.4925      4.681    978.000  18500.000      5.000    41.2537    35.4193   -24.9467    -0.0955     1.9540     1.0060    -3.9990    20.6267    41.2566     1.1482    14.6405    14.6385     0.0020   295.0000     4.2103     4.246
     11     0.4950     0.4950     0.4950      4.712   2304.000  18500.000      5.000    41.2537    35.3543   -25.0757    -0.0955     1.9540     1.0060    -3.9990    20.6267    41.2566     1.1540    14.6405    14.6385     0.0020   295.0000     4.2105     4.242
     12     0.4975     0.4975     0.4975      4.613   3371.000  18500.000      5.000    41.2537    35.2894   -25.2056    -0.0955     1.9540     1.0060    -3.9990    20.6267    41.2566     1.1599    14.6405    14.6385     0.0020   295.0000     4.2134     4.248
     13     0.5000     0.5000     0.5000      4.650   3170.000  18500.000      5.000    41.2537    35.2274   -25.3335    -0.0955     1.9540     1.0060    -3.9990    20.6267    41.2566     1.1657    14.6405    14.6385     0.0020   295.0000     4.2134     4.248
     14     0.5025     0.5025     0.5025      4.625   2440.000  18500.000      5.000    41.2537    35.1614   -25.4615    -0.0955     1.9540     1.0060    -3.9990    20.6267    41.2566     1.1715    14.6405    14.6385     0.0020   295.0000     4.2136     4.248
     15     0.5050     0.5050     0.5050      4.696   1694.000  18500.000      5.000    41.2537    35.0984   -25.5914    -0.0955     1.9540     1.0060    -3.9990    20.6267    41.2566     1.1774    14.6405    14.6385     0.0020   295.0000     4.2090     4.245
     16     0.5075     0.5075     0.5075      4.697   1117.000  18500.000      5.000    41.2537    35.0325   -25.7204    -0.0955     1.9540     1.0060    -3.9990    20.6267    41.2566     1.1832    14.6405    14.6385     0.0020   295.0000     4.2090     4.245
     17     0.5100     0.5100     0.5100      4.695    540.000  18500.000      5.000    41.2537    34.9705   -25.8483    -0.0955     1.9540     1.0060    -3.9990    20.6267    41.2566     1.1890    14.6405    14.6385     0.0020   295.0000     4.2079     4.246
     18     0.5124     0.5125     0.5125      4.711    159.000  18500.000      5.000    41.2537    34.9055   -25.9763    -0.0955     1.9540     1.0060    -3.9990    20.6267    41.2566     1.1948    14.6405    14.6385     0.0020   295.0000     4.2130     4.244
     19     0.5150     0.5151     0.5150      4.644     44.000  18500.000      5.000    41.2537    34.8406   -26.1082    -0.0955     1.9540     1.0060    -3.9990    20.6267    41.2566     1.2007    14.6405    14.6385     0.0020   295.0000     4.2130     4.244
     20     0.5175     0.5175     0.5175      4.652     16.000  18500.000      5.000    41.2537    34.7756   -26.2351    -0.0955     1.9540     1.0060    -3.9990    20.6267    41.2566     1.2065    14.6405    14.6385     0.0020   295.0000     4.2101     4.247
     21     0.5200     0.5201     0.5200      4.603     16.000  18500.000      5.000    41.2537    34.7126   -26.3650    -0.0955     1.9540     1.0060    -3.9990    20.6267    41.2566     1.2123    14.6405    14.6385     0.0020   295.0000     4.2139     4.243
     22     0.5224     0.5225     0.5225      4.669     18.000  18500.000      5.000    41.2537    34.6467   -26.4910    -0.0955     1.9540     1.0060    -3.9990    20.6267    41.2566     1.2180    14.6405    14.6385     0.0020   295.0000     4.2139     4.243
     23     0.5250     0.5251     0.5250      4.667      8.000  18500.000      5.000    41.2537    34.5817   -26.6239    -0.0955     1.9540     1.0060    -3.9990    20.6267    41.2566     1.2240    14.6405    14.6385     0.0020   295.0000     4.2140     4.246
     24     0.5275     0.5275     0.5275      4.644     20.000  18500.000      5.000    41.2537    34.5167   -26.7519    -0.0955     1.9540     1.0060    -3.9990    20.6267    41.2566     1.2298    14.6405    14.6385     0.0020   295.0000     4.2140     4.246
     25     0.5299     0.5300     0.5300      4.678     10.000  18500.000      5.000    41.2537    34.4518   -26.8798    -0.0955     1.9540     1.0060    -3.9990    20.6267    41.2566     1.2356    14.6405    14.6385     0.0020   295.0000     4.2090     4.245
# Sum of Counts = 16499
# Center of Mass = 0.499871+/-0.005504
# Full Width Half-Maximum = 0.011135+/-0.002627
# 2:43:44 AM  11/11/2003   scan completed.
