# scan = 330
# date = 11/11/2003
# time = 2:52:21 AM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan h .47 .53 .0025 k .47 .53 .0025 l .47 .53 .0025 preset mcu 5
# builtin_command = scan h .47 .53 .0025 k .47 .53 .0025 l .47 .53 .0025 preset mcu 5
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = hhh (.5,.5,.5) field dependence: base Temp,decreasing the field H = 3 T
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554053,7.554053,3.846679,90.000000,90.000000,120.000000
# ubmatrix = -0.005362,-0.005623,0.259740,-0.129577,-0.134798,-0.010795,0.080912,-0.071857,-0.000073
# mode = 0
# plane_normal = 0.001702,0.034158,0.999415
# ubconf = C:\User\exp41\UBConf\UB10Nov2003_64050PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 5.000000
# def_x = h
# def_y = detector
# col_headers = 
#   Pt.          h          k          l       time   detector    monitor        mcu         m2         s1         s2        sgl        sgu        stl        stu         a1         a2          q         ei         ef          e       temp    coldtip    tsample
      1     0.4700     0.4701     0.4700      4.695     14.000  18500.000      5.000    41.2537    35.9980   -23.7912    -0.0970     1.9540     1.0050    -3.9990    20.6267    41.2566     1.0958    14.6405    14.6385     0.0020   295.0000     4.2266     4.257
      2     0.4724     0.4725     0.4725      4.624     13.000  18500.000      5.000    41.2537    35.9331   -23.9162    -0.0970     1.9540     1.0050    -3.9990    20.6267    41.2566     1.1015    14.6405    14.6385     0.0020   295.0000     4.2242     4.263
      3     0.4750     0.4751     0.4750      4.668     10.000  18500.000      5.000    41.2537    35.8691   -24.0481    -0.0970     1.9540     1.0050    -3.9990    20.6267    41.2566     1.1074    14.6405    14.6385     0.0020   295.0000     4.2242     4.263
      4     0.4774     0.4775     0.4775      4.647     11.000  18500.000      5.000    41.2537    35.8051   -24.1751    -0.0970     1.9540     1.0050    -3.9990    20.6267    41.2566     1.1132    14.6405    14.6385     0.0020   295.0000     4.2230     4.264
      5     0.4799     0.4800     0.4800      4.676     14.000  18500.000      5.000    41.2537    35.7402   -24.3040    -0.0970     1.9540     1.0050    -3.9990    20.6267    41.2566     1.1190    14.6405    14.6385     0.0020   295.0000     4.2304     4.256
      6     0.4825     0.4826     0.4825      4.647     38.000  18500.000      5.000    41.2537    35.6762   -24.4330    -0.0970     1.9540     1.0050    -3.9990    20.6267    41.2566     1.1249    14.6405    14.6385     0.0020   295.0000     4.2304     4.256
      7     0.4850     0.4851     0.4850      4.657    128.000  18500.000      5.000    41.2537    35.6102   -24.5629    -0.0970     1.9540     1.0050    -3.9990    20.6267    41.2566     1.1308    14.6405    14.6385     0.0020   295.0000     4.2236     4.262
      8     0.4875     0.4876     0.4875      4.643    225.000  18500.000      5.000    41.2537    35.5492   -24.6898    -0.0970     1.9540     1.0050    -3.9990    20.6267    41.2566     1.1365    14.6405    14.6385     0.0020   295.0000     4.2236     4.262
      9     0.4899     0.4900     0.4900      4.593    364.000  18500.000      5.000    41.2537    35.4833   -24.8178    -0.0970     1.9540     1.0050    -3.9990    20.6267    41.2566     1.1423    14.6405    14.6385     0.0020   295.0000     4.2267     4.259
     10     0.4924     0.4925     0.4925      4.635    867.000  18500.000      5.000    41.2537    35.4193   -24.9467    -0.0970     1.9540     1.0050    -3.9990    20.6267    41.2566     1.1482    14.6405    14.6385     0.0020   295.0000     4.2251     4.265
     11     0.4949     0.4950     0.4950      4.662   2102.000  18500.000      5.000    41.2537    35.3543   -25.0757    -0.0970     1.9540     1.0050    -3.9990    20.6267    41.2566     1.1540    14.6405    14.6385     0.0020   295.0000     4.2251     4.265
     12     0.4975     0.4976     0.4975      4.622   3466.000  18500.000      5.000    41.2537    35.2904   -25.2056    -0.0970     1.9540     1.0050    -3.9990    20.6267    41.2566     1.1599    14.6405    14.6385     0.0020   295.0000     4.2208     4.269
     13     0.5000     0.5001     0.5000      4.597   3834.000  18500.000      5.000    41.2537    35.2274   -25.3335    -0.0970     1.9540     1.0050    -3.9990    20.6267    41.2566     1.1657    14.6405    14.6385     0.0020   295.0000     4.2250     4.263
     14     0.5024     0.5025     0.5025      4.658   2912.000  18500.000      5.000    41.2537    35.1624   -25.4615    -0.0970     1.9540     1.0050    -3.9990    20.6267    41.2566     1.1715    14.6405    14.6385     0.0020   295.0000     4.2250     4.263
     15     0.5050     0.5051     0.5050      4.638   1799.000  18500.000      5.000    41.2537    35.0984   -25.5914    -0.0970     1.9540     1.0050    -3.9990    20.6267    41.2566     1.1774    14.6405    14.6385     0.0020   295.0000     4.2242     4.263
     16     0.5075     0.5076     0.5075      4.636   1091.000  18500.000      5.000    41.2537    35.0335   -25.7204    -0.0970     1.9540     1.0050    -3.9990    20.6267    41.2566     1.1832    14.6405    14.6385     0.0020   295.0000     4.2238     4.262
     17     0.5099     0.5100     0.5100      4.633    619.000  18500.000      5.000    41.2537    34.9695   -25.8473    -0.0970     1.9540     1.0050    -3.9990    20.6267    41.2566     1.1889    14.6405    14.6385     0.0020   295.0000     4.2238     4.262
     18     0.5125     0.5125     0.5125      4.656    267.000  18500.000      5.000    41.2537    34.9055   -25.9772    -0.0970     1.9540     1.0050    -3.9990    20.6267    41.2566     1.1948    14.6405    14.6385     0.0020   295.0000     4.2228     4.263
     19     0.5150     0.5151     0.5150      4.649     64.000  18500.000      5.000    41.2537    34.8406   -26.1082    -0.0970     1.9540     1.0050    -3.9990    20.6267    41.2566     1.2007    14.6405    14.6385     0.0020   295.0000     4.2279     4.256
     20     0.5174     0.5175     0.5175      4.604     17.000  18500.000      5.000    41.2537    34.7756   -26.2351    -0.0970     1.9540     1.0050    -3.9990    20.6267    41.2566     1.2065    14.6405    14.6385     0.0020   295.0000     4.2279     4.256
     21     0.5199     0.5200     0.5200      4.639     13.000  18500.000      5.000    41.2537    34.7116   -26.3641    -0.0970     1.9540     1.0050    -3.9990    20.6267    41.2566     1.2123    14.6405    14.6385     0.0020   295.0000     4.2215     4.264
     22     0.5224     0.5225     0.5225      4.672     14.000  18500.000      5.000    41.2537    34.6467   -26.4910    -0.0970     1.9540     1.0050    -3.9990    20.6267    41.2566     1.2180    14.6405    14.6385     0.0020   295.0000     4.2242     4.275
     23     0.5250     0.5251     0.5250      4.646     13.000  18500.000      5.000    41.2537    34.5817   -26.6249    -0.0970     1.9540     1.0050    -3.9990    20.6267    41.2566     1.2241    14.6405    14.6385     0.0020   295.0000     4.2242     4.275
     24     0.5274     0.5275     0.5275      4.581     10.000  18500.000      5.000    41.2537    34.5167   -26.7519    -0.0970     1.9540     1.0050    -3.9990    20.6267    41.2566     1.2298    14.6405    14.6385     0.0020   295.0000     4.2226     4.260
