# scan = 331
# date = 11/11/2003
# time = 3:04:45 AM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan h 0 k 0 l 1.94 2.06 .005 preset mcu 2
# builtin_command = scan h 0 k 0 l 1.94 2.06 .005 preset mcu 2
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = 002 field dependence: base Temp, H = 0 T down
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554053,7.554053,3.846679,90.000000,90.000000,120.000000
# ubmatrix = -0.005362,-0.005623,0.259740,-0.129577,-0.134798,-0.010795,0.080912,-0.071857,-0.000073
# mode = 0
# plane_normal = 0.001702,0.034158,0.999415
# ubconf = C:\User\exp41\UBConf\UB10Nov2003_64050PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 2.000000
# def_x = l
# def_y = detector
# col_headers = 
#   Pt.          h          k          l       time   detector    monitor        mcu         m2         s1         s2        sgl        sgu        stl        stu         a1         a2          q         ei         ef          e       temp    coldtip    tsample
      1     0.0001     0.0001     1.9399      1.847      1.000   7400.000      2.000    41.2537   -34.2096   -73.1770    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     3.1687    14.6405    14.6385     0.0020   295.0000     4.2268     4.279
      2    -0.0000     0.0000     1.9450      1.877      1.000   7400.000      2.000    41.2537   -34.3248   -73.3995    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     3.1770    14.6405    14.6385     0.0020   295.0000     4.2289     4.275
      3     0.0000     0.0000     1.9500      1.882      4.000   7400.000      2.000    41.2537   -34.4341   -73.6200    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     3.1852    14.6405    14.6385     0.0020   295.0000     4.2289     4.275
      4    -0.0000     0.0000     1.9550      1.814      3.000   7400.000      2.000    41.2537   -34.5453   -73.8404    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     3.1933    14.6405    14.6385     0.0020   295.0000     4.2289     4.275
      5     0.0000     0.0000     1.9600      1.861      0.000   7400.000      2.000    41.2537   -34.6535   -74.0599    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     3.2015    14.6405    14.6385     0.0020   295.0000     4.2298     4.283
      6    -0.0001    -0.0001     1.9650      1.885      0.000   7400.000      2.000    41.2537   -34.7667   -74.2804    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     3.2096    14.6405    14.6385     0.0020   295.0000     4.2298     4.283
      7     0.0000     0.0000     1.9700      1.846      1.000   7400.000      2.000    41.2537   -34.8750   -74.5009    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     3.2178    14.6405    14.6385     0.0020   295.0000     4.2302     4.283
      8     0.0000     0.0000     1.9750      1.861      6.000   7400.000      2.000    41.2537   -34.9862   -74.7243    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     3.2260    14.6405    14.6385     0.0020   295.0000     4.2302     4.283
      9     0.0000     0.0000     1.9800      1.854     39.000   7400.000      2.000    41.2537   -35.0955   -74.9428    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     3.2341    14.6405    14.6385     0.0020   295.0000     4.2302     4.283
     10     0.0000     0.0001     1.9850      1.883    162.000   7400.000      2.000    41.2537   -35.2067   -75.1672    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     3.2423    14.6405    14.6385     0.0020   295.0000     4.2325     4.271
     11     0.0000     0.0000     1.9900      1.868    364.000   7400.000      2.000    41.2537   -35.3179   -75.3887    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     3.2505    14.6405    14.6385     0.0020   295.0000     4.2325     4.271
     12    -0.0000    -0.0000     1.9950      1.837    453.000   7400.000      2.000    41.2537   -35.4311   -75.6111    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     3.2586    14.6405    14.6385     0.0020   295.0000     4.2281     4.280
     13     0.0000     0.0000     2.0000      1.825    552.000   7400.000      2.000    41.2537   -35.5413   -75.8345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     3.2668    14.6405    14.6385     0.0020   295.0000     4.2281     4.280
     14     0.0000     0.0001     2.0050      1.864    583.000   7400.000      2.000    41.2537   -35.6526   -76.0589    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     3.2750    14.6405    14.6385     0.0020   295.0000     4.2281     4.280
     15     0.0000     0.0000     2.0100      1.845    548.000   7400.000      2.000    41.2537   -35.7657   -76.2833    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     3.2832    14.6405    14.6385     0.0020   295.0000     4.2302     4.262
     16     0.0000     0.0000     2.0150      1.906    468.000   7400.000      2.000    41.2537   -35.8770   -76.5048    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     3.2913    14.6405    14.6385     0.0020   295.0000     4.2302     4.262
     17    -0.0001    -0.0000     2.0200      1.895    145.000   7400.000      2.000    41.2537   -35.9911   -76.7302    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     3.2995    14.6405    14.6385     0.0020   295.0000     4.2355     4.276
     18     0.0000     0.0001     2.0250      1.888     50.000   7400.000      2.000    41.2537   -36.1004   -76.9546    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     3.3076    14.6405    14.6385     0.0020   295.0000     4.2355     4.276
     19     0.0000     0.0000     2.0300      1.878      7.000   7400.000      2.000    41.2537   -36.2136   -77.1790    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     3.3158    14.6405    14.6385     0.0020   295.0000     4.2355     4.276
     20    -0.0000     0.0000     2.0350      1.901      0.000   7400.000      2.000    41.2537   -36.3268   -77.4044    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     3.3239    14.6405    14.6385     0.0020   295.0000     4.2300     4.267
     21    -0.0000    -0.0000     2.0400      1.864      2.000   7400.000      2.000    41.2537   -36.4409   -77.6308    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     3.3321    14.6405    14.6385     0.0020   295.0000     4.2300     4.267
     22    -0.0000     0.0000     2.0450      1.827      1.000   7400.000      2.000    41.2537   -36.5531   -77.8572    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     3.3403    14.6405    14.6385     0.0020   295.0000     4.2300     4.267
     23     0.0000     0.0000     2.0500      1.857      2.000   7400.000      2.000    41.2537   -36.6654   -78.0835    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     3.3485    14.6405    14.6385     0.0020   295.0000     4.2210     4.264
     24    -0.0000     0.0000     2.0550      1.830      1.000   7400.000      2.000    41.2537   -36.7795   -78.3099    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     3.3566    14.6405    14.6385     0.0020   295.0000     4.2210     4.264
     25     0.0000     0.0000     2.0600      1.881      1.000   7400.000      2.000    41.2537   -36.8927   -78.5383    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     3.3648    14.6405    14.6385     0.0020   295.0000     4.2295     4.264
# Sum of Counts = 3394
# Center of Mass = 2.003055+/-0.048624
# Full Width Half-Maximum = 0.021233+/-0.027332
# 3:06:46 AM  11/11/2003   scan completed.
