# scan = 332
# date = 11/11/2003
# time = 3:06:46 AM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan h 1.94 2.06 .005 k 1.94 2.06 .005 l 0 preset mcu 4
# builtin_command = scan h 1.94 2.06 .005 k 1.94 2.06 .005 l 0 preset mcu 4
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = 220 field dependence: base Temp, H = 0 T down
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554053,7.554053,3.846679,90.000000,90.000000,120.000000
# ubmatrix = -0.005362,-0.005623,0.259740,-0.129577,-0.134798,-0.010795,0.080912,-0.071857,-0.000073
# mode = 0
# plane_normal = 0.001702,0.034158,0.999415
# ubconf = C:\User\exp41\UBConf\UB10Nov2003_64050PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 4.000000
# def_x = h
# def_y = detector
# col_headers = 
#   Pt.          h          k          l       time   detector    monitor        mcu         m2         s1         s2        sgl        sgu        stl        stu         a1         a2          q         ei         ef          e       temp    coldtip    tsample
      1     1.9398     1.9402    -0.0001      3.730      5.000  14800.000      4.000    41.2537    54.9980   -74.7578    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     3.2273    14.6405    14.6385     0.0020   295.0000     4.2268     4.269
      2     1.9448     1.9451     0.0000      3.652      2.000  14800.000      4.000    41.2537    54.8839   -74.9812    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     3.2355    14.6405    14.6385     0.0020   295.0000     4.2317     4.265
      3     1.9498     1.9502    -0.0000      3.697      1.000  14800.000      4.000    41.2537    54.7717   -75.2095    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     3.2439    14.6405    14.6385     0.0020   295.0000     4.2317     4.265
      4     1.9548     1.9552    -0.0000      3.678      3.000  14800.000      4.000    41.2537    54.6585   -75.4349    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     3.2522    14.6405    14.6385     0.0020   295.0000     4.2329     4.266
      5     1.9599     1.9602     0.0000      3.646      2.000  14800.000      4.000    41.2537    54.5433   -75.6643    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     3.2606    14.6405    14.6385     0.0020   295.0000     4.2329     4.266
      6     1.9648     1.9651     0.0001      3.730      3.000  14800.000      4.000    41.2537    54.4301   -75.8877    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     3.2687    14.6405    14.6385     0.0020   295.0000     4.2245     4.256
      7     1.9699     1.9702    -0.0001      3.697      3.000  14800.000      4.000    41.2537    54.3179   -76.1200    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     3.2772    14.6405    14.6385     0.0020   295.0000     4.2306     4.258
      8     1.9748     1.9752    -0.0000      3.745      6.000  14800.000      4.000    41.2537    54.2037   -76.3454    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     3.2855    14.6405    14.6385     0.0020   295.0000     4.2306     4.258
      9     1.9798     1.9802     0.0000      3.683     41.000  14800.000      4.000    41.2537    54.0886   -76.5737    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     3.2938    14.6405    14.6385     0.0020   295.0000     4.2334     4.262
     10     1.9848     1.9852     0.0000      3.721    171.000  14800.000      4.000    41.2537    53.9744   -76.8020    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     3.3021    14.6405    14.6385     0.0020   295.0000     4.2334     4.262
     11     1.9898     1.9902    -0.0000      3.711    391.000  14800.000      4.000    41.2537    53.8612   -77.0304    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     3.3104    14.6405    14.6385     0.0020   295.0000     4.2293     4.266
     12     1.9948     1.9952    -0.0000      3.692    512.000  14800.000      4.000    41.2537    53.7461   -77.2607    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     3.3187    14.6405    14.6385     0.0020   295.0000     4.2334     4.270
     13     1.9998     2.0002     0.0000      3.687    561.000  14800.000      4.000    41.2537    53.6299   -77.4891    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     3.3270    14.6405    14.6385     0.0020   295.0000     4.2334     4.270
     14     2.0048     2.0052     0.0000      3.767    521.000  14800.000      4.000    41.2537    53.5148   -77.7204    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     3.3354    14.6405    14.6385     0.0020   295.0000     4.2288     4.261
     15     2.0098     2.0102     0.0000      3.722    397.000  14800.000      4.000    41.2537    53.4006   -77.9497    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     3.3437    14.6405    14.6385     0.0020   295.0000     4.2288     4.261
     16     2.0148     2.0152    -0.0000      3.716    244.000  14800.000      4.000    41.2537    53.2854   -78.1830    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     3.3521    14.6405    14.6385     0.0020   295.0000     4.2282     4.262
     17     2.0198     2.0202    -0.0000      3.721     77.000  14800.000      4.000    41.2537    53.1693   -78.4133    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     3.3603    14.6405    14.6385     0.0020   295.0000     4.2282     4.262
     18     2.0248     2.0252    -0.0000      3.717     15.000  14800.000      4.000    41.2537    53.0541   -78.6446    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     3.3687    14.6405    14.6385     0.0020   295.0000     4.2311     4.258
     19     2.0298     2.0302    -0.0000      3.666      5.000  14800.000      4.000    41.2537    52.9390   -78.8759    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     3.3769    14.6405    14.6385     0.0020   295.0000     4.2296     4.257
     20     2.0348     2.0352    -0.0000      3.704      3.000  14800.000      4.000    41.2537    52.8219   -79.1082    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     3.3853    14.6405    14.6385     0.0020   295.0000     4.2296     4.257
     21     2.0398     2.0402    -0.0000      3.720      2.000  14800.000      4.000    41.2537    52.7057   -79.3414    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     3.3936    14.6405    14.6385     0.0020   295.0000     4.2259     4.261
