# scan = 336
# date = 11/11/2003
# time = 3:19:48 AM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan h 1.47 1.53 .0025 k 1.47 1.53 .0025 l 1.47 1.53 .0025 preset mcu 10
# builtin_command = scan h 1.47 1.53 .0025 k 1.47 1.53 .0025 l 1.47 1.53 .0025 preset mcu 10
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = h,h,h (1.5,1.5,1.5) field dependence: base Temp, H = 0 T down
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554053,7.554053,3.846679,90.000000,90.000000,120.000000
# ubmatrix = -0.005362,-0.005623,0.259740,-0.129577,-0.134798,-0.010795,0.080912,-0.071857,-0.000073
# mode = 0
# plane_normal = 0.001702,0.034158,0.999415
# ubconf = C:\User\exp41\UBConf\UB10Nov2003_64050PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 10.000000
# def_x = h
# def_y = detector
# col_headers = 
#   Pt.          h          k          l       time   detector    monitor        mcu         m2         s1         s2        sgl        sgu        stl        stu         a1         a2          q         ei         ef          e       temp    coldtip    tsample
      1     1.4698     1.4700     1.4700      9.314      4.000  37000.000     10.000    41.2537     7.7569   -80.2804    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     3.4270    14.6405    14.6385     0.0020   295.0000     4.2250     4.267
      2     1.4724     1.4727     1.4724      9.326      4.000  37000.000     10.000    41.2537     7.6772   -80.4477    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     3.4329    14.6405    14.6385     0.0020   295.0000     4.2258     4.263
      3     1.4749     1.4751     1.4750      9.279      3.000  37000.000     10.000    41.2537     7.5925   -80.6131    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     3.4388    14.6405    14.6385     0.0020   295.0000     4.2280     4.273
      4     1.4774     1.4777     1.4775      9.288      0.000  37000.000     10.000    41.2537     7.5108   -80.7784    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     3.4446    14.6405    14.6385     0.0020   295.0000     4.2290     4.263
      5     1.4798     1.4801     1.4800      9.271      3.000  37000.000     10.000    41.2537     7.4272   -80.9418    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     3.4504    14.6405    14.6385     0.0020   295.0000     4.2265     4.264
      6     1.4824     1.4827     1.4825      9.204      5.000  37000.000     10.000    41.2537     7.3455   -81.1082    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     3.4563    14.6405    14.6385     0.0020   295.0000     4.2298     4.263
      7     1.4848     1.4851     1.4850      9.389     19.000  37000.000     10.000    41.2537     7.2618   -81.2735    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     3.4621    14.6405    14.6385     0.0020   295.0000     4.2252     4.263
      8     1.4874     1.4877     1.4875      9.245     76.000  37000.000     10.000    41.2537     7.1811   -81.4398    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     3.4680    14.6405    14.6385     0.0020   295.0000     4.2288     4.262
      9     1.4899     1.4901     1.4900      9.297    169.000  37000.000     10.000    41.2537     7.0965   -81.6052    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     3.4738    14.6405    14.6385     0.0020   295.0000     4.2260     4.261
     10     1.4924     1.4926     1.4925      9.328    264.000  37000.000     10.000    41.2537     7.0138   -81.7706    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     3.4796    14.6405    14.6385     0.0020   295.0000     4.2272     4.266
     11     1.4948     1.4951     1.4950      9.180    364.000  37000.000     10.000    41.2537     6.9311   -81.9359    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     3.4854    14.6405    14.6385     0.0020   295.0000     4.2231     4.274
