# scan = 337
# date = 11/11/2003
# time = 8:46:50 AM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan h 0.3 2.08 .005 k 0.3 2.08 .005 l 0.3 2.08 .005 preset mcu 6
# builtin_command = scan h 0.3 2.08 .005 k 0.3 2.08 .005 l 0.3 2.08 .005 preset mcu 6
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = hhh scan, base temp, H = 3 T
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554053,7.554053,3.846679,90.000000,90.000000,120.000000
# ubmatrix = -0.005362,-0.005623,0.259740,-0.129577,-0.134798,-0.010795,0.080912,-0.071857,-0.000073
# mode = 0
# plane_normal = 0.001702,0.034158,0.999415
# ubconf = C:\User\exp41\UBConf\UB10Nov2003_64050PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 6.000000
# def_x = h
# def_y = detector
# col_headers = 
#   Pt.          h          k          l       time   detector    monitor        mcu         m2         s1         s2        sgl        sgu        stl        stu         a1         a2          q         ei         ef          e       temp    coldtip    tsample
      1     0.3000     0.3001     0.3000      5.539     28.000  22200.000      6.000    41.2537    40.3248   -15.1219    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     0.6995    14.6405    14.6385     0.0020   295.0000     4.2187     4.185
      2     0.3049     0.3050     0.3050      5.510     20.000  22200.000      6.000    41.2537    40.2008   -15.3719    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     0.7110    14.6405    14.6385     0.0020   295.0000     4.2202     4.183
      3     0.3100     0.3100     0.3100      5.513     27.000  22200.000      6.000    41.2537    40.0738   -15.6269    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     0.7227    14.6405    14.6385     0.0020   295.0000     4.2187     4.191
      4     0.3149     0.3150     0.3150      5.506     18.000  22200.000      6.000    41.2537    39.9478   -15.8798    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     0.7343    14.6405    14.6385     0.0020   295.0000     4.2187     4.191
      5     0.3200     0.3201     0.3200      5.610     22.000  22200.000      6.000    41.2537    39.8209   -16.1377    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     0.7462    14.6405    14.6385     0.0020   295.0000     4.2217     4.165
      6     0.3250     0.3250     0.3250      5.644     19.000  22200.000      6.000    41.2537    39.6939   -16.3887    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     0.7577    14.6405    14.6385     0.0020   295.0000     4.2196     4.186
      7     0.3300     0.3300     0.3300      5.574     16.000  22200.000      6.000    41.2537    39.5669   -16.6426    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     0.7694    14.6405    14.6385     0.0020   295.0000     4.2190     4.183
      8     0.3350     0.3350     0.3350      5.559     18.000  22200.000      6.000    41.2537    39.4400   -16.8965    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     0.7810    14.6405    14.6385     0.0020   295.0000     4.2190     4.183
      9     0.3399     0.3400     0.3400      5.598     22.000  22200.000      6.000    41.2537    39.3130   -17.1495    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     0.7926    14.6405    14.6385     0.0020   295.0000     4.2174     4.185
     10     0.3450     0.3450     0.3450      5.532     25.000  22200.000      6.000    41.2537    39.1870   -17.4044    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     0.8043    14.6405    14.6385     0.0020   295.0000     4.2184     4.183
     11     0.3500     0.3500     0.3500      5.599      8.000  22200.000      6.000    41.2537    39.0600   -17.6593    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     0.8160    14.6405    14.6385     0.0020   295.0000     4.2196     4.184
     12     0.3549     0.3550     0.3550      5.560     16.000  22200.000      6.000    41.2537    38.9321   -17.9113    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     0.8275    14.6405    14.6385     0.0020   295.0000     4.2133     4.187
     13     0.3600     0.3601     0.3600      5.526     22.000  22200.000      6.000    41.2537    38.8051   -18.1692    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     0.8394    14.6405    14.6385     0.0020   295.0000     4.2133     4.187
     14     0.3650     0.3650     0.3650      5.573     25.000  22200.000      6.000    41.2537    38.6791   -18.4221    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     0.8509    14.6405    14.6385     0.0020   295.0000     4.2200     4.183
     15     0.3700     0.3701     0.3700      5.578     21.000  22200.000      6.000    41.2537    38.5502   -18.6780    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     0.8627    14.6405    14.6385     0.0020   295.0000     4.2216     4.186
     16     0.3749     0.3750     0.3750      5.553     17.000  22200.000      6.000    41.2537    38.4242   -18.9300    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     0.8742    14.6405    14.6385     0.0020   295.0000     4.2188     4.184
     17     0.3800     0.3801     0.3800      5.557     25.000  22200.000      6.000    41.2537    38.2982   -19.1869    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     0.8859    14.6405    14.6385     0.0020   295.0000     4.2188     4.184
     18     0.3849     0.3850     0.3850      5.559     17.000  22200.000      6.000    41.2537    38.1693   -19.4398    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     0.8975    14.6405    14.6385     0.0020   295.0000     4.2176     4.191
     19     0.3900     0.3901     0.3900      5.620     17.000  22200.000      6.000    41.2537    38.0433   -19.6967    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     0.9093    14.6405    14.6385     0.0020   295.0000     4.2171     4.183
