# scan = 338
# date = 11/11/2003
# time = 9:33:53 AM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan h 0.3 2.07 .005 k 0.3 2.07 .005 l 0 preset 6
# builtin_command = scan h 0.3 2.07 .005 k 0.3 2.07 .005 l 0 preset 6
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = hh0 scan, base temp, H = 3 T
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554053,7.554053,3.846679,90.000000,90.000000,120.000000
# ubmatrix = -0.005362,-0.005623,0.259740,-0.129577,-0.134798,-0.010795,0.080912,-0.071857,-0.000073
# mode = 0
# plane_normal = 0.001702,0.034158,0.999415
# ubconf = C:\User\exp41\UBConf\UB10Nov2003_64050PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 6.000000
# def_x = h
# def_y = detector
# col_headers = 
#   Pt.          h          k          l       time   detector    monitor        mcu         m2         s1         s2        sgl        sgu        stl        stu         a1         a2          q         ei         ef          e       temp    coldtip    tsample
      1     0.3000     0.3001     0.0000      5.555     25.000  22200.000      6.000    41.2537    86.9715   -10.7755    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     0.4991    14.6405    14.6385     0.0020   295.0000     4.2214     4.172
      2     0.3049     0.3049     0.0000      5.593     30.000  22200.000      6.000    41.2537    86.8819   -10.9497    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     0.5072    14.6405    14.6385     0.0020   295.0000     4.2218     4.174
      3     0.3100     0.3101     0.0000      5.514     35.000  22200.000      6.000    41.2537    86.7923   -11.1347    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     0.5157    14.6405    14.6385     0.0020   295.0000     4.2218     4.174
      4     0.3149     0.3150     0.0000      5.517     32.000  22200.000      6.000    41.2537    86.7028   -11.3129    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     0.5240    14.6405    14.6385     0.0020   295.0000     4.2218     4.174
      5     0.3199     0.3200     0.0000      5.493     20.000  22200.000      6.000    41.2537    86.6112   -11.4930    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     0.5323    14.6405    14.6385     0.0020   295.0000     4.2205     4.181
      6     0.3250     0.3250     0.0000      5.541     36.000  22200.000      6.000    41.2537    86.5207   -11.6751    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     0.5407    14.6405    14.6385     0.0020   295.0000     4.2230     4.173
      7     0.3299     0.3300     0.0000      5.537     29.000  22200.000      6.000    41.2537    86.4321   -11.8532    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     0.5489    14.6405    14.6385     0.0020   295.0000     4.2204     4.175
      8     0.3350     0.3350     0.0000      5.578     19.000  22200.000      6.000    41.2537    86.3415   -12.0343    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     0.5573    14.6405    14.6385     0.0020   295.0000     4.2204     4.175
      9     0.3400     0.3400    -0.0000      5.568     28.000  22200.000      6.000    41.2537    86.2539   -12.2154    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     0.5656    14.6405    14.6385     0.0020   295.0000     4.2212     4.169
     10     0.3449     0.3450     0.0000      5.595     21.000  22200.000      6.000    41.2537    86.1634   -12.3946    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     0.5739    14.6405    14.6385     0.0020   295.0000     4.2244     4.176
     11     0.3500     0.3501    -0.0000      5.573     25.000  22200.000      6.000    41.2537    86.0738   -12.5767    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     0.5823    14.6405    14.6385     0.0020   295.0000     4.2218     4.175
     12     0.3550     0.3550     0.0000      5.557     23.000  22200.000      6.000    41.2537    85.9823   -12.7568    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     0.5906    14.6405    14.6385     0.0020   295.0000     4.2218     4.175
     13     0.3599     0.3600     0.0000      5.506     27.000  22200.000      6.000    41.2537    85.8937   -12.9349    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     0.5988    14.6405    14.6385     0.0020   295.0000     4.2244     4.175
     14     0.3649     0.3650     0.0000      5.566     34.000  22200.000      6.000    41.2537    85.8031   -13.1160    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     0.6071    14.6405    14.6385     0.0020   295.0000     4.2209     4.172
     15     0.3700     0.3700     0.0000      5.551     19.000  22200.000      6.000    41.2537    85.7126   -13.2981    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     0.6155    14.6405    14.6385     0.0020   295.0000     4.2224     4.173
     16     0.3749     0.3750     0.0000      5.583     19.000  22200.000      6.000    41.2537    85.6220   -13.4772    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     0.6238    14.6405    14.6385     0.0020   295.0000     4.2224     4.173
     17     0.3800     0.3801     0.0000      5.534     25.000  22200.000      6.000    41.2537    85.5315   -13.6603    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     0.6322    14.6405    14.6385     0.0020   295.0000     4.2300     4.164
     18     0.3849     0.3850     0.0000      5.559     21.000  22200.000      6.000    41.2537    85.4419   -13.8385    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     0.6404    14.6405    14.6385     0.0020   295.0000     4.2207     4.175
     19     0.3900     0.3900     0.0000      5.559     18.000  22200.000      6.000    41.2537    85.3524   -14.0196    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     0.6488    14.6405    14.6385     0.0020   295.0000     4.2211     4.174
     20     0.3950     0.3950     0.0000      5.559     18.000  22200.000      6.000    41.2537    85.2608   -14.2007    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     0.6571    14.6405    14.6385     0.0020   295.0000     4.2211     4.174
     21     0.3999     0.4000     0.0000      5.609     15.000  22200.000      6.000    41.2537    85.1732   -14.3798    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     0.6653    14.6405    14.6385     0.0020   295.0000     4.2204     4.174
     22     0.4049     0.4050     0.0000      5.485     20.000  22200.000      6.000    41.2537    85.0817   -14.5609    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     0.6737    14.6405    14.6385     0.0020   295.0000     4.2227     4.171
     23     0.4100     0.4101    -0.0000      5.561     25.000  22200.000      6.000    41.2537    84.9931   -14.7450    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     0.6821    14.6405    14.6385     0.0020   295.0000     4.2190     4.173
     24     0.4149     0.4150     0.0000      5.554     13.000  22200.000      6.000    41.2537    84.9016   -14.9221    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     0.6903    14.6405    14.6385     0.0020   295.0000     4.2190     4.173
     25     0.4200     0.4200     0.0000      5.553     20.000  22200.000      6.000    41.2537    84.8120   -15.1042    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     0.6987    14.6405    14.6385     0.0020   295.0000     4.2238     4.169
