# scan = 339
# date = 11/11/2003
# time = 10:19:18 AM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan h 0 k 0 l 0.3 2.7 .005 preset 6
# builtin_command = scan h 0 k 0 l 0.3 2.7 .005 preset 6
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = 00l scan, base temp, H = 3 T
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554053,7.554053,3.846679,90.000000,90.000000,120.000000
# ubmatrix = -0.005362,-0.005623,0.259740,-0.129577,-0.134798,-0.010795,0.080912,-0.071857,-0.000073
# mode = 0
# plane_normal = 0.001702,0.034158,0.999415
# ubconf = C:\User\exp41\UBConf\UB10Nov2003_64050PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 6.000000
# def_x = l
# def_y = detector
# col_headers = 
#   Pt.          h          k          l       time   detector    monitor        mcu         m2         s1         s2        sgl        sgu        stl        stu         a1         a2          q         ei         ef          e       temp    coldtip    tsample
      1     0.0000     0.0000     0.3000      5.550     43.000  22200.000      6.000    41.2537    -2.9291   -10.5786    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     0.4901    14.6405    14.6385     0.0020   295.0000     4.2218     4.173
      2     0.0000     0.0000     0.3050      5.581     36.000  22200.000      6.000    41.2537    -3.0187   -10.7538    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     0.4981    14.6405    14.6385     0.0020   295.0000     4.2225     4.171
      3     0.0000     0.0000     0.3100      5.518     44.000  22200.000      6.000    41.2537    -3.1073   -10.9300    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     0.5063    14.6405    14.6385     0.0020   295.0000     4.2225     4.171
      4     0.0000     0.0000     0.3150      5.525     49.000  22200.000      6.000    41.2537    -3.1949   -11.1082    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     0.5145    14.6405    14.6385     0.0020   295.0000     4.2295     4.177
      5     0.0000     0.0000     0.3200      5.539     44.000  22200.000      6.000    41.2537    -3.2844   -11.2853    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     0.5227    14.6405    14.6385     0.0020   295.0000     4.2222     4.170
      6     0.0000     0.0000     0.3250      5.567     45.000  22200.000      6.000    41.2537    -3.3720   -11.4615    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     0.5308    14.6405    14.6385     0.0020   295.0000     4.2207     4.168
      7     0.0000     0.0000     0.3300      5.565     40.000  22200.000      6.000    41.2537    -3.4606   -11.6396    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     0.5390    14.6405    14.6385     0.0020   295.0000     4.2207     4.168
      8     0.0000     0.0000     0.3350      5.547     35.000  22200.000      6.000    41.2537    -3.5492   -11.8158    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     0.5472    14.6405    14.6385     0.0020   295.0000     4.2228     4.161
      9     0.0000     0.0000     0.3400      5.525     54.000  22200.000      6.000    41.2537    -3.6368   -11.9920    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     0.5553    14.6405    14.6385     0.0020   295.0000     4.2196     4.174
     10     0.0000     0.0000     0.3450      5.592     49.000  22200.000      6.000    41.2537    -3.7264   -12.1711    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     0.5636    14.6405    14.6385     0.0020   295.0000     4.2201     4.173
